signature,group,delta_z,delta_lo,delta_hi,se,n_group,n_reference,n_strata_used,n_strata_dropped,strata,Q,df,I2_pct,heterogeneous,mde_80pct
SIG_HALLMARK_ALLOGRAFT_REJECTION,AFR,0.060135482175275194,-0.24801542413820699,0.3682863884887574,0.15722273916466692,73,241,6,602,"49, A6, B8, C5, CV, KK",2.199897239067777,5,0.0,False,0.4404729019949617
SIG_HALLMARK_ALLOGRAFT_REJECTION,ASIAN,0.418952467543891,0.1439198154101805,0.6939851196776015,0.14032536021229622,125,208,4,604,"BR, DD, DJ, G3",0.38383785509010526,3,0.0,False,0.39313345489714674
SIG_HALLMARK_ALLOGRAFT_REJECTION,AMR,0.41207694624631624,0.0061721735804881606,0.8179817189121443,0.20709807724404794,36,210,3,605,"CJ, CV, EL",5.632356647542497,2,64.49088498554796,True,0.5802029119065424
SIG_HALLMARK_ANGIOGENESIS,AFR,0.04632937560067592,-0.2618215307128063,0.3544802819141581,0.15722273916466692,73,241,6,602,"49, A6, B8, C5, CV, KK",2.7909896079815866,5,0.0,False,0.4404729019949617
SIG_HALLMARK_ANGIOGENESIS,ASIAN,0.27082532283907523,-0.0042073292946352425,0.5458579749727857,0.14032536021229622,125,208,4,604,"BR, DD, DJ, G3",4.70274290668684,3,36.20744192215369,False,0.39313345489714674
SIG_HALLMARK_ANGIOGENESIS,AMR,-0.04148286353972207,-0.44738763620555017,0.364421909126106,0.20709807724404794,36,210,3,605,"CJ, CV, EL",0.006393096455236926,2,0.0,False,0.5802029119065424
SIG_HALLMARK_COAGULATION,AFR,0.06351190302486125,-0.24463900328862093,0.37166280933834345,0.15722273916466692,73,241,6,602,"49, A6, B8, C5, CV, KK",8.909122287271176,5,43.877748685258226,False,0.4404729019949617
SIG_HALLMARK_COAGULATION,ASIAN,0.10247309861122389,-0.1725595535224866,0.37750575074493437,0.14032536021229622,125,208,4,604,"BR, DD, DJ, G3",1.0788805822253025,3,0.0,False,0.39313345489714674
SIG_HALLMARK_COAGULATION,AMR,0.04017862764015516,-0.3657261450256729,0.44608340030598326,0.20709807724404794,36,210,3,605,"CJ, CV, EL",3.5225754920815966,2,43.223360166565534,False,0.5802029119065424
SIG_HALLMARK_COMPLEMENT,AFR,0.08665851746825559,-0.2214923888452266,0.3948094237817378,0.15722273916466692,73,241,6,602,"49, A6, B8, C5, CV, KK",3.2918377351026282,5,0.0,False,0.4404729019949617
SIG_HALLMARK_COMPLEMENT,ASIAN,0.38231681158312103,0.10728415944941055,0.6573494637168316,0.14032536021229622,125,208,4,604,"BR, DD, DJ, G3",0.5266444162507964,3,0.0,False,0.39313345489714674
SIG_HALLMARK_COMPLEMENT,AMR,0.3779949034061747,-0.027909869259653386,0.7838996760720027,0.20709807724404794,36,210,3,605,"CJ, CV, EL",5.270665244401256,2,62.05412585964376,True,0.5802029119065424
SIG_HALLMARK_E2F_TARGETS,AFR,0.08786565258237822,-0.22028525373110397,0.3960165588958604,0.15722273916466692,73,241,6,602,"49, A6, B8, C5, CV, KK",7.754727347662535,5,35.52320054802284,False,0.4404729019949617
SIG_HALLMARK_E2F_TARGETS,ASIAN,0.21378339551350445,-0.06124925662020603,0.4888160476472149,0.14032536021229622,125,208,4,604,"BR, DD, DJ, G3",1.76184770761103,3,0.0,False,0.39313345489714674
SIG_HALLMARK_E2F_TARGETS,AMR,0.10914487155647946,-0.29675990110934863,0.5150496442223076,0.20709807724404794,36,210,3,605,"CJ, CV, EL",2.300991339946086,2,13.080941884515681,False,0.5802029119065424
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,AFR,0.03902854812616295,-0.2691223581873192,0.34717945443964515,0.15722273916466692,73,241,6,602,"49, A6, B8, C5, CV, KK",1.0027989885962316,5,0.0,False,0.4404729019949617
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,ASIAN,0.30587558071705456,0.030842928583344087,0.5809082328507651,0.14032536021229622,125,208,4,604,"BR, DD, DJ, G3",1.9658161601313646,3,0.0,False,0.39313345489714674
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,AMR,-0.10936804634245235,-0.5152728190082805,0.29653672632337574,0.20709807724404794,36,210,3,605,"CJ, CV, EL",0.6109169941923209,2,0.0,False,0.5802029119065424
SIG_HALLMARK_G2M_CHECKPOINT,AFR,0.08526437075693906,-0.22288653555654314,0.39341527707042123,0.15722273916466692,73,241,6,602,"49, A6, B8, C5, CV, KK",5.002508906065134,5,0.05015295549183173,False,0.4404729019949617
SIG_HALLMARK_G2M_CHECKPOINT,ASIAN,0.2180098506352546,-0.05702280149845587,0.4930425027689651,0.14032536021229622,125,208,4,604,"BR, DD, DJ, G3",2.2729091616636956,3,0.0,False,0.39313345489714674
SIG_HALLMARK_G2M_CHECKPOINT,AMR,0.1226540921726041,-0.283250680493224,0.5285588648384322,0.20709807724404794,36,210,3,605,"CJ, CV, EL",4.037164721348637,2,50.46028244961258,False,0.5802029119065424
SIG_HALLMARK_HYPOXIA,AFR,0.12626263482322075,-0.18188827149026143,0.43441354113670294,0.15722273916466692,73,241,6,602,"49, A6, B8, C5, CV, KK",1.7036034483606957,5,0.0,False,0.4404729019949617
SIG_HALLMARK_HYPOXIA,ASIAN,0.27541373338200875,0.00038108124829827617,0.5504463855157192,0.14032536021229622,125,208,4,604,"BR, DD, DJ, G3",1.80143675053708,3,0.0,False,0.39313345489714674
SIG_HALLMARK_HYPOXIA,AMR,0.19575500313342253,-0.21014976953240555,0.6016597757992506,0.20709807724404794,36,210,3,605,"CJ, CV, EL",2.5386402167482096,2,21.217666575776683,False,0.5802029119065424
SIG_HALLMARK_IL2_STAT5_SIGNALING,AFR,0.02427530224669108,-0.28387560406679113,0.33242620856017324,0.15722273916466692,73,241,6,602,"49, A6, B8, C5, CV, KK",1.9760954818477336,5,0.0,False,0.4404729019949617
SIG_HALLMARK_IL2_STAT5_SIGNALING,ASIAN,0.40743813217357766,0.13240548003986718,0.6824707843072881,0.14032536021229622,125,208,4,604,"BR, DD, DJ, G3",1.0231567500479122,3,0.0,False,0.39313345489714674
SIG_HALLMARK_IL2_STAT5_SIGNALING,AMR,0.3409752820358466,-0.06492949062998149,0.7468800547016747,0.20709807724404794,36,210,3,605,"CJ, CV, EL",4.809389966034055,2,58.41468431287865,True,0.5802029119065424
