signature,group,delta_z,delta_lo,delta_hi,se,n_group,n_reference,n_strata_used,n_strata_dropped,strata,Q,df,I2_pct,heterogeneous,mde_80pct,p,q_bh,significant_bh
SIG_HALLMARK_ALLOGRAFT_REJECTION,AFR,-0.01482244934579724,-0.11957722669497801,0.08993232800338354,0.05344729708069796,453,3196,11,20,"CESC, COAD, HNSC, KIRC, KIRP, LGG, LUAD, LUSC, PRAD, THCA, UCEC",20.61922541693668,10,51.50157293597471,True,0.14973715744937582,0.7815280124173585,0.8858897190230121,False
SIG_HALLMARK_ALLOGRAFT_REJECTION,ASIAN,0.24153779074433612,0.1110775882687729,0.37199799321989935,0.0665625508961474,353,1114,5,26,"BLCA, ESCA, LIHC, STAD, THCA",4.180040413809325,4,4.307145290139705,False,0.18648065867053867,0.0002848145327966604,0.0136710975742397,True
SIG_HALLMARK_ALLOGRAFT_REJECTION,AMR,0.08215306378390864,-0.22030063594144955,0.3846067635092668,0.15431594769652626,52,510,2,29,"CESC, THCA",0.5355082822204804,1,0.0,False,0.43232927798568194,0.5944702852326127,0.8353562395033647,False
SIG_HALLMARK_ANGIOGENESIS,AFR,0.05076842540537933,-0.05398635194380144,0.1555232027545601,0.05344729708069796,453,3196,11,20,"CESC, COAD, HNSC, KIRC, KIRP, LGG, LUAD, LUSC, PRAD, THCA, UCEC",27.54522947617892,10,63.696073003682955,True,0.14973715744937582,0.3421741158939481,0.7704525592550445,False
SIG_HALLMARK_ANGIOGENESIS,ASIAN,0.17627280467305279,0.04581260219748956,0.306733007148616,0.0665625508961474,353,1114,5,26,"BLCA, ESCA, LIHC, STAD, THCA",5.532197656432025,4,27.696003497825338,False,0.18648065867053867,0.008091495618978081,0.03883917897109479,True
SIG_HALLMARK_ANGIOGENESIS,AMR,-0.032444850777340196,-0.3348985505026984,0.27000884894801797,0.15431594769652626,52,510,2,29,"CESC, THCA",0.30667424969339996,1,0.0,False,0.43232927798568194,0.8334729477848982,0.8890378109705581,False
SIG_HALLMARK_COAGULATION,AFR,0.01398322035801701,-0.09077155699116377,0.11873799770719778,0.05344729708069796,453,3196,11,20,"CESC, COAD, HNSC, KIRC, KIRP, LGG, LUAD, LUSC, PRAD, THCA, UCEC",17.377478897133564,10,42.45425323664463,True,0.14973715744937582,0.7936095399581149,0.8858897190230121,False
SIG_HALLMARK_COAGULATION,ASIAN,0.04099815016203257,-0.08946205231353066,0.1714583526375958,0.0665625508961474,353,1114,5,26,"BLCA, ESCA, LIHC, STAD, THCA",2.7060842672400387,4,0.0,False,0.18648065867053867,0.537937962130709,0.8329361994281945,False
SIG_HALLMARK_COAGULATION,AMR,-0.08516515718284226,-0.3876188569082004,0.21728854254251592,0.15431594769652626,52,510,2,29,"CESC, THCA",0.49578643443040904,1,0.0,False,0.43232927798568194,0.5810249242186699,0.8353562395033647,False
SIG_HALLMARK_COMPLEMENT,AFR,0.04632111855732811,-0.058433658791852666,0.15107589590650888,0.05344729708069796,453,3196,11,20,"CESC, COAD, HNSC, KIRC, KIRP, LGG, LUAD, LUSC, PRAD, THCA, UCEC",21.04384451159998,10,52.480165900828105,True,0.14973715744937582,0.38612336423687044,0.7704525592550445,False
