signature,group,n,r,z,se_z,below_min_n
SIG_HALLMARK_ALLOGRAFT_REJECTION,EUR,5312,0.6777748068248842,0.8249865079520639,0.013724408537914387,False
SIG_HALLMARK_ALLOGRAFT_REJECTION,AFR,594,0.6160774942207623,0.718658233960294,0.04113450348948636,False
SIG_HALLMARK_ALLOGRAFT_REJECTION,ASIAN,502,0.7707393212181458,1.0221463712634966,0.04476614810358452,False
SIG_HALLMARK_ALLOGRAFT_REJECTION,AMR,172,0.7059913505726159,0.879146235653741,0.07692307692307693,False
SIG_HALLMARK_ANGIOGENESIS,EUR,5312,0.6074946240184569,0.7049409389486272,0.013724408537914387,False
SIG_HALLMARK_ANGIOGENESIS,AFR,594,0.5497494097898953,0.6180221154174252,0.04113450348948636,False
SIG_HALLMARK_ANGIOGENESIS,ASIAN,502,0.728366303675377,0.9252387271036838,0.04476614810358452,False
SIG_HALLMARK_ANGIOGENESIS,AMR,172,0.5614162009151114,0.6348988060060201,0.07692307692307693,False
SIG_HALLMARK_COAGULATION,EUR,5312,0.5902318806124506,0.6780218421030548,0.013724408537914387,False
SIG_HALLMARK_COAGULATION,AFR,594,0.5042664941573087,0.5550110916751665,0.04113450348948636,False
SIG_HALLMARK_COAGULATION,ASIAN,502,0.5926336446174902,0.6817156942769843,0.04476614810358452,False
SIG_HALLMARK_COAGULATION,AMR,172,0.5823102860041108,0.6659512092545508,0.07692307692307693,False
SIG_HALLMARK_COMPLEMENT,EUR,5312,0.5448669462255545,0.6110516322973981,0.013724408537914387,False
SIG_HALLMARK_COMPLEMENT,AFR,594,0.4868947792355142,0.5319821253407737,0.04113450348948636,False
SIG_HALLMARK_COMPLEMENT,ASIAN,502,0.6243770058497737,0.7321468374982426,0.04476614810358452,False
SIG_HALLMARK_COMPLEMENT,AMR,172,0.5516340345114482,0.6207270421182263,0.07692307692307693,False
SIG_HALLMARK_E2F_TARGETS,EUR,5312,0.6808810584341354,0.8307547418035498,0.013724408537914387,False
SIG_HALLMARK_E2F_TARGETS,AFR,594,0.76617370116271,1.01099610390511,0.04113450348948636,False
SIG_HALLMARK_E2F_TARGETS,ASIAN,502,0.767722832601253,1.0147580581791042,0.04476614810358452,False
SIG_HALLMARK_E2F_TARGETS,AMR,172,0.8438687536380279,1.234462125198895,0.07692307692307693,False
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,EUR,5312,0.643650639908113,0.7643817243389235,0.013724408537914387,False
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,AFR,594,0.5697370230555441,0.6471333935161251,0.04113450348948636,False
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,ASIAN,502,0.7751279800607456,1.0330481803234037,0.04476614810358452,False
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,AMR,172,0.5515310149950253,0.6205789738149525,0.07692307692307693,False
SIG_HALLMARK_G2M_CHECKPOINT,EUR,5312,0.6708700002907657,0.8123234597015149,0.013724408537914387,False
SIG_HALLMARK_G2M_CHECKPOINT,AFR,594,0.7464656329716302,0.9649250012109822,0.04113450348948636,False
SIG_HALLMARK_G2M_CHECKPOINT,ASIAN,502,0.784321739116416,1.056502939818491,0.04476614810358452,False
SIG_HALLMARK_G2M_CHECKPOINT,AMR,172,0.8117976209110352,1.1322784618873207,0.07692307692307693,False
SIG_HALLMARK_HYPOXIA,EUR,5312,0.5456890564276607,0.6122216098901393,0.013724408537914387,False
SIG_HALLMARK_HYPOXIA,AFR,594,0.5265005656310411,0.5852912323325554,0.04113450348948636,False
SIG_HALLMARK_HYPOXIA,ASIAN,502,0.6841522959634895,0.8368787397927735,0.04476614810358452,False
SIG_HALLMARK_HYPOXIA,AMR,172,0.6126864241770666,0.7132110077501983,0.07692307692307693,False
SIG_HALLMARK_IL2_STAT5_SIGNALING,EUR,5312,0.5701967041631846,0.64781426364389,0.013724408537914387,False
SIG_HALLMARK_IL2_STAT5_SIGNALING,AFR,594,0.5256779556510313,0.5841538209417848,0.04113450348948636,False
SIG_HALLMARK_IL2_STAT5_SIGNALING,ASIAN,502,0.7322924365236818,0.9336528572237915,0.04476614810358452,False
SIG_HALLMARK_IL2_STAT5_SIGNALING,AMR,172,0.5826000958548322,0.6663898193736908,0.07692307692307693,False
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,EUR,5312,0.6420537870868358,0.7616601573393389,0.013724408537914387,False
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,AFR,594,0.5701438018691922,0.6477358789455022,0.04113450348948636,False
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,ASIAN,502,0.7041444492646614,0.8754735717764676,0.04476614810358452,False
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,AMR,172,0.6588034507962772,0.790696553402917,0.07692307692307693,False
SIG_HALLMARK_INFLAMMATORY_RESPONSE,EUR,5312,0.6537894679459393,0.7818887583571276,0.013724408537914387,False
SIG_HALLMARK_INFLAMMATORY_RESPONSE,AFR,594,0.5811446415611253,0.6641893333391841,0.04113450348948636,False
SIG_HALLMARK_INFLAMMATORY_RESPONSE,ASIAN,502,0.7590014252495247,0.9938552677118735,0.04476614810358452,False
SIG_HALLMARK_INFLAMMATORY_RESPONSE,AMR,172,0.6470615403184932,0.7702271940117821,0.07692307692307693,False
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,EUR,5312,0.5578795045233571,0.6297492122351317,0.013724408537914387,False
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,AFR,594,0.5192751124498869,0.5753467266320654,0.04113450348948636,False
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,ASIAN,502,0.6045981124521878,0.7003629612452311,0.04476614810358452,False
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,AMR,172,0.6684339076665505,0.807906761135624,0.07692307692307693,False
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,EUR,5312,0.6265072656308878,0.7356458306904139,0.013724408537914387,False
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,AFR,594,0.5665123615000552,0.6423718606384112,0.04113450348948636,False
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,ASIAN,502,0.6907807577668292,0.8494475704909873,0.04476614810358452,False
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,AMR,172,0.6958603609464791,0.8592292718401942,0.07692307692307693,False
SIG_HALLMARK_MYC_TARGETS_V1,EUR,5312,0.5371332839037719,0.6001176571281515,0.013724408537914387,False
SIG_HALLMARK_MYC_TARGETS_V1,AFR,594,0.6816265824555645,0.8321459224798171,0.04113450348948636,False
SIG_HALLMARK_MYC_TARGETS_V1,ASIAN,502,0.7307546933620865,0.9303449733314971,0.04476614810358452,False
SIG_HALLMARK_MYC_TARGETS_V1,AMR,172,0.7719067355043531,1.0250284486631045,0.07692307692307693,False
SIG_HALLMARK_TGF_BETA_SIGNALING,EUR,5312,0.5065039373140465,0.5580160458112376,0.013724408537914387,False
SIG_HALLMARK_TGF_BETA_SIGNALING,AFR,594,0.4796259398292353,0.5224983460012539,0.04113450348948636,False
SIG_HALLMARK_TGF_BETA_SIGNALING,ASIAN,502,0.7516333981047604,0.976699056920943,0.04476614810358452,False
SIG_HALLMARK_TGF_BETA_SIGNALING,AMR,172,0.505769723315609,0.5570289673970358,0.07692307692307693,False
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,EUR,5312,0.6176459465937061,0.7211901156529528,0.013724408537914387,False
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,AFR,594,0.5671782457190173,0.6433529976143797,0.04113450348948636,False
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,ASIAN,502,0.7383105704291676,0.9467552833441251,0.04476614810358452,False
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,AMR,172,0.6641718967425861,0.8002417438861038,0.07692307692307693,False
