site,n_patients,auroc
06,32,0.016398111979166664
00,34,0.011941330056826908
17,39,0.009501667845951679
11,28,0.009113619541080682
09,39,0.008760402978537014
13,38,0.008046691531979558
21,36,0.008035194880744612
23,41,0.007551656544233423
16,35,0.0072829131652661
15,32,0.0067138671875
01,35,0.005490196078431367
12,35,0.0052661064425770275
10,29,0.004606646093295764
19,37,0.0038610038610038685
07,38,0.003453515678961171
20,32,0.0032145182291666748
22,35,0.002987861811391225
03,28,0.0029145077720207314
02,32,0.002807617187500007
18,35,0.0025396825396825336
14,32,0.0015869140625
04,32,0.0008544921875000035
05,24,0.0008054123711340178
08,22,0.0003505491937368528
