signature,r_residual,alpha_observed,alpha_null_mean,reliability_gap,null_mean_r,null_sd_r,degenerate,excess_z,excess_lo,excess_hi,beats_null,n
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.4313969197064552,0.9822627311624229,0.9534849591673425,0.02877777199508036,0.046106655913937616,0.03772482836524774,0.0,0.41906148383156555,0.3551232771236732,0.4829996905394579,True,944
SIG_HALLMARK_ANGIOGENESIS,0.41699896544130943,0.8660349200030341,0.7819205913566306,0.08411432864640345,0.10498977998560624,0.06261910543690223,0.0,0.36251410062256595,0.29846623374979764,0.42656196749533426,True,944
SIG_HALLMARK_COAGULATION,0.35068905538060147,0.9464033036898536,0.9229640771380807,0.023439226551772885,0.052618811953490476,0.046524252485752086,0.0,0.3224862862434748,0.2585220690649608,0.38645050342198883,True,944
SIG_HALLMARK_COMPLEMENT,0.3254164842823278,0.9725753917626995,0.9553266518241864,0.017248739938513058,0.04051947527244195,0.039078840407930915,0.0,0.30124937587445805,0.23730799445991918,0.3651907572889969,True,944
SIG_HALLMARK_E2F_TARGETS,0.306414033452317,0.9939106519909077,0.9644350019661283,0.029475650024779365,0.05537419431673521,0.03611940373953508,0.0,0.2610984980565932,0.19716447427428108,0.3250325218389053,True,944
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.45217896736680113,0.9854456183974379,0.9600256814146058,0.02541993698283218,0.04667934340822251,0.03640839765019153,0.0,0.4438881224826473,0.37995332739415955,0.5078229175711351,True,944
SIG_HALLMARK_G2M_CHECKPOINT,0.28445082197091903,0.9922443824691398,0.9623897176936366,0.029854664775503248,0.05224446259788986,0.03805655347913735,0.0,0.240342410529325,0.1764037952982025,0.3042810257604475,True,944
SIG_HALLMARK_HYPOXIA,0.27515202700664054,0.9606820585959325,0.9576472408985142,0.0030348176974183128,0.05023096051575876,0.03977462498656377,0.0,0.23701798779974406,0.17307494061222983,0.3009610349872583,True,944
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.26860983595945226,0.9647603673511557,0.9592644776801469,0.00549588967100878,0.03927264090234802,0.035908156720691226,0.0,0.24043730521209375,0.17650366004881995,0.30437095037536754,True,944
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.3828170140225143,0.9558718713033091,0.9038779668727314,0.05199390443057772,0.07002684032922639,0.050838455832182446,0.0,0.3396575444676785,0.2756772770715443,0.40363781186381265,True,944
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.37273795000441357,0.9795833607241615,0.9550916636348183,0.02449169708934318,0.053539287043151015,0.03775368622099089,0.0,0.3411693873776782,0.2772311092825679,0.40510766547278854,True,944
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.3537349219142035,0.9805481652606866,0.9292458148966972,0.051302350363989335,0.07504858703307553,0.04743127886084268,0.0,0.29554844675901415,0.2315816497176122,0.3595152438004161,True,944
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.4025147473356397,0.9861143807638834,0.9630906682116047,0.02302371255227864,0.0477371926316834,0.03618058087341356,0.0,0.38128126173530374,0.31734713626983185,0.44521538720077564,True,944
SIG_HALLMARK_MYC_TARGETS_V1,0.24108327159529705,0.9915614413102486,0.9661676311634109,0.025393810146837725,0.10209114378089384,0.028987365979106127,0.0,0.14269485148995648,0.07877519010347041,0.20661451287644256,True,944
SIG_HALLMARK_TGF_BETA_SIGNALING,0.21009347062089553,0.939155779163004,0.8746823676730208,0.0644734114899832,0.09359883709135867,0.056094312431683536,0.0,0.1195779961666652,0.05557469478024485,0.18358129755308555,True,944
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.3171661123355738,0.9793927750114614,0.9622111309029813,0.01718164410848011,0.04867820491812368,0.03735546415466572,0.0,0.28245649324011907,0.21851960413662663,0.3463933823436115,True,944
