signature,n,r_random_patient,r_random_patient_lo,r_random_patient_hi,r_preserved_site,r_preserved_site_lo,r_preserved_site_hi,r_site_only,r_type_only,r_purity_only,r_covariates,embedding_over_covariates,delta_r
SIG_HALLMARK_ALLOGRAFT_REJECTION,944,0.4867932896104763,0.436546410563615,0.5340128201689853,0.45823393500317644,0.40630742064284225,0.5072102361838611,0.16202263597549943,0.13486844715683988,0.4728675430077398,0.452421132156319,0.03437215745415728,0.02855935460729986
SIG_HALLMARK_ANGIOGENESIS,944,0.374751604979194,0.31856271149665655,0.4283161322806179,0.4081212884740152,0.3535210139025942,0.45995007912841174,0.20264429267181538,-0.05170410552138689,0.34119539640557245,0.3603792223236514,0.014372382655542637,-0.03336968349482117
SIG_HALLMARK_COAGULATION,944,0.4535292078895652,0.40133688661414746,0.5027858030241511,0.4460663046990305,0.39345864617133575,0.49576221989667507,0.318623369335898,0.2463084788142897,0.3635096573132556,0.4406030612075572,0.012926146682007977,0.007462903190534664
SIG_HALLMARK_COMPLEMENT,944,0.3740319907417507,0.3178105186798641,0.42763249981288304,0.35018632239992187,0.2929252636023463,0.4049444187256564,0.22888901429429642,0.17188833249625252,0.3699747699820245,0.39088679183026454,-0.016854801088513838,0.02384566834182883
SIG_HALLMARK_E2F_TARGETS,944,0.5567837462812666,0.5111363066579877,0.5992990923981977,0.4843046797587854,0.4339069173924595,0.5316810607274101,0.40892199108151694,0.4254842412567388,0.23253365703089043,0.45248743791485235,0.10429630836641424,0.0724790665224812
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,944,0.42765264285726695,0.3740531930563604,0.4784046655972061,0.4529428429343268,0.40071760867402584,0.5022341910506086,0.1985511464150258,0.054527246266511994,0.3450273627214932,0.3668690025654922,0.06078364029177474,-0.025290200077059843
SIG_HALLMARK_G2M_CHECKPOINT,944,0.5390557972044082,0.4921781152981408,0.5828159805952448,0.45652852776988395,0.4045053064287224,0.5056067303927176,0.41597929814797263,0.4175486221418844,0.19544218947371123,0.4501585212229883,0.08889727598141994,0.08252726943452426
SIG_HALLMARK_HYPOXIA,944,0.3256529966751902,0.267403081809606,0.38153147424991174,0.32356054145516155,0.26523006283148437,0.37953125281920697,0.23202420707552468,0.17489121752404185,0.0828170349174624,0.259088185663893,0.06656481101129719,0.002092455220028655
SIG_HALLMARK_IL2_STAT5_SIGNALING,944,0.30404628728183825,0.2449929621407942,0.36085194382783625,0.2716941091364985,0.2115553864442316,0.329783260819169,0.22436969845102198,0.041747311956781136,0.3076978995505186,0.34732870552882544,-0.0432824182469872,0.03235217814533975
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,944,0.40998346059732027,0.35547634108273013,0.4617115223965782,0.39186861800883266,0.3364755355687666,0.4445592143464315,0.20933165535896525,0.10999829895190258,0.4263454336988461,0.4292582601478407,-0.019274799550520416,0.018114842588487612
SIG_HALLMARK_INFLAMMATORY_RESPONSE,944,0.4153459339204041,0.3611097381349329,0.46678165022449125,0.38825810906387653,0.33269382648214413,0.4411359258369752,0.21317015279846935,0.07023843418682892,0.4362768966399395,0.44188068124789026,-0.026534747327486174,0.027087824856527554
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,944,0.4018065995878588,0.3468939834835073,0.453973926730224,0.3826876568464209,0.326862742607188,0.4358513053273449,0.13179598410601617,0.21526626104371602,0.2897523019398136,0.27987277021796003,0.12193382936989877,0.019118942741437883
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,944,0.4391098980501862,0.38612204174513975,0.4892094580312036,0.4212353793478548,0.3673012956472679,0.472346128133106,0.1344561473035754,0.17334329133086257,0.38128706728081063,0.35311373851532524,0.08599615953486095,0.017874518702331366
SIG_HALLMARK_MYC_TARGETS_V1,944,0.5050793730386001,0.45596773609680513,0.5511243783728677,0.4340910716834694,0.3808330744223808,0.4844783335688817,0.39210911377164354,0.4105839822792128,0.3021147408938972,0.4608731064831431,0.04420626655545695,0.07098830135513068
SIG_HALLMARK_TGF_BETA_SIGNALING,944,0.2642730013299288,0.20390510345559673,0.32263878159911386,0.21799191093664905,0.1563605690286578,0.2779322833027548,0.25202080620582634,0.007724341320760267,0.04838292443399062,0.25324634919332206,0.011026652136606752,0.04628109039327977
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,944,0.33298960212450524,0.2750268448005663,0.38854055627575357,0.3103439145078569,0.2515182471263414,0.36688510296192905,0.16196073331075406,-0.08439013118400247,0.3027900531304316,0.3059921944722893,0.02699740765221592,0.022645687616648313
