signature,r_residual,null_mean_r,null_sd_r,degenerate,excess_z,excess_lo,excess_hi,beats_null,n
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.4313969197064552,0.0389324380037885,0.04073901764011223,0.0,0.42701314115190575,0.36306901797179075,0.49095726433202075,True,944
SIG_HALLMARK_ANGIOGENESIS,0.41699896544130943,0.09729163857762131,0.06726809964620548,0.0,0.37680668900438924,0.31275147770991624,0.44086190029886224,True,944
SIG_HALLMARK_COAGULATION,0.35068905538060147,0.04472095337003026,0.05056828242236449,0.0,0.3313058526294836,0.2673308554500969,0.3952808498088703,True,944
SIG_HALLMARK_COMPLEMENT,0.3254164842823278,0.03457687506322084,0.04116283520082978,0.0,0.3076581595388558,0.2437124716042911,0.37160384747342046,True,944
SIG_HALLMARK_E2F_TARGETS,0.306414033452317,0.050085264218782254,0.03793037800559332,0.0,0.2672589322267605,0.20332204901911216,0.33119581543440885,True,944
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.45217896736680113,0.04251325639116852,0.0385729571398756,0.0,0.44870610417982315,0.3847674033226369,0.5126448050370094,True,944
SIG_HALLMARK_G2M_CHECKPOINT,0.28445082197091903,0.04716333955795258,0.039803289892763966,0.0,0.24626395884104169,0.1823225881107473,0.31020532957133606,True,944
SIG_HALLMARK_HYPOXIA,0.27515202700664054,0.0448370298220228,0.04129690517928221,0.0,0.24260708933217673,0.1786603099329972,0.30655386873135626,True,944
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.26860983595945226,0.033707841659558015,0.03792410940674471,0.0,0.24622611969827488,0.18228806308673187,0.31016417630981785,True,944
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.3828170140225143,0.06280393135935189,0.05447725498771651,0.0,0.3490938657078726,0.2851061438175677,0.4130815875981775,True,944
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.37273795000441357,0.043553221957242226,0.040836132185167524,0.0,0.35198664052850376,0.28804211425450943,0.4159311668024981,True,944
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.3537349219142035,0.0717278388372243,0.05015111029296114,0.0,0.3009436469876917,0.23697226303577265,0.36491503093961075,True,944
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.4025147473356397,0.04422120728332537,0.038387245504875454,0.0,0.38539165186880653,0.32145342780886565,0.4493298759287474,True,944
SIG_HALLMARK_MYC_TARGETS_V1,0.24108327159529705,0.09611350709365908,0.031035380811357267,0.0,0.1500923082178771,0.08616950196758423,0.21401511446817,True,944
SIG_HALLMARK_TGF_BETA_SIGNALING,0.21009347062089553,0.08782344735398574,0.05866363523756011,0.0,0.12906638695857958,0.06506061320261329,0.19307216071454586,True,944
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.3171661123355738,0.04327232055904076,0.03909919026743251,0.0,0.28836519810694144,0.22442496047477084,0.35230543573911205,True,944
