signature,r_raw,r_axis,r_residual,n
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.45823393500317683,-0.0987655354512533,0.4313969197064552,944
SIG_HALLMARK_ANGIOGENESIS,0.40812128847401496,-0.02959813311772404,0.41699896544130943,944
SIG_HALLMARK_COAGULATION,0.44606630469903036,0.008838842784976823,0.35068905538060147,944
SIG_HALLMARK_COMPLEMENT,0.35018632239992187,-0.058921684841145266,0.3254164842823278,944
SIG_HALLMARK_E2F_TARGETS,0.48430467975878533,0.05394045017802265,0.306414033452317,944
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.45294284293432663,-0.01673179284669256,0.45217896736680113,944
SIG_HALLMARK_G2M_CHECKPOINT,0.4565285277698842,0.061064855502602856,0.28445082197091903,944
SIG_HALLMARK_HYPOXIA,0.3235605414551614,0.07506579869574335,0.27515202700664054,944
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.2716941091364985,-0.0032881978169627146,0.26860983595945226,944
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.39186861800883266,-0.0744523734174753,0.3828170140225143,944
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.3882581090638763,-0.06603047287201369,0.37273795000441357,944
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.38268765684642103,-0.08292537388559679,0.3537349219142035,944
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.42123537934785515,-0.0857799430949952,0.4025147473356397,944
SIG_HALLMARK_MYC_TARGETS_V1,0.43409107168346933,0.05019854449454646,0.24108327159529705,944
SIG_HALLMARK_TGF_BETA_SIGNALING,0.21799191093664924,0.06162659360604949,0.21009347062089553,944
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.3103439145078571,-0.04419092031727552,0.3171661123355738,944
