signature,n,r_random_patient,r_random_patient_lo,r_random_patient_hi,r_preserved_site,r_preserved_site_lo,r_preserved_site_hi,delta_r
SIG_HALLMARK_ALLOGRAFT_REJECTION,944,0.4867932896104763,0.436546410563615,0.5340128201689853,0.46836465727348175,0.4170209504038976,0.5167286428318525,0.018428632336994544
SIG_HALLMARK_ANGIOGENESIS,944,0.374751604979194,0.31856271149665655,0.4283161322806179,0.3983794100601127,0.34329956992078353,0.45072850596957864,-0.023627805080918662
SIG_HALLMARK_COAGULATION,944,0.4535292078895652,0.40133688661414746,0.5027858030241511,0.4418938399253022,0.389057333757773,0.4918325409791863,0.01163536796426301
SIG_HALLMARK_COMPLEMENT,944,0.3740319907417507,0.3178105186798641,0.42763249981288304,0.35994163793510764,0.3030965083149885,0.41423432018227146,0.014090352806643058
SIG_HALLMARK_E2F_TARGETS,944,0.5567837462812666,0.5111363066579877,0.5992990923981977,0.4965199782445141,0.4468711278536989,0.5431195765329673,0.060263768036752485
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,944,0.42765264285726695,0.3740531930563604,0.4784046655972061,0.44361031000696644,0.3908676552628517,0.49344938008597117,-0.015957667149699484
SIG_HALLMARK_G2M_CHECKPOINT,944,0.5390557972044082,0.4921781152981408,0.5828159805952448,0.46604568675358876,0.41456731265533586,0.5145508889106732,0.07301011045081945
SIG_HALLMARK_HYPOXIA,944,0.3256529966751902,0.267403081809606,0.38153147424991174,0.33063052284093625,0.272574634911419,0.3862874928726386,-0.004977526165746038
SIG_HALLMARK_IL2_STAT5_SIGNALING,944,0.30404628728183825,0.2449929621407942,0.36085194382783625,0.29464335811352277,0.23526006659021034,0.35183503185107884,0.009402929168315477
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,944,0.40998346059732027,0.35547634108273013,0.4617115223965782,0.38494728391553584,0.3292275813853953,0.4379954281417723,0.025036176681784428
SIG_HALLMARK_INFLAMMATORY_RESPONSE,944,0.4153459339204041,0.3611097381349329,0.46678165022449125,0.38527640722878864,0.32957208751515027,0.4383076774717184,0.030069526691615445
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,944,0.4018065995878588,0.3468939834835073,0.453973926730224,0.3814889836459413,0.32560854106243414,0.43471365910411025,0.0203176159419175
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,944,0.4391098980501862,0.38612204174513975,0.4892094580312036,0.41511028982650755,0.36086210561026716,0.4665589237210176,0.023999608223678637
SIG_HALLMARK_MYC_TARGETS_V1,944,0.5050793730386001,0.45596773609680513,0.5511243783728677,0.446674971935732,0.39410089866163606,0.49633530019347377,0.05840440110286804
SIG_HALLMARK_TGF_BETA_SIGNALING,944,0.2642730013299288,0.20390510345559673,0.32263878159911386,0.24890837389934162,0.1880893924400116,0.307825715417114,0.015364627430587197
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,944,0.33298960212450524,0.2750268448005663,0.38854055627575357,0.3196619781456004,0.26118297683305314,0.3758031390160722,0.013327623978904857
