signature,r_raw,r_axis,r_residual,n,r_residual_refit
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.4683646572734816,-0.29923685365641317,0.41192496786923616,944,0.42237684943354387
SIG_HALLMARK_ANGIOGENESIS,0.3983794100601128,-0.16052802063592134,0.40087678794182124,944,0.4011135783771388
SIG_HALLMARK_COAGULATION,0.4418938399253021,-0.38058840538407485,0.3652019805621819,944,0.36632381042915263
SIG_HALLMARK_COMPLEMENT,0.35994163793510764,-0.32498813743604077,0.3247308345807179,944,0.3250046488125256
SIG_HALLMARK_E2F_TARGETS,0.4965199782445136,0.5163428645258206,0.07728191307675597,944,0.400215323314683
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.4436103100069664,-0.04833287470475265,0.4511732422488677,944,0.45440549542985553
SIG_HALLMARK_G2M_CHECKPOINT,0.4660456867535887,0.5175896223743459,-0.0032706006937066314,944,0.3599101060707678
SIG_HALLMARK_HYPOXIA,0.33063052284093625,0.25966011775317116,0.23952503018953034,944,0.33367222200268554
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.2946433581135229,-0.23727551792962398,0.30368423790857674,944,0.3058666215052902
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.3849472839155357,-0.28800094536310983,0.34542232849174775,944,0.3477906135889696
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.3852764072287886,-0.25409384130332086,0.3488757484725147,944,0.3533128089352133
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.38148898364594125,-0.3196367378537518,0.3442355571337999,944,0.333861578114902
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.41511028982650744,-0.30011144106577214,0.3730902035877036,944,0.3652796628631695
SIG_HALLMARK_MYC_TARGETS_V1,0.446674971935732,0.5031421358506509,0.018743886153161908,944,0.33213760486863375
SIG_HALLMARK_TGF_BETA_SIGNALING,0.24890837389934148,-0.13275190519383362,0.280037719161439,944,0.31047532072977785
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.3196619781456005,-0.08055339004710381,0.32057576380802966,944,0.3208080542604642
