signature,r_residual,r_residual_refit,excess_z_UNCORRECTED_do_not_report,null_draws_dropped_by_disattenuation,alpha_observed,alpha_null_mean,reliability_gap,alpha_observed_raw,alpha_null_mean_raw,null_mean_r,null_sd_r,degenerate,excess_z,excess_lo,excess_hi,beats_null,n
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.38956159389692446,0.3904459048270355,0.33050885576853634,0,0.9817254314437296,0.8172436547397764,0.16448177670395314,0.9822627311624229,0.9534849591673425,0.0815391565658276,0.0338548494841152,0.0,0.3261308520372693,0.2621955433794208,0.39006616069511785,True,944
SIG_HALLMARK_ANGIOGENESIS,0.3736304780877397,0.3658041355845099,0.2694460363548744,0,0.8621573260041429,0.4374968790023687,0.42466044700177413,0.8660349200030341,0.7819205913566306,0.1132508346498176,0.056999735179097344,0.0,0.24127701999885928,0.1771414875507879,0.30541255244693066,True,944
SIG_HALLMARK_COAGULATION,0.2863172289597633,0.26694453382765027,0.18803921348830932,0,0.9370225133426621,0.727253882988726,0.20976863035393611,0.9464033036898536,0.9229640771380807,0.08517002993843084,0.041974723409742065,0.0,0.18278721879371665,0.11882045930851212,0.24675397827892118,True,944
SIG_HALLMARK_COMPLEMENT,0.26200071948377085,0.2645608046079309,0.18493241564117086,0,0.9664328792309338,0.8311413108925043,0.13529156833842948,0.9725753917626995,0.9553266518241864,0.08575935475985651,0.034191452840698494,0.0,0.18148400597314834,0.11754816707179015,0.24541984487450652,True,944
SIG_HALLMARK_E2F_TARGETS,0.2955483062868288,0.3762307399891829,0.2911793856749807,0,0.9881783101221876,0.8724902388474656,0.11568807127472203,0.9939106519909077,0.9644350019661283,0.1039940412537288,0.032097736879780105,0.0,0.28636913121964125,0.22243987139835936,0.35029839104092314,True,944
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.411787696041144,0.38785778730753007,0.31508012174064387,0,0.9850819907616299,0.861924933239848,0.12315705752178197,0.9854456183974379,0.9600256814146058,0.09380945678624247,0.03376643763431489,0.0,0.3112374324432484,0.24730398057616917,0.37517088431032763,True,944
SIG_HALLMARK_G2M_CHECKPOINT,0.2879048399609749,0.3985648515009166,0.32008958214990024,0,0.9821998178433547,0.8607079011312601,0.1214919167120947,0.9922443824691398,0.9623897176936366,0.1013820197648667,0.0341072692672935,0.0,0.31642398353588874,0.25248970262507897,0.3803582644466985,True,944
SIG_HALLMARK_HYPOXIA,0.2578472215038177,0.29343885730463104,0.20549006717221807,0,0.9374700763399694,0.8472319084973176,0.09023816784265182,0.9606820585959325,0.9576472408985142,0.09640626349025411,0.03600565718051753,0.0,0.2076646772687991,0.14372490668039847,0.2716044478571997,True,944
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.20603546844112888,0.20290472065672704,0.12053316464415927,0,0.9539283751376268,0.8381482791910211,0.11578009594660577,0.9647603673511557,0.9592644776801469,0.08493192486847423,0.0321736926378905,0.0,0.11769930922371334,0.0537686529408621,0.18162996550656457,True,944
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.32350042039620813,0.3250400675831281,0.23528370674357557,0,0.9497103990354956,0.6779747148275523,0.27173568420794325,0.9558718713033091,0.9038779668727314,0.10141336916929182,0.045946900926999455,0.0,0.22278123839566455,0.15879227179345973,0.28677020499786937,True,944
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.30508647895231167,0.2976514643401834,0.22457665401952473,0,0.9775273751796411,0.8206133219827425,0.15691405319689855,0.9795833607241615,0.9550916636348183,0.08209084623146624,0.03251493579441305,0.0,0.21976881218977962,0.15583677562464066,0.2837008487549186,True,944
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.31786390678063464,0.3563914541528454,0.25630947511941665,0,0.9789359409413725,0.7800242628299575,0.19891167811141497,0.9805481652606866,0.9292458148966972,0.11567600101197192,0.044683169131124516,0.0,0.24519393456376734,0.1812223810153056,0.3091654881122291,True,944
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.3585084792531965,0.3798897464454265,0.30175964821993007,0,0.9849568309151475,0.863382555589772,0.12157427532537557,0.9861143807638834,0.9630906682116047,0.09774442394340493,0.03381887012786357,0.0,0.29765020158408506,0.233716821152312,0.36158358201585816,True,944
SIG_HALLMARK_MYC_TARGETS_V1,0.21663089554611314,0.28412396054097583,0.1643459272498265,0,0.9851650605178082,0.9258170419280327,0.05934801858977545,0.9915614413102486,0.9661676311634109,0.12701508237764036,0.029181005663880592,0.0,0.1615851375846479,0.09766352577640637,0.22550674939288945,True,944
SIG_HALLMARK_TGF_BETA_SIGNALING,0.15531338104691603,0.17934166848237854,0.057679337194948554,0,0.9030639819323697,0.6528652186725121,0.25019876325985757,0.939155779163004,0.8746823676730208,0.12266146629796677,0.051618492519514926,0.0,0.03767826458597265,-0.026338893275510963,0.10169542244745626,False,944
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.261854411846672,0.24128524777108262,0.14927171161762035,0,0.9770688824288455,0.860721805533258,0.11634707689558743,0.9793927750114614,0.9622111309029813,0.09645231778134059,0.033798315286581906,0.0,0.14468859155313685,0.0807549937210363,0.2086221893852374,True,944
