signature,n,r_random_patient,r_random_patient_lo,r_random_patient_hi,r_preserved_site,r_preserved_site_lo,r_preserved_site_hi,delta_r
SIG_HALLMARK_ALLOGRAFT_REJECTION,944,0.4709132889963052,0.4197184497128072,0.5191213507761896,0.41809920199298567,0.3640036460748792,0.46938350563549314,0.05281408700331952
SIG_HALLMARK_ANGIOGENESIS,944,0.4206610471284895,0.3666972913740658,0.4718036656071806,0.37009200187075336,0.31369341156771313,0.4238884290173151,0.050569045257736145
SIG_HALLMARK_COAGULATION,944,0.46055047891610595,0.40875597392377694,0.5093878190282952,0.39474057604195006,0.3394849501231039,0.4472811503543294,0.06580990287415589
SIG_HALLMARK_COMPLEMENT,944,0.35719150032260083,0.3002278038590956,0.4116165327544247,0.29994560278448895,0.24074691291935146,0.3569209095724719,0.05724589753811188
SIG_HALLMARK_E2F_TARGETS,944,0.5468392954783734,0.5004962819388279,0.5900573672504944,0.4687349497558453,0.4174128158085529,0.5170763279551901,0.07810434572252811
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,944,0.47963519055282683,0.4289566525288884,0.5273039379694653,0.4173909778214651,0.36325914526597036,0.46871431446529904,0.062244212731361714
SIG_HALLMARK_G2M_CHECKPOINT,944,0.5296016654799036,0.482086056356994,0.574010960324502,0.4463538226978578,0.3937620225398751,0.49603293297771917,0.08324784278204583
SIG_HALLMARK_HYPOXIA,944,0.33341384716819744,0.2754679180073157,0.3889456654943601,0.3193316182412556,0.2608401257440095,0.3754871392707418,0.014082228926941831
SIG_HALLMARK_IL2_STAT5_SIGNALING,944,0.2798187256991359,0.21993936243165155,0.33759740244059944,0.22558240901087934,0.16413875148543935,0.28528237897295183,0.05423631668825657
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,944,0.3987128149351182,0.3436491719060634,0.45104428873924274,0.3420174439217773,0.2844180537134322,0.39715656055866166,0.05669537101334088
SIG_HALLMARK_INFLAMMATORY_RESPONSE,944,0.4015025112751765,0.346574992461101,0.45368602238010897,0.3257513714739061,0.2675052588213109,0.38162549988661093,0.0757511398012704
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,944,0.36036088907138547,0.3035339251703687,0.41463331599665765,0.36095792538327093,0.30415687179434814,0.41520147161860255,-0.0005970363118854571
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,944,0.40309393879677513,0.3482445531459218,0.45519263146711364,0.3864253298971242,0.3307748256922803,0.4393975951403512,0.01666860889965094
SIG_HALLMARK_MYC_TARGETS_V1,944,0.49802224485222496,0.44846693874331645,0.5445251192029449,0.40929874310282677,0.3547573151697357,0.4610638901503066,0.08872350174939819
SIG_HALLMARK_TGF_BETA_SIGNALING,944,0.26641859436395954,0.20611619828261082,0.32470507937419624,0.1862629183122268,0.12392959005102844,0.24713201913965227,0.08015567605173274
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,944,0.3082775314001627,0.24937657510297315,0.364906021505565,0.2683758358538195,0.2081337286909302,0.3265895014284477,0.03990169554634315
