signature,r_raw,r_axis,r_residual,n,r_residual_refit
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.4180992019929855,-0.10562900315396069,0.38956159389692446,944,0.3904459048270355
SIG_HALLMARK_ANGIOGENESIS,0.3700920018707534,-0.031170953340871138,0.3736304780877397,944,0.3658041355845099
SIG_HALLMARK_COAGULATION,0.39474057604195006,0.010744252904523867,0.2863172289597633,944,0.26694453382765027
SIG_HALLMARK_COMPLEMENT,0.2999456027844891,-0.054459941819673355,0.26200071948377085,944,0.2645608046079309
SIG_HALLMARK_E2F_TARGETS,0.46873494975584545,0.043164222026712544,0.2955483062868288,944,0.3762307399891829
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.417390977821465,-0.016920731503468095,0.411787696041144,944,0.38785778730753007
SIG_HALLMARK_G2M_CHECKPOINT,0.44635382269785784,0.04862234658610134,0.2879048399609749,944,0.3985648515009166
SIG_HALLMARK_HYPOXIA,0.31933161824125555,0.08086034460925205,0.2578472215038177,944,0.29343885730463104
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.2255824090108794,-0.0030736276931673497,0.20603546844112888,944,0.20290472065672704
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.3420174439217771,-0.07994799204395263,0.32350042039620813,944,0.3250400675831281
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.325751371473906,-0.07785313913197792,0.30508647895231167,944,0.2976514643401834
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.36095792538327093,-0.08023955352575708,0.31786390678063464,944,0.3563914541528454
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.38642532989712414,-0.0883292714060111,0.3585084792531965,944,0.3798897464454265
SIG_HALLMARK_MYC_TARGETS_V1,0.40929874310282666,0.02944841039280984,0.21663089554611314,944,0.28412396054097583
SIG_HALLMARK_TGF_BETA_SIGNALING,0.18626291831222708,0.05290635486562551,0.15531338104691603,944,0.17934166848237854
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.2683758358538196,-0.0397775809228293,0.261854411846672,944,0.24128524777108262
