signature,r_residual,r_residual_refit,excess_z_UNCORRECTED_do_not_report,null_draws_dropped_by_disattenuation,alpha_observed,alpha_null_mean,reliability_gap,alpha_observed_raw,alpha_null_mean_raw,null_mean_r,null_sd_r,degenerate,excess_z,excess_lo,excess_hi,beats_null,n
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.4409703821198026,0.44416292756963555,0.4037413280396758,0,0.9817254314437296,0.8172436547397764,0.16448177670395314,0.9822627311624229,0.9534849591673425,0.07341934641356049,0.038314083404688386,0.0,0.4011419855063679,0.33719491415222713,0.4650890568605087,True,944
SIG_HALLMARK_ANGIOGENESIS,0.40963602817150313,0.40237446174874136,0.3116179144765904,0,0.8621573260041429,0.4374968790023687,0.42466044700177413,0.8660349200030341,0.7819205913566306,0.11390927006779347,0.06135489399448615,0.0,0.2880802441891246,0.22391245384256053,0.35224803453568865,True,944
SIG_HALLMARK_COAGULATION,0.34641302157026177,0.3343446232264784,0.27314555802119334,0,0.9370225133426621,0.727253882988726,0.20976863035393611,0.9464033036898536,0.9229640771380807,0.07425481659079175,0.04682491578663988,0.0,0.27286488625154476,0.2088805469973929,0.3368492255056966,True,944
SIG_HALLMARK_COMPLEMENT,0.33380748625512363,0.3424539230265289,0.287955058889637,0,0.9664328792309338,0.8311413108925043,0.13529156833842948,0.9725753917626995,0.9553266518241864,0.06869581501454224,0.039245896707746614,0.0,0.28801991573506125,0.2240707825663513,0.35196904890377123,True,944
SIG_HALLMARK_E2F_TARGETS,0.30364196522355674,0.40325696736913846,0.345127291022224,0,0.9881783101221876,0.8724902388474656,0.11568807127472203,0.9939106519909077,0.9644350019661283,0.08210331374185975,0.03677569742644457,0.0,0.34218021459601355,0.27824000629403545,0.40612042289799166,True,944
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.44677412019184987,0.44027399196995953,0.3992151556319872,0,0.9850819907616299,0.861924933239848,0.12315705752178197,0.9854456183974379,0.9600256814146058,0.07312399165992935,0.03647581373264135,0.0,0.3977084933891818,0.3337686638074544,0.4616483229709092,True,944
SIG_HALLMARK_G2M_CHECKPOINT,0.2805294442416836,0.38914265950915106,0.32990095134679787,0,0.9821998178433547,0.8607079011312601,0.1214919167120947,0.9922443824691398,0.9623897176936366,0.08059251972846912,0.038242509922481065,0.0,0.327777094413672,0.2638324831916884,0.39172170563565556,True,944
SIG_HALLMARK_HYPOXIA,0.27939145691279055,0.3391168834367265,0.2754701735219836,0,0.9374700763399694,0.8472319084973176,0.09023816784265182,0.9606820585959325,0.9576472408985142,0.07733843594878001,0.040624071034806856,0.0,0.28141731300140976,0.21746516753103248,0.345369458471787,True,944
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.293315488001226,0.2850569568237249,0.22551132982597874,0,0.9539283751376268,0.8381482791910211,0.11578009594660577,0.9647603673511557,0.9592644776801469,0.06747118998133324,0.03637557041138319,0.0,0.2267217157694993,0.16278088296242116,0.2906625485765774,True,944
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.3769459139518887,0.3882869453122308,0.3164625141398414,0,0.9497103990354956,0.6779747148275523,0.27173568420794325,0.9558718713033091,0.9038779668727314,0.09278538504419098,0.05192019734146815,0.0,0.3085647493764398,0.24455115535671107,0.3725783433961685,True,944
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.37297503632466233,0.3745290827434341,0.31237798702404374,0,0.9775273751796411,0.8206133219827425,0.15691405319689855,0.9795833607241615,0.9550916636348183,0.08100330183977311,0.03815263774984724,0.0,0.30899866173083695,0.24505207125768597,0.37294525220398794,True,944
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.3472917993954114,0.37078206652907353,0.2875128778745401,0,0.9789359409413725,0.7800242628299575,0.19891167811141497,0.9805481652606866,0.9292458148966972,0.10122453970191023,0.048271581353703436,0.0,0.27870180582425175,0.2147181492382908,0.3426854624102127,True,944
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.39248413591170295,0.4052104807647,0.35172762904931887,0,0.9849568309151475,0.863382555589772,0.12157427532537557,0.9861143807638834,0.9630906682116047,0.07787318543860362,0.03684464889514564,0.0,0.3495056014772805,0.2855649723394578,0.41344623061510316,True,944
SIG_HALLMARK_MYC_TARGETS_V1,0.24306469994923774,0.3290635613060463,0.21628295323887609,0,0.9851650605178082,0.9258170419280327,0.05934801858977545,0.9915614413102486,0.9661676311634109,0.12473349529585297,0.02901413503641054,0.0,0.21409077750791003,0.15016971300098883,0.2780118420148312,True,944
SIG_HALLMARK_TGF_BETA_SIGNALING,0.24092665246763437,0.25381340968727795,0.14506386914818653,0,0.9030639819323697,0.6528652186725121,0.25019876325985757,0.939155779163004,0.8746823676730208,0.11354555425719497,0.0565731584972819,0.0,0.1320108417744195,0.06796910886556197,0.19605257468327703,True,944
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.32714617930659073,0.3237191130133761,0.2593261830221315,0,0.9770688824288455,0.860721805533258,0.11634707689558743,0.9793927750114614,0.9622111309029813,0.07621158497677562,0.03752310137669809,0.0,0.2576141200644288,0.19367146086927234,0.32155677925958526,True,944
