signature,r_residual,r_residual_refit,excess_z_UNCORRECTED_do_not_report,null_draws_dropped_by_disattenuation,alpha_observed,alpha_null_mean,reliability_gap,alpha_observed_raw,alpha_null_mean_raw,null_mean_r,null_sd_r,degenerate,excess_z,excess_lo,excess_hi,beats_null,n
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.4409703821198026,0.44416292756963555,0.41046330349460275,0,0.9817254314437296,0.7477617612343738,0.23396367020935582,0.9822627311624229,0.8748298314585602,0.06673632364033617,0.039424782978857764,0.0,0.4051580023193737,0.3412020928990117,0.4691139117397357,True,944
SIG_HALLMARK_ANGIOGENESIS,0.40963602817150313,0.40237446174874136,0.3400571219394192,0,0.8621573260041429,0.3331482519001652,0.5290090741039777,0.8660349200030341,0.5271282278558551,0.085918035089589,0.056945993220291126,0.0,0.308652493865134,0.24441696847171207,0.3728880192585559,True,944
SIG_HALLMARK_COAGULATION,0.34641302157026177,0.3343446232264784,0.2763252744326269,0,0.9370225133426621,0.6678213986801577,0.2692011146625044,0.9464033036898536,0.8279285475360474,0.07111232916539047,0.045947532825244816,0.0,0.27273490090742175,0.20874473162146326,0.33672507019338027,True,944
SIG_HALLMARK_COMPLEMENT,0.33380748625512363,0.3424539230265289,0.28992817133355203,0,0.9664328792309338,0.7477617612343738,0.21867111799656003,0.9725753917626995,0.8748298314585602,0.06673632364033617,0.039424782978857764,0.0,0.28618014606380243,0.22222423664344043,0.35013605548416443,True,944
SIG_HALLMARK_E2F_TARGETS,0.30364196522355674,0.40325696736913846,0.3668315832071605,0,0.9881783101221876,0.7477617612343738,0.24041654888781383,0.9939106519909077,0.8748298314585602,0.06052975937184084,0.039583654878972356,0.0,0.36025779072443825,0.2963014201743003,0.42421416127457623,True,944
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.44677412019184987,0.44027399196995953,0.40550434832744586,0,0.9850819907616299,0.7477617612343738,0.23732022952725618,0.9854456183974379,0.8748298314585602,0.06686343115328243,0.03872600679093936,0.0,0.3991654533779723,0.3352117696063767,0.4631191371495679,True,944
SIG_HALLMARK_G2M_CHECKPOINT,0.2805294442416836,0.38914265950915106,0.34717447427653264,0,0.9821998178433547,0.7473599255012959,0.23483989234205882,0.9922443824691398,0.8738748428102507,0.06342274699787029,0.04035688002076664,0.0,0.341387309519196,0.2774283522975142,0.40534626674087776,True,944
SIG_HALLMARK_HYPOXIA,0.27939145691279055,0.3391168834367265,0.28606942736592417,0,0.9374700763399694,0.7452707112962486,0.19219936504372082,0.9606820585959325,0.8743504024050508,0.06682288241511221,0.038580474264713026,0.0,0.2880800628026149,0.22412650674565374,0.35203361885957607,True,944
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.293315488001226,0.2850569568237249,0.2312352440569765,0,0.9539283751376268,0.7473599255012959,0.20656844963633092,0.9647603673511557,0.8738748428102507,0.06176094689291468,0.040170470984267424,0.0,0.22899187484904515,0.16503354723204045,0.29295020246604986,True,944
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.3769459139518887,0.3882869453122308,0.3335478524302314,0,0.9497103990354956,0.5574194131467082,0.3922909858887874,0.9558718713033091,0.7462987655725929,0.0758904213153466,0.05077365700758772,0.0,0.3194501551859654,0.2554139463526799,0.38348636401925096,True,944
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.37297503632466233,0.3745290827434341,0.32673915590682107,0,0.9775273751796411,0.7477617612343738,0.2297656139452673,0.9795833607241615,0.8748298314585602,0.06673632364033617,0.039424782978857764,0.0,0.3212842468850368,0.2573283374646748,0.3852401563053988,True,944
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.3472917993954114,0.37078206652907353,0.31487767819731727,0,0.9789359409413725,0.5851815265069179,0.3937544144344546,0.9805481652606866,0.7680397985992348,0.07413957082896823,0.049086766358925706,0.0,0.29656714298002895,0.23254764532005678,0.3605866406400011,True,944
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.39248413591170295,0.4052104807647,0.36284250121347483,0,0.9849568309151475,0.7452707112962486,0.23968611961889896,0.9861143807638834,0.8743504024050508,0.06682288241511221,0.038580474264713026,0.0,0.3559193886712616,0.2919658326143004,0.4198729447282228,True,944
SIG_HALLMARK_MYC_TARGETS_V1,0.24306469994923774,0.3290635613060463,0.27755899948477647,0,0.9851650605178082,0.7477617612343738,0.2374032992834344,0.9915614413102486,0.8748298314585602,0.06403053588009494,0.039150079713403674,0.0,0.27032091631953015,0.20636592519814256,0.33427590744091773,True,944
SIG_HALLMARK_TGF_BETA_SIGNALING,0.24092665246763437,0.25381340968727795,0.1752960213069234,0,0.9030639819323697,0.43680960231350924,0.46625437961886046,0.939155779163004,0.6389818220495549,0.08371168521017272,0.05630627820598524,0.0,0.14432193289714537,0.08019226670427451,0.20845159909001623,True,944
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.32714617930659073,0.3237191130133761,0.2732247774366077,0,0.9770688824288455,0.7452707112962486,0.23179817113259693,0.9793927750114614,0.8743504024050508,0.06239629430089887,0.03818882808323773,0.0,0.26754905130578827,0.2035967899826857,0.3315013126288908,True,944
