signature,r_residual,r_residual_refit,excess_z_UNCORRECTED_do_not_report,null_draws_dropped_by_disattenuation,alpha_observed,alpha_null_mean,reliability_gap,alpha_observed_raw,alpha_null_mean_raw,null_mean_r,null_sd_r,degenerate,excess_z,excess_lo,excess_hi,beats_null,n
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.4313969197064552,0.42962528321149923,0.4132278031660651,0,0.9817254314437296,0.8172436547397764,0.16448177670395314,0.9822627311624229,0.9534849591673425,0.04610665591393762,0.03772482836524774,0.0,0.413347971944362,0.3494027751839114,0.47729316870481264,True,944
SIG_HALLMARK_ANGIOGENESIS,0.41699896544130943,0.41459404050634263,0.33604800666190326,0,0.8621573260041429,0.4374968790023687,0.42466044700177413,0.8660349200030341,0.7819205913566306,0.10429447162897519,0.06210670283352271,0.0,0.3195911534970708,0.25541461803103427,0.3837676889631073,True,944
SIG_HALLMARK_COAGULATION,0.35068905538060147,0.34115364441663937,0.3026076060032653,0,0.9370225133426621,0.727253882988726,0.20976863035393611,0.9464033036898536,0.9229640771380807,0.05261881195349048,0.046524252485752086,0.0,0.30650048369522037,0.24251766399748934,0.37048330339295144,True,944
SIG_HALLMARK_COMPLEMENT,0.3254164842823278,0.3367108853342895,0.30954977816760476,0,0.9664328792309338,0.8311413108925043,0.13529156833842948,0.9725753917626995,0.9553266518241864,0.04074286389898278,0.038201059213274664,0.0,0.31223342969991674,0.24828749934909566,0.3761793600507378,True,944
SIG_HALLMARK_E2F_TARGETS,0.306414033452317,0.39336562130977903,0.363413531321477,0,0.9881783101221876,0.8724902388474656,0.11568807127472203,0.9939106519909077,0.9644350019661283,0.05224397142527539,0.03550839348103609,0.0,0.36251948060399297,0.2985828388372495,0.42645612237073643,True,944
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.45217896736680113,0.4504089941027145,0.4394486072305455,0,0.9850819907616299,0.861924933239848,0.12315705752178197,0.9854456183974379,0.9600256814146058,0.04567161127501593,0.03591380066975001,0.0,0.440241472816332,0.37630332634666014,0.5041796192860039,True,944
SIG_HALLMARK_G2M_CHECKPOINT,0.28445082197091903,0.3872056005245466,0.3589988506461705,0,0.9821998178433547,0.8607079011312601,0.1214919167120947,0.9922443824691398,0.9623897176936366,0.04939805185512284,0.037348439375314214,0.0,0.3593279303588669,0.29538606138373136,0.42326979933400244,True,944
SIG_HALLMARK_HYPOXIA,0.27515202700664054,0.3383129099608083,0.3036181491317822,0,0.9374700763399694,0.8472319084973176,0.09023816784265182,0.9606820585959325,0.9576472408985142,0.048453673558395575,0.038911223597327724,0.0,0.31207344661062414,0.2481265254986332,0.37602036772261505,True,944
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.26860983595945226,0.27278619460338477,0.2420326702071927,0,0.9539283751376268,0.8381482791910211,0.11578009594660577,0.9647603673511557,0.9592644776801469,0.03777176168135849,0.03504823909082038,0.0,0.2456572112946671,0.18172004639709205,0.30959437619224217,True,944
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.3828170140225143,0.38570569062700705,0.3364109418686691,0,0.9497103990354956,0.6779747148275523,0.27173568420794325,0.9558718713033091,0.9038779668727314,0.0700268403292264,0.050838455832182446,0.0,0.3334957294107342,0.2694877454169134,0.397503713404555,True,944
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.37273795000441357,0.37057516556960274,0.3354211842397706,0,0.9775273751796411,0.8206133219827425,0.15691405319689855,0.9795833607241615,0.9550916636348183,0.05353928704315102,0.03775368622099089,0.0,0.334898080588785,0.27095283434384376,0.39884332683372625,True,944
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.3537349219142035,0.3735991461996876,0.3195014272041876,0,0.9789359409413725,0.7800242628299575,0.19891167811141497,0.9805481652606866,0.9292458148966972,0.07279886343976318,0.04743891372609584,0.0,0.314624504150339,0.25064442226279743,0.37860458603788055,True,944
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.4025147473356397,0.4126086123533153,0.3909130881827104,0,0.9849568309151475,0.863382555589772,0.12157427532537557,0.9861143807638834,0.9630906682116047,0.047737192631683405,0.03618058087341356,0.0,0.3911289392138644,0.3271902830595475,0.45506759536818125,True,944
SIG_HALLMARK_MYC_TARGETS_V1,0.24108327159529705,0.313799743884125,0.22506319219155305,0,0.9851650605178082,0.9258170419280327,0.05934801858977545,0.9915614413102486,0.9661676311634109,0.09927949648643532,0.02877777995777777,0.0,0.22375516500015186,0.15983483765319706,0.28767549234710665,True,944
SIG_HALLMARK_TGF_BETA_SIGNALING,0.21009347062089553,0.24396818403916742,0.15620903356458643,0,0.9030639819323697,0.6528652186725121,0.25019876325985757,0.939155779163004,0.8746823676730208,0.09222099597616722,0.055153365287084595,0.0,0.14791372796943852,0.083880401721146,0.21194705421773105,True,944
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.3171661123355738,0.31190610720601375,0.27422216092893403,0,0.9770688824288455,0.860721805533258,0.11634707689558743,0.9793927750114614,0.9622111309029813,0.04832849121393894,0.03686792372223738,0.0,0.27453415401868964,0.2105935155323696,0.33847479250500967,True,944
