signature,adjustment,mde_80pct_z,mde_80pct_c_index,observed,null_mean,null_sd,n_null,excess_z,excess_lo,excess_hi,beats_null,metric,stratified,endpoint,n_events
SIG_HALLMARK_ALLOGRAFT_REJECTION,axis_residualised,0.09229274857656387,0.046015794985735436,0.517806724084751,0.5332951811516834,0.012638731532290066,1000,-0.03110378514697365,-0.09567096735323752,0.03346339705929022,False,c_index,True,PFI,328
SIG_HALLMARK_ALLOGRAFT_REJECTION,raw,0.09227093129020443,0.04600497871501351,0.521804636154412,0.5203499774598429,0.005745125585642268,1000,0.0029090801324318932,-0.061642838895247076,0.06746099916011086,False,c_index,True,PFI,328
SIG_HALLMARK_ANGIOGENESIS,axis_residualised,0.0923125323856229,0.04602560308981866,0.5516169596887086,0.528675718319216,0.01658254873522794,1000,0.04612058112829513,-0.01846044165400476,0.11070160391059503,False,c_index,True,PFI,328
SIG_HALLMARK_ANGIOGENESIS,raw,0.09228754260561463,0.04601321404582592,0.5365743706550882,0.5228320046503904,0.011403946924088063,1000,0.027559125752097374,-0.037004414403409264,0.09212266590760401,False,c_index,True,PFI,328
SIG_HALLMARK_COAGULATION,axis_residualised,0.09229808610823045,0.04601844114631983,0.5181388948205091,0.533803924359978,0.01381059915014076,1000,-0.0314695508386378,-0.09604046713436117,0.03310136545708557,False,c_index,True,PFI,328
SIG_HALLMARK_COAGULATION,raw,0.09227397645512131,0.046006488407121245,0.5037962369800935,0.522471101145989,0.007127024226657184,1000,-0.03738910452556662,-0.10194315392341083,0.027164944872277587,False,c_index,True,PFI,328
SIG_HALLMARK_COMPLEMENT,axis_residualised,0.09228847636140211,0.04601367696975475,0.5206420385792583,0.5378796592877311,0.011601193109387698,1000,-0.03463823940330188,-0.0992024328060137,0.029925953999409935,False,c_index,True,PFI,328
SIG_HALLMARK_COMPLEMENT,raw,0.09227083394685963,0.046004930455386894,0.5087787980164662,0.5236847936982467,0.005692155845674366,1000,-0.029851817846018563,-0.09440366877316332,0.034700033081126194,False,c_index,True,PFI,328
SIG_HALLMARK_E2F_TARGETS,axis_residualised,0.09227872540377365,0.04600884277719791,0.5349609699385484,0.5458638693145419,0.008810282176238476,1000,-0.021978639608787223,-0.08653601132867356,0.04257873211109911,False,c_index,True,PFI,328
SIG_HALLMARK_E2F_TARGETS,raw,0.09226982636958385,0.046004430931683854,0.5424822644553586,0.5310918807981588,0.005140835533909476,1000,0.022899239256413247,-0.04165190677867276,0.08745038529149926,False,c_index,True,PFI,328
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,axis_residualised,0.09228138755266815,0.04601016258077581,0.5415213419697724,0.5421218710703015,0.009655231173019974,1000,-0.0012410216139381453,-0.06580025574940297,0.06331821252152668,False,c_index,True,PFI,328
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,raw,0.09227043798508494,0.04600473415056186,0.5325645953448644,0.5287789522385934,0.005479328455713069,1000,0.0075930160374392194,-0.056958557878386155,0.07214458995326459,False,c_index,True,PFI,328
SIG_HALLMARK_G2M_CHECKPOINT,axis_residualised,0.0922800844254886,0.0460095165343798,0.5510712506228201,0.5445857119130662,0.00924800923410659,1000,0.01306027670603764,-0.0514980457732967,0.07761859918537198,False,c_index,True,PFI,328
SIG_HALLMARK_G2M_CHECKPOINT,raw,0.0922698191175608,0.046004427336368794,0.5524711130092296,0.5291583386717916,0.005138670355292725,1000,0.04694094414657686,-0.017610196815058626,0.11149208510821235,False,c_index,True,PFI,328
SIG_HALLMARK_HYPOXIA,axis_residualised,0.09228336569079443,0.046011143274480526,0.5710014947683109,0.5437680736469974,0.01022503609627996,1000,0.05517156618455084,-0.009389051838671128,0.1197321842077728,False,c_index,True,PFI,328
SIG_HALLMARK_HYPOXIA,raw,0.09227122609925978,0.04600512487163521,0.5501696443400479,0.5289232804232804,0.005883650220356574,1000,0.04275880655312846,-0.021793318720331308,0.10731093182658824,False,c_index,True,PFI,328
