signature,n,r_random_patient,r_random_patient_lo,r_random_patient_hi,r_preserved_site,r_preserved_site_lo,r_preserved_site_hi,r_site_only,r_type_only,r_purity_only,r_covariates,embedding_over_covariates,delta_r
SIG_HALLMARK_ALLOGRAFT_REJECTION,944,0.4738280216909155,0.4228045431812427,0.5218568359416518,0.46836465727348175,0.4170209504038976,0.5167286428318525,0.14066315784464145,0.13046401738942995,0.47112205159583864,0.4466732299119733,0.0271547917789422,0.005463364417433725
SIG_HALLMARK_ANGIOGENESIS,944,0.40703828450670076,0.352384052119834,0.4589254695149914,0.3983794100601127,0.34329956992078353,0.45072850596957864,0.17430033966893455,-0.07954577452353281,0.3385192786868121,0.34037077959158435,0.06666750491511642,0.008658874446588083
SIG_HALLMARK_COAGULATION,944,0.4548377870754629,0.40271908915837396,0.5040166800174447,0.4418938399253022,0.389057333757773,0.4918325409791863,0.3121331925843638,0.24799987786982297,0.36565810733225296,0.44505632479396184,0.009781462281501063,0.012943947150160728
SIG_HALLMARK_COMPLEMENT,944,0.3602157431970636,0.30338248756424707,0.41449518493103493,0.35994163793510764,0.3030965083149885,0.41423432018227146,0.22747370713397289,0.1785332052569445,0.3728954244115314,0.397388267607759,-0.03717252441069541,0.0002741052619559814
SIG_HALLMARK_E2F_TARGETS,944,0.5485396715583646,0.5023146007054244,0.5916383891991904,0.4965199782445141,0.4468711278536989,0.5431195765329673,0.42372008410762685,0.42707824434376407,0.23314337943144925,0.4682918584860017,0.0802478130723629,0.05201969331385048
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,944,0.4566120480626683,0.40459355342355674,0.5056852680801586,0.44361031000696644,0.3908676552628517,0.49344938008597117,0.15831251780941624,0.051491846944242144,0.34430985484735527,0.3484313114146835,0.10818073664798483,0.013001738055701872
SIG_HALLMARK_G2M_CHECKPOINT,944,0.5275157784220654,0.47986111856707636,0.5720669043770203,0.46604568675358876,0.41456731265533586,0.5145508889106732,0.43023799853418426,0.41826955033059354,0.19523822991828835,0.4607480088814082,0.06676776954065722,0.06147009166847667
SIG_HALLMARK_HYPOXIA,944,0.34404037207834004,0.2865239210368061,0.3990858734914658,0.33063052284093625,0.272574634911419,0.3862874928726386,0.23326097615220817,0.17759201547651657,0.08251572828384597,0.26262577011560784,0.0814146019627322,0.013409849237403793
SIG_HALLMARK_IL2_STAT5_SIGNALING,944,0.2942626769460622,0.23486627729642032,0.35146975505025374,0.29464335811352277,0.23526006659021034,0.35183503185107884,0.2135266639681827,0.04695914523771341,0.3065207499865514,0.3439618462601196,-0.049699169314057434,-0.00038068116746059477
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,944,0.39974661990749605,0.34473329710067313,0.4520233686845174,0.38494728391553584,0.3292275813853953,0.4379954281417723,0.1931539042149512,0.10668376182302362,0.4245369016687518,0.4320313489438562,-0.03228472903636015,0.014799335991960205
SIG_HALLMARK_INFLAMMATORY_RESPONSE,944,0.40356726487877764,0.3487411849239343,0.4556406731002124,0.38527640722878864,0.32957208751515027,0.4383076774717184,0.20032522112807,0.0699395186134673,0.4341367131028746,0.4454252922621746,-0.041858027383396945,0.018290857649989
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,944,0.35881913558221523,0.30192548700195604,0.4131659466600208,0.3814889836459413,0.32560854106243414,0.43471365910411025,0.11356354892460341,0.21652763843469336,0.29201844787773756,0.2625298363974965,0.09628929918471874,-0.022669848063726072
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,944,0.4078799600344326,0.35326764794058463,0.45972177479693926,0.41511028982650755,0.36086210561026716,0.4665589237210176,0.12520368927688486,0.17568213201776534,0.3821623259328378,0.3461655627781278,0.06171439725630479,-0.007230329792074941
SIG_HALLMARK_MYC_TARGETS_V1,944,0.5007829479525464,0.4514003714186549,0.5471073926919143,0.446674971935732,0.39410089866163606,0.49633530019347377,0.4241536236596336,0.4102718182366417,0.30032651612528843,0.4863414419741911,0.014441505978355307,0.054107976016814385
SIG_HALLMARK_TGF_BETA_SIGNALING,944,0.2779807093069287,0.21804189710883834,0.3358303209380805,0.24890837389934162,0.1880893924400116,0.307825715417114,0.25146553472810174,0.021486679010574508,0.042659465921309446,0.2535660860290512,0.024414623277877523,0.02907233540758708
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,944,0.33601873411320116,0.27817666566579363,0.39143258679848747,0.3196619781456004,0.26118297683305314,0.3758031390160722,0.17023131319774434,-0.07762401313160044,0.3014116671986382,0.3142049347664092,0.02181379934679195,0.016356755967600778
