signature,r_residual,r_residual_refit,excess_z_UNCORRECTED_do_not_report,null_draws_dropped_by_disattenuation,alpha_observed,alpha_null_mean,reliability_gap,alpha_observed_raw,alpha_null_mean_raw,null_mean_r,null_sd_r,degenerate,excess_z,excess_lo,excess_hi,beats_null,n,p_two_sided,q_bh,beats_null_bh
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.4409703821198026,0.4441629275696355,0.4037413280396758,0,0.9817254314437296,0.8172436547397764,0.1644817767039531,0.9822627311624228,0.9534849591673424,0.0734193464135604,0.0383140834046883,0.0,0.4011419855063679,0.3371949141522271,0.4650890568605087,True,944,9.645747658527358e-35,1.5433196253643772e-33,True
SIG_HALLMARK_ANGIOGENESIS,0.4096360281715031,0.4023744617487413,0.3116179144765904,0,0.8621573260041429,0.4374968790023687,0.4246604470017741,0.8660349200030341,0.7819205913566306,0.1139092700677934,0.0613548939944861,0.0,0.2880802441891246,0.2239124538425605,0.3522480345356886,True,944,1.3776272839885055e-18,2.449115171535121e-18,True
SIG_HALLMARK_COAGULATION,0.3464130215702617,0.3343446232264784,0.2731455580211933,0,0.937022513342662,0.727253882988726,0.2097686303539361,0.9464033036898536,0.9229640771380808,0.0742548165907917,0.0468249157866398,0.0,0.2728648862515447,0.2088805469973929,0.3368492255056966,True,944,6.358595376179662e-17,8.478127168239549e-17,True
SIG_HALLMARK_COMPLEMENT,0.3338074862551236,0.3424539230265289,0.287955058889637,0,0.9664328792309338,0.8311413108925043,0.1352915683384294,0.9725753917626996,0.9553266518241864,0.0686958150145422,0.0392458967077466,0.0,0.2880199157350612,0.2240707825663513,0.3519690489037712,True,944,1.0707595951240306e-18,2.141519190248061e-18,True
SIG_HALLMARK_E2F_TARGETS,0.3036419652235567,0.4032569673691384,0.345127291022224,0,0.9881783101221876,0.8724902388474656,0.115688071274722,0.9939106519909076,0.9644350019661284,0.0821033137418597,0.0367756974264445,0.0,0.3421802145960135,0.2782400062940354,0.4061204228979916,True,944,9.717782432771227e-26,3.8871129731084907e-25,True
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.4467741201918498,0.4402739919699595,0.3992151556319872,0,0.98508199076163,0.861924933239848,0.1231570575217819,0.985445618397438,0.9600256814146058,0.0731239916599293,0.0364758137326413,0.0,0.3977084933891818,0.3337686638074544,0.4616483229709092,True,944,3.468781393799676e-34,2.775025115039741e-33,True
SIG_HALLMARK_G2M_CHECKPOINT,0.2805294442416836,0.389142659509151,0.3299009513467978,0,0.9821998178433547,0.8607079011312601,0.1214919167120947,0.9922443824691398,0.9623897176936366,0.0805925197284691,0.038242509922481,0.0,0.327777094413672,0.2638324831916884,0.3917217056356555,True,944,9.501083353205831e-24,3.040346673025866e-23,True
SIG_HALLMARK_HYPOXIA,0.2793914569127905,0.3391168834367265,0.2754701735219836,0,0.9374700763399694,0.8472319084973176,0.0902381678426518,0.9606820585959324,0.9576472408985142,0.07733843594878,0.0406240710348068,0.0,0.2814173130014097,0.2174651675310324,0.345369458471787,True,944,6.426326366104662e-18,1.0282122185767459e-17,True
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.293315488001226,0.2850569568237249,0.2255113298259787,0,0.9539283751376268,0.8381482791910211,0.1157800959466057,0.9647603673511556,0.9592644776801468,0.0674711899813332,0.0363755704113831,0.0,0.2267217157694993,0.1627808829624211,0.2906625485765774,True,944,3.66194035514029e-12,4.185074691588903e-12,True
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.3769459139518887,0.3882869453122308,0.3164625141398414,0,0.9497103990354956,0.6779747148275523,0.2717356842079432,0.9558718713033092,0.9038779668727314,0.0927853850441909,0.0519201973414681,0.0,0.3085647493764398,0.244551155356711,0.3725783433961685,True,944,3.466384629085535e-21,7.923164866481224e-21,True
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.3729750363246623,0.3745290827434341,0.3123779870240437,0,0.9775273751796412,0.8206133219827425,0.1569140531968985,0.9795833607241616,0.9550916636348185,0.0810033018397731,0.0381526377498472,0.0,0.3089986617308369,0.2450520712576859,0.3729452522039879,True,944,2.77672002775115e-21,7.404586740669733e-21,True
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.3472917993954114,0.3707820665290735,0.2875128778745401,0,0.9789359409413724,0.7800242628299575,0.1989116781114149,0.9805481652606866,0.9292458148966972,0.1012245397019102,0.0482715813537034,0.0,0.2787018058242517,0.2147181492382908,0.3426854624102127,True,944,1.3743481091282192e-17,1.9990517950955916e-17,True
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.3924841359117029,0.4052104807647,0.3517276290493188,0,0.9849568309151476,0.863382555589772,0.1215742753253755,0.9861143807638834,0.9630906682116048,0.0778731854386036,0.0368446488951456,0.0,0.3495056014772805,0.2855649723394578,0.4134462306151031,True,944,8.811362385730428e-27,4.6993932723895615e-26,True
SIG_HALLMARK_MYC_TARGETS_V1,0.2430646999492377,0.3290635613060463,0.216282953238876,0,0.9851650605178082,0.9258170419280328,0.0593480185897754,0.9915614413102486,0.9661676311634108,0.1247334952958529,0.0290141350364105,0.0,0.21409077750791,0.1501697130009888,0.2780118420148312,True,944,5.220563219656667e-11,5.568600767633778e-11,True
SIG_HALLMARK_TGF_BETA_SIGNALING,0.2409266524676343,0.2538134096872779,0.1450638691481865,0,0.9030639819323696,0.6528652186725121,0.2501987632598575,0.939155779163004,0.8746823676730208,0.1135455542571949,0.0565731584972819,0.0,0.1320108417744195,0.0679691088655619,0.196052574683277,True,944,5.342311460498561e-05,5.342311460498561e-05,True
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.3271461793065907,0.3237191130133761,0.2593261830221315,0,0.9770688824288456,0.860721805533258,0.1163470768955874,0.9793927750114614,0.9622111309029812,0.0762115849767756,0.037523101376698,0.0,0.2576141200644288,0.1936714608692723,0.3215567792595852,True,944,2.8716140668685892e-15,3.534294236145956e-15,True
