signature,n,n_sites,r2_site_only,adj_r2_site_only,r2_type_only,r2_site_given_type,r2_site_plus_plate,r2_plate_within_site
SIG_HALLMARK_E2F_TARGETS,796,31,0.2686509870537753,0.23997063360490367,0.2090335844144644,0.058325116437278224,0.2686509870537753,0.0
SIG_HALLMARK_MYC_TARGETS_V1,796,31,0.2657244991584278,0.23692938147836606,0.18383459801490276,0.08162081972998514,0.2657244991584278,0.0
SIG_HALLMARK_G2M_CHECKPOINT,796,31,0.26174260362180357,0.23279133317559975,0.1960729662806301,0.06481527795024977,0.26174260362180357,0.0
SIG_HALLMARK_COAGULATION,796,31,0.20732294764860737,0.17623757304659193,0.07726524735550488,0.1291304544793478,0.20732294764860737,0.0
SIG_HALLMARK_COMPLEMENT,796,31,0.16775362514098413,0.13511651240141476,0.04596055318297987,0.12177760771532475,0.16775362514098413,0.0
SIG_HALLMARK_INFLAMMATORY_RESPONSE,796,31,0.1517944584177634,0.11853149600277368,0.015818595045612338,0.13574885487164556,0.1517944584177634,0.0
SIG_HALLMARK_HYPOXIA,796,31,0.14776771274722578,0.114346838737313,0.049382385362725545,0.09837017559552053,0.14776771274722578,0.0
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,796,31,0.1472051321635407,0.11376219616995398,0.02467476629515275,0.12217652792137357,0.1472051321635407,0.0
SIG_HALLMARK_IL2_STAT5_SIGNALING,796,31,0.14347456724353946,0.10988533458642324,0.009480005248484802,0.13399345866467138,0.14347456724353946,0.0
SIG_HALLMARK_TGF_BETA_SIGNALING,796,31,0.1430564773867391,0.10945084904896407,0.012426289890475117,0.13062525457876717,0.1430564773867391,0.0
SIG_HALLMARK_ALLOGRAFT_REJECTION,796,31,0.12455946987269606,0.09022846869123313,0.027724531334454405,0.09610370819042047,0.12455946987269606,0.0
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,796,31,0.11645954615454834,0.08181090090570697,0.043626975322753836,0.07183085531829903,0.11645954615454834,0.0
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,796,31,0.11407103620867365,0.07932872390313139,0.06058820833862,0.05252919021797908,0.11407103620867365,0.0
SIG_HALLMARK_ANGIOGENESIS,796,31,0.11182244411317943,0.07699195172546092,0.0011136325865336305,0.10962634825631168,0.11182244411317943,0.0
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,796,31,0.10767734949130225,0.07268430437331408,0.007949223768461855,0.09804481863490155,0.10767734949130225,0.0
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,796,31,0.1006909725566073,0.06542395187255257,0.00011179212873435596,0.10011041633891982,0.1006909725566073,0.0
