signature,adjustment,mde_80pct_z,mde_80pct_c_index,observed,null_mean,null_sd,n_null,excess_z,excess_lo,excess_hi,beats_null,metric,stratified,endpoint,n_events,p_two_sided,q_bh,beats_null_bh
SIG_HALLMARK_ALLOGRAFT_REJECTION,axis_residualised,0.0922927485765638,0.0460157949857354,0.517806724084751,0.5332951811516834,0.01263873153229,1000,-0.0311037851469736,-0.0956709673532375,0.0334633970592902,False,c_index,True,PFI,328,0.34508355649414313,0.6034198757977481,False
SIG_HALLMARK_ALLOGRAFT_REJECTION,raw,0.0922709312902044,0.0460049787150135,0.521804636154412,0.5203499774598429,0.0057451255856422,1000,0.0029090801324318,-0.061642838895247,0.0674609991601108,False,c_index,True,PFI,328,0.9296165960272973,0.9596042281572101,False
SIG_HALLMARK_ANGIOGENESIS,axis_residualised,0.0923125323856229,0.0460256030898186,0.5516169596887086,0.528675718319216,0.0165825487352279,1000,0.0461205811282951,-0.0184604416540047,0.110701603910595,False,c_index,True,PFI,328,0.16160029604312476,0.45534338993057144,False
SIG_HALLMARK_ANGIOGENESIS,raw,0.0922875426056146,0.0460132140458259,0.5365743706550882,0.5228320046503904,0.011403946924088,1000,0.0275591257520973,-0.0370044144034092,0.092122665907604,False,c_index,True,PFI,328,0.40280842110518866,0.6138033083507637,False
SIG_HALLMARK_COAGULATION,axis_residualised,0.0922980861082304,0.0460184411463198,0.5181388948205091,0.533803924359978,0.0138105991501407,1000,-0.0314695508386378,-0.0960404671343611,0.0331013654570855,False,c_index,True,PFI,328,0.3394683675449447,0.6034198757977481,False
SIG_HALLMARK_COAGULATION,raw,0.0922739764551213,0.0460064884071212,0.5037962369800935,0.522471101145989,0.0071270242266571,1000,-0.0373891045255666,-0.1019431539234108,0.0271649448722775,False,c_index,True,PFI,328,0.25629450537720244,0.5467616114713653,False
SIG_HALLMARK_COMPLEMENT,axis_residualised,0.0922884763614021,0.0460136769697547,0.5206420385792583,0.5378796592877311,0.0116011931093876,1000,-0.0346382394033018,-0.0992024328060137,0.0299259539994099,False,c_index,True,PFI,328,0.29302579324310785,0.5860515864862157,False
SIG_HALLMARK_COMPLEMENT,raw,0.0922708339468596,0.0460049304553868,0.5087787980164662,0.5236847936982467,0.0056921558456743,1000,-0.0298518178460185,-0.0944036687731633,0.0347000330811261,False,c_index,True,PFI,328,0.3647349089986348,0.6034198757977481,False
SIG_HALLMARK_E2F_TARGETS,axis_residualised,0.0922787254037736,0.0460088427771979,0.5349609699385484,0.5458638693145419,0.0088102821762384,1000,-0.0219786396087872,-0.0865360113286735,0.0425787321110991,False,c_index,True,PFI,328,0.5045982545575245,0.672797672743366,False
SIG_HALLMARK_E2F_TARGETS,raw,0.0922698263695838,0.0460044309316838,0.5424822644553586,0.5310918807981588,0.0051408355339094,1000,0.0228992392564132,-0.0416519067786727,0.0874503852914992,False,c_index,True,PFI,328,0.4868743768859919,0.672797672743366,False
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,axis_residualised,0.0922813875526681,0.0460101625807758,0.5415213419697724,0.5421218710703015,0.0096552311730199,1000,-0.0012410216139381,-0.0658002557494029,0.0633182125215266,False,c_index,True,PFI,328,0.9699457156968491,0.9699457156968491,False
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,raw,0.0922704379850849,0.0460047341505618,0.5325645953448644,0.5287789522385934,0.005479328455713,1000,0.0075930160374392,-0.0569585578783861,0.0721445899532645,False,c_index,True,PFI,328,0.8176683559808593,0.934478121120982,False
SIG_HALLMARK_G2M_CHECKPOINT,axis_residualised,0.0922800844254886,0.0460095165343798,0.5510712506228201,0.5445857119130662,0.0092480092341065,1000,0.0130602767060376,-0.0514980457732967,0.0776185991853719,False,c_index,True,PFI,328,0.6917328134442224,0.8584413741438568,False
SIG_HALLMARK_G2M_CHECKPOINT,raw,0.0922698191175608,0.0460044273363687,0.5524711130092296,0.5291583386717916,0.0051386703552927,1000,0.0469409441465768,-0.0176101968150586,0.1114920851082123,False,c_index,True,PFI,328,0.15408026417338883,0.45534338993057144,False
SIG_HALLMARK_HYPOXIA,axis_residualised,0.0922833656907944,0.0460111432744805,0.5710014947683109,0.5437680736469974,0.0102250360962799,1000,0.0551715661845508,-0.0093890518386711,0.1197321842077728,False,c_index,True,PFI,328,0.09394867565336824,0.45534338993057144,False
SIG_HALLMARK_HYPOXIA,raw,0.0922712260992597,0.0460051248716352,0.5501696443400479,0.5289232804232804,0.0058836502203565,1000,0.0427588065531284,-0.0217933187203313,0.1073109318265882,False,c_index,True,PFI,328,0.1941965234276225,0.4780222115141477,False
SIG_HALLMARK_IL2_STAT5_SIGNALING,axis_residualised,0.0922878924772166,0.0460133875001139,0.5075450209979357,0.5384010249839846,0.01145388350081,1000,-0.0619025786815836,-0.1264663636041367,0.0026612062409693,False,c_index,True,PFI,328,0.06022023367426818,0.45534338993057144,False
SIG_HALLMARK_IL2_STAT5_SIGNALING,raw,0.0922704669194853,0.0460047484952864,0.5005219825847629,0.5232839822525921,0.0055007574073913,1000,-0.0455633451475072,-0.1101149393055806,0.018988249010566,False,c_index,True,PFI,328,0.16653351478571377,0.45534338993057144,False
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,axis_residualised,0.092304783407866,0.0460217614283892,0.5042470401214796,0.5324102071321801,0.0151586685195441,1000,-0.0564777374777218,-0.1210533391444254,0.0080978641889817,False,c_index,True,PFI,328,0.08649531312090988,0.45534338993057144,False
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,raw,0.0922763581886438,0.0460076691912838,0.5024319643153724,0.5222295062519278,0.0080457625173541,1000,-0.0396359449384863,-0.1041916605758205,0.0249197706988478,False,c_index,True,PFI,328,0.2288294985549746,0.5230388538399419,False
SIG_HALLMARK_INFLAMMATORY_RESPONSE,axis_residualised,0.0922978298790133,0.0460183141169399,0.504852065390182,0.5273673333807863,0.0137777776946255,1000,-0.0451274004918683,-0.109698137531921,0.0194433365481843,False,c_index,True,PFI,328,0.1707537712239643,0.45534338993057144,False
SIG_HALLMARK_INFLAMMATORY_RESPONSE,raw,0.0922708172261594,0.0460049221658139,0.5024675540370608,0.5170027285453295,0.0056897934005332,1000,-0.0290878227419193,-0.0936396619714116,0.035464016487573,False,c_index,True,PFI,328,0.3771374223735926,0.6034198757977481,False
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,axis_residualised,0.0922880735564588,0.04601347727296,0.5120767788929224,0.54266758013619,0.0114843547259196,1000,-0.0614300034067956,-0.1259939150107685,0.0031339081971772,False,c_index,True,PFI,328,0.062205508304674036,0.45534338993057144,False
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,raw,0.0922742512334147,0.0460066246330747,0.5064536028661589,0.5323366194509692,0.0072239571890113,1000,-0.0518692517206814,-0.1164234933509643,0.0126849899096015,False,c_index,True,PFI,328,0.1152960154435001,0.45534338993057144,False
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,axis_residualised,0.0922786929769292,0.0460088267010588,0.5053384582532564,0.5447008565259687,0.0088024096491419,1000,-0.0789916215610973,-0.143548970595453,-0.0144342725267416,False,c_index,True,PFI,328,0.01647635504086012,0.45534338993057144,False
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,raw,0.0922695261041534,0.0460042820699326,0.5018981184900467,0.529672491517783,0.0049687493654146,1000,-0.0556244208402314,-0.1201753568123054,0.0089265151318424,False,c_index,True,PFI,328,0.0912332930399162,0.45534338993057144,False
SIG_HALLMARK_MYC_TARGETS_V1,axis_residualised,0.0922736883589996,0.0460063455786233,0.5398248985692932,0.5455819394025673,0.0069642503835789,1000,-0.0116167640572652,-0.076170611905637,0.0529370837911065,False,c_index,True,PFI,328,0.7243099094338792,0.8584413741438568,False
SIG_HALLMARK_MYC_TARGETS_V1,raw,0.0922696827933254,0.0460043597512855,0.547144517996536,0.5451511258215294,0.0050369027026907,1000,0.0040117842023501,-0.0605392613880684,0.0685628297927687,False,c_index,True,PFI,328,0.9030496206074695,0.9596042281572101,False
SIG_HALLMARK_TGF_BETA_SIGNALING,axis_residualised,0.0923030371594553,0.0460208957011618,0.563005670628989,0.5393194533418748,0.0147956814606644,1000,0.0478144701874224,-0.0167599098194968,0.1123888501943417,False,c_index,True,PFI,328,0.1467056440363146,0.45534338993057144,False
SIG_HALLMARK_TGF_BETA_SIGNALING,raw,0.0922819882906646,0.0460104604063109,0.5423517688091679,0.5312527226137093,0.0098652866380016,1000,0.0222958371709855,-0.0422638172354136,0.0868554915773846,False,c_index,True,PFI,328,0.49848308740065783,0.672797672743366,False
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,axis_residualised,0.0922815380273695,0.0460102371810351,0.5373929342539208,0.5437339431038981,0.0096957561096196,1000,-0.0127991056513168,-0.0773584450575382,0.0517602337549044,False,c_index,True,PFI,328,0.6975946798393412,0.8584413741438568,False
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,raw,0.0922702598765841,0.0460046458502203,0.5263363940493986,0.528796118347688,0.0053834709855776,1000,-0.0049411467586717,-0.0694925960713814,0.059610302554038,False,c_index,True,PFI,328,0.8807431984907164,0.9596042281572101,False
