signature,n,r_random_patient,r_random_patient_lo,r_random_patient_hi,r_preserved_site,r_preserved_site_lo,r_preserved_site_hi,r_site_only,r_type_only,r_purity_only,r_covariates,embedding_over_covariates,delta_r
SIG_HALLMARK_ALLOGRAFT_REJECTION,944,0.4867932896104763,0.436546410563615,0.5340128201689853,0.46836465727348175,0.4170209504038976,0.5167286428318525,0.16202263597549943,0.13486844715683988,0.4728675430077398,0.452421132156319,0.03437215745415728,0.018428632336994544
SIG_HALLMARK_ANGIOGENESIS,944,0.374751604979194,0.31856271149665655,0.4283161322806179,0.3983794100601127,0.34329956992078353,0.45072850596957864,0.20264429267181538,-0.05170410552138689,0.34119539640557245,0.3603792223236514,0.014372382655542637,-0.023627805080918662
SIG_HALLMARK_COAGULATION,944,0.4535292078895652,0.40133688661414746,0.5027858030241511,0.4418938399253022,0.389057333757773,0.4918325409791863,0.318623369335898,0.2463084788142897,0.3635096573132556,0.4406030612075572,0.012926146682007977,0.01163536796426301
SIG_HALLMARK_COMPLEMENT,944,0.3740319907417507,0.3178105186798641,0.42763249981288304,0.35994163793510764,0.3030965083149885,0.41423432018227146,0.22888901429429642,0.17188833249625252,0.3699747699820245,0.39088679183026454,-0.016854801088513838,0.014090352806643058
SIG_HALLMARK_E2F_TARGETS,944,0.5567837462812666,0.5111363066579877,0.5992990923981977,0.4965199782445141,0.4468711278536989,0.5431195765329673,0.40892199108151694,0.4254842412567388,0.23253365703089043,0.45248743791485235,0.10429630836641424,0.060263768036752485
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,944,0.42765264285726695,0.3740531930563604,0.4784046655972061,0.44361031000696644,0.3908676552628517,0.49344938008597117,0.1985511464150258,0.054527246266511994,0.3450273627214932,0.3668690025654922,0.06078364029177474,-0.015957667149699484
SIG_HALLMARK_G2M_CHECKPOINT,944,0.5390557972044082,0.4921781152981408,0.5828159805952448,0.46604568675358876,0.41456731265533586,0.5145508889106732,0.41597929814797263,0.4175486221418844,0.19544218947371123,0.4501585212229883,0.08889727598141994,0.07301011045081945
SIG_HALLMARK_HYPOXIA,944,0.3256529966751902,0.267403081809606,0.38153147424991174,0.33063052284093625,0.272574634911419,0.3862874928726386,0.23202420707552468,0.17489121752404185,0.0828170349174624,0.259088185663893,0.06656481101129719,-0.004977526165746038
SIG_HALLMARK_IL2_STAT5_SIGNALING,944,0.30404628728183825,0.2449929621407942,0.36085194382783625,0.29464335811352277,0.23526006659021034,0.35183503185107884,0.22436969845102198,0.041747311956781136,0.3076978995505186,0.34732870552882544,-0.0432824182469872,0.009402929168315477
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,944,0.40998346059732027,0.35547634108273013,0.4617115223965782,0.38494728391553584,0.3292275813853953,0.4379954281417723,0.20933165535896525,0.10999829895190258,0.4263454336988461,0.4292582601478407,-0.019274799550520416,0.025036176681784428
SIG_HALLMARK_INFLAMMATORY_RESPONSE,944,0.4153459339204041,0.3611097381349329,0.46678165022449125,0.38527640722878864,0.32957208751515027,0.4383076774717184,0.21317015279846935,0.07023843418682892,0.4362768966399395,0.44188068124789026,-0.026534747327486174,0.030069526691615445
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,944,0.4018065995878588,0.3468939834835073,0.453973926730224,0.3814889836459413,0.32560854106243414,0.43471365910411025,0.13179598410601617,0.21526626104371602,0.2897523019398136,0.27987277021796003,0.12193382936989877,0.0203176159419175
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,944,0.4391098980501862,0.38612204174513975,0.4892094580312036,0.41511028982650755,0.36086210561026716,0.4665589237210176,0.1344561473035754,0.17334329133086257,0.38128706728081063,0.35311373851532524,0.08599615953486095,0.023999608223678637
SIG_HALLMARK_MYC_TARGETS_V1,944,0.5050793730386001,0.45596773609680513,0.5511243783728677,0.446674971935732,0.39410089866163606,0.49633530019347377,0.39210911377164354,0.4105839822792128,0.3021147408938972,0.4608731064831431,0.04420626655545695,0.05840440110286804
SIG_HALLMARK_TGF_BETA_SIGNALING,944,0.2642730013299288,0.20390510345559673,0.32263878159911386,0.24890837389934162,0.1880893924400116,0.307825715417114,0.25202080620582634,0.007724341320760267,0.04838292443399062,0.25324634919332206,0.011026652136606752,0.015364627430587197
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,944,0.33298960212450524,0.2750268448005663,0.38854055627575357,0.3196619781456004,0.26118297683305314,0.3758031390160722,0.16196073331075406,-0.08439013118400247,0.3027900531304316,0.3059921944722893,0.02699740765221592,0.013327623978904857
