signature,r_residual,r_residual_refit,excess_z_UNCORRECTED_do_not_report,null_draws_dropped_by_disattenuation,alpha_observed,alpha_null_mean,reliability_gap,alpha_observed_raw,alpha_null_mean_raw,null_mean_r,null_sd_r,degenerate,excess_z,excess_lo,excess_hi,beats_null,n
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.4889311579958777,0.5089975758498143,0.4311913629841784,0,0.9818086616972501,0.6698591669959735,0.31194949470127664,0.9826652767299408,0.9548593958043093,0.12884677554066787,0.06711501139707575,0.0,0.40870694168210503,0.3445742841680184,0.4728395991961917,True,943
SIG_HALLMARK_ANGIOGENESIS,0.4643980327314929,0.5058821617096632,0.3822112173540957,29,0.8599557495498482,0.2864487705263436,0.5735069790235046,0.8719581763822573,0.7830190385462493,0.17214751410038048,0.07635578153984127,0.0,0.24696567567479633,0.18176392558609641,0.3121674257634962,True,943
SIG_HALLMARK_COAGULATION,0.41642384213173145,0.4720190946689442,0.36496021645360693,0,0.9315463310951474,0.5805597383820454,0.35098659271310195,0.947043401491852,0.9246659002034514,0.14593466721422818,0.06880976108258174,0.0,0.3398209718748596,0.27563913068265505,0.40400281306706415,True,943
SIG_HALLMARK_COMPLEMENT,0.3874502965169905,0.4755733096012025,0.3838004081401071,0,0.9617691075277756,0.729163890951728,0.2326052165760476,0.9724656280445944,0.9559850698157573,0.13210880326488664,0.06378772816094383,0.0,0.37310524506583526,0.30900620490645975,0.43720428522521076,True,943
SIG_HALLMARK_E2F_TARGETS,0.4463700257024094,0.5262999356576843,0.4301832471331515,0,0.9885399262257207,0.8326370329904337,0.15590289323528705,0.9935548848911403,0.9652334237469802,0.15320310395394268,0.05079112729550103,0.0,0.4193611370192006,0.3553370923037277,0.4833851817346735,True,943
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.4957918438017919,0.5168251728790734,0.42913567773334743,0,0.9856625162075975,0.8129091937653802,0.1727533224422173,0.9864678752055455,0.960883883222653,0.14149502763290725,0.05300805583112386,0.0,0.4185630695577838,0.35452871472202985,0.4825974243935377,True,943
SIG_HALLMARK_G2M_CHECKPOINT,0.4208343842705458,0.5179798230235695,0.4217479272551823,0,0.9832604359974787,0.8077557446941268,0.1755046913033519,0.9920470198382139,0.9635438535873382,0.15024753612023345,0.05285599619516654,0.0,0.410504383166466,0.34646987360515613,0.47453889272777583,True,943
SIG_HALLMARK_HYPOXIA,0.3210308756896771,0.44592513321437666,0.3275971151729269,0,0.9320097414203495,0.7808448360289298,0.1511649053914197,0.9626640175572679,0.9582797961221025,0.15038432982633204,0.055195566623569496,0.0,0.32741038071500717,0.26336111927109845,0.3914596421589159,True,943
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.3272049588521899,0.4277591311834744,0.3233951893454344,0,0.9433335152231944,0.7221704925717184,0.22116302265147603,0.9647215650052456,0.9600738113481464,0.13241391450756926,0.06339425239413897,0.0,0.3153130013220315,0.25121433851840624,0.37941166412565674,True,943
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.4585980151596066,0.5071420097231967,0.3988802434248401,0,0.9462969220004842,0.5192107980553021,0.4270861239451821,0.9555574768689726,0.9042818658285269,0.15772239677091193,0.07477034649446787,0.0,0.3535973965273095,0.2893277353080303,0.41786705774658867,True,943
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.46112433326199276,0.4992868262616239,0.40880449181665424,0,0.9757185238065442,0.6337626328229271,0.3419558909836171,0.9789312554589821,0.9559482411102203,0.13794505386909228,0.07049631765923396,0.0,0.3816532457533248,0.31749043628665585,0.4458160552199938,True,943
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.37325721806224677,0.435626711843461,0.2999711615335426,0,0.977687117314387,0.7221216039208953,0.25556551339349165,0.9805298855786139,0.9315023621437534,0.16466515503781107,0.062392540453418854,0.0,0.2760754154233369,0.21197976454722006,0.34017106629945376,True,943
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.4429885257832519,0.4901814134092919,0.3885345729460919,0,0.984170356711544,0.8005805721303473,0.18358978458119668,0.9860953564661784,0.9636410522309597,0.14623499768841317,0.05593187762198356,0.0,0.3762097370113418,0.31216128742870386,0.44025818659397975,True,943
SIG_HALLMARK_MYC_TARGETS_V1,0.34418040376626585,0.40471064666848,0.25911735416718396,0,0.9857935711287661,0.9245544784264802,0.06123909270228589,0.9909756896138538,0.9673580124227865,0.16835250001468502,0.03198114789428258,0.0,0.25565966815980734,0.19169753532484307,0.3196218009947716,True,943
SIG_HALLMARK_TGF_BETA_SIGNALING,0.2593872993125426,0.4286720368994411,0.28004028536088,0,0.8652504783006741,0.5844510862916419,0.28079939200903226,0.9387846510804017,0.8762998771095274,0.17553258289083498,0.0685949539155913,0.0,0.2627833727213749,0.1985977883783424,0.32696895706440743,True,943
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.43011584532615854,0.4682784099082865,0.36139010459595144,0,0.9730697572802416,0.794842921003234,0.17822683627700764,0.9779538397586022,0.9631500263584221,0.14496675951253393,0.056314974200563625,0.0,0.35167628018104635,0.2876245561747227,0.41572800418737,True,943
