signature,n,r_random_patient,r_random_patient_lo,r_random_patient_hi,r_preserved_site,r_preserved_site_lo,r_preserved_site_hi,r_site_only,r_type_only,r_purity_only,r_covariates,embedding_over_covariates,delta_r
SIG_HALLMARK_ALLOGRAFT_REJECTION,943,0.5091792145772378,0.4603017563875441,0.5549790895393137,0.4738144258578801,0.4227622416485457,0.521868802120034,0.1700999879987273,0.15401568461676168,0.5108565324652932,0.5087405219098238,0.00043869266741403123,0.03536478871935772
SIG_HALLMARK_ANGIOGENESIS,943,0.42898123896131735,0.3754225928066324,0.4796845486611481,0.414333926059936,0.36001672586078076,0.4658516761711988,0.16141069415297177,-0.07081122435792672,0.3730207965932427,0.3640805767858419,0.06490066217547547,0.014647312901381326
SIG_HALLMARK_COAGULATION,943,0.4871763585253729,0.4369252916758126,0.5343959555323149,0.47515540164571846,0.42418249099772737,0.5231269375901393,0.31312048367430234,0.26500790301001304,0.4069401026735504,0.47701909348324245,0.010157265042130437,0.012020956879654432
SIG_HALLMARK_COMPLEMENT,943,0.37905863881493496,0.3230357835759387,0.43243415016463127,0.35490286443105545,0.29781032031657895,0.4094656328296605,0.23151887014285175,0.18884304988329764,0.405583227711955,0.4437566761006989,-0.06469803728576395,0.024155774383879502
SIG_HALLMARK_E2F_TARGETS,943,0.655900988788566,0.6179356116782746,0.6908147178353827,0.6303794845395362,0.5902949533765607,0.6673625498161835,0.46180072617112905,0.49585838905052065,0.2867589518127598,0.515503720190711,0.14039726859785495,0.02552150424902977
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,943,0.4738846403572621,0.4228366007500109,0.5219346842255249,0.46448286540651373,0.41288597318313713,0.5131079161576534,0.16307077186559404,0.0206220890839015,0.3767853533084137,0.38149834437642893,0.09238629598083314,0.009401774950748343
SIG_HALLMARK_G2M_CHECKPOINT,943,0.6282072844438971,0.5879467197290491,0.6653630832666089,0.5907344343182263,0.5475436420479731,0.6307859504053069,0.46393561029791053,0.48506567881713336,0.24592858131388867,0.5059477874117645,0.12225949703213257,0.03747285012567081
SIG_HALLMARK_HYPOXIA,943,0.3666020554704832,0.31001763766135093,0.4205984522336874,0.3252148769790253,0.2669164888992632,0.38114175106843895,0.2554179590032376,0.17845099172490547,0.08970287290399656,0.2875522282585468,0.07904982721193637,0.0413871784914579
SIG_HALLMARK_IL2_STAT5_SIGNALING,943,0.30718011426712083,0.2482075245034673,0.3638842386046499,0.28142420146724345,0.221564828220568,0.33917065304052335,0.22364128526578542,0.05433171644495122,0.3356175361077349,0.3777894904970299,-0.0706093762299091,0.02575591279987738
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,943,0.43402079529221393,0.38072998896192545,0.48443806820180996,0.4092436306760288,0.35466974177978916,0.4610385153656796,0.19609186723944086,0.1256163422761219,0.4711191583086541,0.48301770787916865,-0.04899691258695471,0.02477716461618512
SIG_HALLMARK_INFLAMMATORY_RESPONSE,943,0.424881774562289,0.37110784123784796,0.47581556656396246,0.41452348698457653,0.36021591472901193,0.4660308578370127,0.19580771000125877,0.09425867864827388,0.48418093929160866,0.49550497917085967,-0.07062320460857069,0.010358287577712455
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,943,0.3827743844983229,0.3269231506422864,0.43596113024872646,0.3814462556643887,0.3255334616451137,0.4347006599919553,0.13479181805140994,0.22274330251867222,0.3122376153872005,0.3025719998252853,0.08020238467303759,0.0013281288339341835
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,943,0.439751289512212,0.38676931394955405,0.4898396942076686,0.42465054518340645,0.37086453779452005,0.47559727874644,0.13970944038492247,0.18872501066592962,0.4148254830589088,0.4011327882226424,0.03861850128956956,0.015100744328805538
SIG_HALLMARK_MYC_TARGETS_V1,943,0.5974015002367744,0.5547173483968548,0.6369494723720123,0.5361281657093282,0.4890257405538721,0.5801129981789508,0.47152820657213346,0.46265803314721576,0.3552674636325323,0.5510270947356704,0.046374405501104055,0.06127333452744621
SIG_HALLMARK_TGF_BETA_SIGNALING,943,0.29323744851107586,0.23377372424321313,0.35051572868553577,0.23042987057950243,0.16907706835400363,0.29000376238405445,0.2664535172562138,0.009395120747978582,0.041539629791501824,0.2697154126189187,0.023522035892157178,0.06280757793157343
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,943,0.35584779934870214,0.29879560355699974,0.4103654259611844,0.35509801977025635,0.2980137987404302,0.40965147383249556,0.15391651674924126,-0.08351835901211677,0.3419402926817252,0.3488665220933893,0.006981277255312834,0.0007497795784457972
