signature,observed,n_null,excess_z,excess_lo,excess_hi,beats_null,null_mean,null_sd,null_degenerate,percentile_SECONDARY_biased_on_tight_null
SIG_HALLMARK_E2F_TARGETS,0.6303794845395362,1000,0.5879745150587361,0.5258836207340857,0.6500654093833865,True,0.15277422182726963,0.023651220335975557,0.0,100.0
SIG_HALLMARK_G2M_CHECKPOINT,0.5907344343182263,1000,0.522764074099095,0.46067393698554876,0.5848542112126413,True,0.15468808859276492,0.0231207717242385,0.0,100.0
SIG_HALLMARK_MYC_TARGETS_V1,0.5361281657093282,1000,0.4494301783153866,0.38732205845575973,0.5115382981750135,True,0.148005549885711,0.03298505379120384,0.0,100.0
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.46448286540651373,1000,0.34748227792190456,0.2853899133981193,0.4095746424456898,True,0.15419092211840074,0.024579809640829092,0.0,100.0
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.4738144258578801,1000,0.33991320087623567,0.277828855254688,0.40199754649778335,True,0.1732341219096989,0.01881880482796276,1.0,100.0
SIG_HALLMARK_COAGULATION,0.47515540164571846,1000,0.3366659363397049,0.2745649585938976,0.3987669140855121,True,0.17796105892091174,0.029187163466431888,0.0,100.0
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.42465054518340645,1000,0.2954311077686236,0.23334276876325616,0.357519446773991,True,0.1565429181349528,0.021908962400159167,0.0,100.0
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.4092436306760288,1000,0.25911777503683675,0.19701245689472557,0.3212230931789479,True,0.17361884127515576,0.03134584723327552,0.0,100.0
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.41452348698457653,1000,0.2589532269935083,0.19687043973189455,0.32103601425512207,True,0.18006350272823793,0.017456672441375866,1.0,100.0
SIG_HALLMARK_ANGIOGENESIS,0.414333926059936,1000,0.24673338382074833,0.18457390416827063,0.30889286347322603,True,0.19115926455893095,0.05061453596362922,0.0,100.0
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.3814462556643887,1000,0.24301183497228568,0.18089845975103777,0.3051252101935336,True,0.15720916195340692,0.035193522284990286,0.0,100.0
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.35509801977025635,1000,0.21433063386632065,0.15224070941373516,0.27642055831890616,True,0.15557302216925203,0.02299089903878082,0.0,100.0
SIG_HALLMARK_COMPLEMENT,0.35490286443105545,1000,0.2035548025112208,0.14146811791757713,0.26564148710486446,True,0.16586498767471688,0.020662950612277912,0.0,100.0
SIG_HALLMARK_HYPOXIA,0.3252148769790253,1000,0.17668711963409348,0.1145935093052321,0.23878072996295485,True,0.15930189122749308,0.025274661823761722,0.0,100.0
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.28142420146724345,1000,0.12279349464331193,0.060709502471377734,0.18487748681524613,True,0.16485557601888484,0.018576787570901112,1.0,100.0
SIG_HALLMARK_TGF_BETA_SIGNALING,0.23042987057950243,1000,0.0652166817880861,0.003075100233918944,0.12735826334225325,True,0.16743987821401118,0.04546776893659467,0.0,91.2
