signature,k,alpha_observed,omega_observed,alpha_null_mean,omega_null_mean,excess_alpha,excess_alpha_lo,excess_omega,excess_omega_lo,excess_omega_hi,beats_null_omega
SIG_HALLMARK_ALLOGRAFT_REJECTION,200,0.9817254314437296,0.9830927762323878,0.8180022456882061,0.3714960866713915,0.4010350277794733,0.337087129556523,0.36059950254246653,0.2965829825267389,0.42461602255819414,True
SIG_HALLMARK_ANGIOGENESIS,36,0.8621573260041429,0.8151456261089782,0.41831889319215976,0.18019946299111148,0.2842549647378037,0.22006671853932844,0.19688015349907023,0.1321985967230681,0.26156171027507236,True
SIG_HALLMARK_COAGULATION,138,0.9370225133426621,0.9343395977093643,0.7197370131163714,0.15293203295613858,0.2721699792854004,0.20818324711781436,0.16529465451955194,0.10091642043588121,0.22967288860322266,True
SIG_HALLMARK_COMPLEMENT,200,0.9664328792309338,0.9644932675034513,0.8356269869269832,0.21539694481389782,0.2881287882757242,0.22417949312029112,0.2136807738137288,0.14955862847613682,0.27780291915132077,True
SIG_HALLMARK_E2F_TARGETS,200,0.9881783101221876,0.9886724265210821,0.8745236349760578,0.23449544055913502,0.3422421481181259,0.27830174134000274,0.25799364182163276,0.19391370769472982,0.3220735759485357,True
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,200,0.9850819907616299,0.985567304480969,0.8649507988257793,0.2477549692024805,0.39778415455656707,0.3338441652406251,0.3277250727866282,0.26366105364254233,0.3917890919307141,True
SIG_HALLMARK_G2M_CHECKPOINT,198,0.9821998178433547,0.9834702308586513,0.8607729491552993,0.18765334945372494,0.3276956471658179,0.263750614654381,0.22478843854464403,0.16063930382971048,0.2889375732595776,True
SIG_HALLMARK_HYPOXIA,199,0.9374700763399694,0.9230821791628634,0.8456233675098883,0.180828776845393,0.28125165559274334,0.21729892338065387,0.1830604734025974,0.11886771087703764,0.24725323592815718,True
SIG_HALLMARK_IL2_STAT5_SIGNALING,198,0.9539283751376268,0.9493480026473483,0.8359003227946674,0.32431365961383696,0.22654442373134215,0.16260313861540002,0.18181412588612444,0.11779368680994683,0.24583456496230205,True
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,87,0.9497103990354956,0.9501789103374192,0.6823542929239159,0.25662933815469446,0.3085089761741102,0.2444929442915577,0.23420417848933078,0.1699627532958718,0.2984456036827898,True
SIG_HALLMARK_INFLAMMATORY_RESPONSE,200,0.9775273751796411,0.9772001041450381,0.8145876263273819,0.4793428102433962,0.3085110157433459,0.2445632126824358,0.2808327892344129,0.21684531681347094,0.34482026165535484,True
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,97,0.9789359409413725,0.9802378521840498,0.7886557878244115,0.2670410011371749,0.27910528534971973,0.2151205133617753,0.19327864140453335,0.12909540979017725,0.25746187301888945,True
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,199,0.9849568309151475,0.9858986181234732,0.8629406024341373,0.21942414393050927,0.3493985350916318,0.28545741848701156,0.26440344632787893,0.20031088907549846,0.32849600358025943,True
SIG_HALLMARK_MYC_TARGETS_V1,200,0.9851650605178082,0.9853445390584747,0.9272924825588779,0.8338463026334285,0.2141635891741857,0.1502423159080517,0.20691531856650994,0.1429907500502539,0.27083988708276596,True
SIG_HALLMARK_TGF_BETA_SIGNALING,54,0.9030639819323697,0.9013976024143584,0.6365674112570456,0.17264982412016333,0.1296683755027318,0.06561613528645283,-0.012887388473983796,-0.07747101083961799,0.0516962338916504,False
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,199,0.9770688824288455,0.9774286482913567,0.8588034131589243,0.1784071804327264,0.2574573502480793,0.1935142237192234,0.15594277957541586,0.09179137427686597,0.22009418487396576,True
