signature,r_residual,r_residual_refit,excess_z_UNCORRECTED_do_not_report,null_draws_dropped_by_disattenuation,alpha_observed,alpha_null_mean,reliability_gap,alpha_observed_raw,alpha_null_mean_raw,null_mean_r,null_sd_r,degenerate,excess_z,excess_lo,excess_hi,beats_null,n
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.30948575801445277,0.4729252807651948,0.40135438329865286,0,0.9822688520215637,0.7621275488123368,0.22014130320922687,0.9877836338251308,0.9714367768392193,0.11190753129425524,0.028825780180641393,0.0,0.39044140368454777,0.36719718429060005,0.4136856230784955,True,7168
SIG_HALLMARK_ANGIOGENESIS,0.2618636579472823,0.3995716736603595,0.2906702968165503,0,0.8323072904958175,0.4122669932258035,0.420040297270014,0.8936265932608566,0.8681477101558406,0.13150626356450248,0.037304460677205664,0.0,0.2605683469958179,0.23714755007187827,0.2839891439197575,True,7168
SIG_HALLMARK_COAGULATION,0.2393128878952468,0.3822341899016434,0.2915058407674569,0,0.9274107863995985,0.683813530693087,0.24359725570651147,0.9487606456128754,0.9547104739697998,0.1106201379660555,0.028062256591086007,0.0,0.2853782197729359,0.262129098680239,0.30862734086563287,True,7168
SIG_HALLMARK_COMPLEMENT,0.24766669313793585,0.42755520589492235,0.355952127905097,0,0.9592195025350111,0.7955528621901803,0.1636666403448308,0.9762123947371195,0.9728570709879211,0.10054009095510964,0.025436902329187844,0.0,0.35475987529314534,0.3315379064010613,0.3779818441852294,True,7168
SIG_HALLMARK_E2F_TARGETS,0.1728148251187403,0.3368492408295988,0.25050472348086533,0,0.9869028060064733,0.8694946238615976,0.1174081821448757,0.9949799315288406,0.9786538834054984,0.09966080368424539,0.01896566198476626,1.0,0.24576373800639825,0.22257479947017988,0.2689526765426166,True,7168
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.29776567537919607,0.4269892821971842,0.3596023810068796,0,0.9818985494038567,0.8492981453474623,0.1326004040563944,0.9868457449258602,0.9761680796872942,0.09626590254856765,0.020390162224194843,0.0,0.3561641250474915,0.33296874103313717,0.37935950906184585,True,7168
SIG_HALLMARK_G2M_CHECKPOINT,0.1522755209122364,0.32139927562325976,0.23670049616739314,0,0.9800600022068446,0.8512516807929857,0.1288083214138589,0.9937508802582757,0.9775182082977668,0.09617030886966953,0.01948870180484836,1.0,0.23222670380655402,0.20903506076157927,0.2554183468515288,True,7168
SIG_HALLMARK_HYPOXIA,0.17634627465973432,0.3201423909111294,0.229792739251977,0,0.9357506493615396,0.8420302971844253,0.09372035217711427,0.9738286623528056,0.9753038690211279,0.10161222693147151,0.021522975460028706,0.0,0.2327032803355625,0.2095029299847282,0.2559036306863968,True,7168
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.2138008673906317,0.3997739171423617,0.3272717172738406,0,0.9461096808831038,0.8068619964831967,0.1392476843999071,0.9748934559505185,0.9752300906993319,0.09575037542416825,0.02505309546920524,0.0,0.3298151511314602,0.3065961122680973,0.3530341899948231,True,7168
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.2650104441356019,0.44494822598561956,0.35808289241910984,0,0.9493696848890301,0.6076626827789007,0.3417070021101294,0.9690960223145493,0.9389558248328884,0.11958447116275278,0.033152116314246416,0.0,0.33848625464527793,0.31518725649296014,0.3617852527975957,True,7168
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.26293227023149707,0.44603761828315286,0.34796825368113526,0,0.976186989369698,0.7438005371587804,0.2323864522109177,0.9853120561626507,0.9720041991286534,0.13086876912026316,0.03287818938751816,0.0,0.3336506814949954,0.3103780253434807,0.3569233376465101,True,7168
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.24460105864553022,0.3886169568131362,0.29816237052445294,0,0.9800628137379744,0.7762856040093802,0.20377720972859426,0.9830693587589288,0.9577185082497522,0.11147789571791786,0.023651997879042055,0.0,0.28760832290751737,0.2643944806592029,0.31082216515583183,True,7168
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.2721878702012354,0.44456071846942735,0.3830566841554536,0,0.9858607121700241,0.8443096916339595,0.1415510205360646,0.9900077599292739,0.977087216293586,0.09451703289625808,0.02124745382168735,0.0,0.37864629159958507,0.355447359008413,0.40184522419075713,True,7168
SIG_HALLMARK_MYC_TARGETS_V1,0.14733244770430082,0.2944497815235287,0.16692555607488654,0,0.9849309152866984,0.9383996868676057,0.04653122841909274,0.9933961746182175,0.9799224701860434,0.1356399997567208,0.013306056024635705,1.0,0.1649278524683766,0.1417571248823122,0.188098580054441,True,7168
SIG_HALLMARK_TGF_BETA_SIGNALING,0.12688717504942276,0.29323271171841037,0.17678421694977117,0,0.8460596075782735,0.6566942874783226,0.18936532009995088,0.9612005469762144,0.9255636291527851,0.12455680948691321,0.028845762981364664,0.0,0.17531473637012496,0.1520580326194605,0.19857144012078942,True,7168
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.21197596924141276,0.37214121304376396,0.295272587110074,0,0.9766343386907255,0.8425256579080497,0.1341086807826758,0.9869067390702455,0.9766949283613219,0.09529843632231592,0.021371208844060064,0.0,0.291854207444307,0.26865456110229063,0.3150538537863234,True,7168
