signature,n,r_random_patient,r_random_patient_lo,r_random_patient_hi,r_preserved_site,r_preserved_site_lo,r_preserved_site_hi,r_site_only,r_type_only,r_purity_only,r_covariates,embedding_over_covariates,delta_r
SIG_HALLMARK_ALLOGRAFT_REJECTION,7168,0.7066492003540216,0.6948661573610322,0.718052922747453,0.6913682527222358,0.6790868341858902,0.7032627217941377,0.6181223221434062,0.6167605201192157,0.5165374948393925,0.7006062140028679,0.006042986351153634,0.01528094763178578
SIG_HALLMARK_ANGIOGENESIS,7168,0.6551094095910858,0.6416908008976561,0.6681270808851061,0.6278314623892909,0.6135993246767866,0.6416558081028507,0.6143415022617622,0.6091549936701464,0.3173071721399202,0.6490599391183496,0.006049470472736185,0.027277947201794883
SIG_HALLMARK_COAGULATION,7168,0.628754366867895,0.6145491651159565,0.6425519586837163,0.5885558074236377,0.5732155046069395,0.6034836933234764,0.6150766414190758,0.6086371964443394,0.32070315380742087,0.662201993387044,-0.03344762651914901,0.04019855944425732
SIG_HALLMARK_COMPLEMENT,7168,0.5861614716955615,0.5707560201671661,0.6011544171571753,0.561833548654407,0.5457818095405016,0.5774730860572422,0.5439915226745697,0.526457843327421,0.40611538949196124,0.605498144928424,-0.019336673232862478,0.024327923041154498
SIG_HALLMARK_E2F_TARGETS,7168,0.7269853906281878,0.7158832074309158,0.73772005631085,0.707922737933858,0.6961817427164737,0.7192850959607376,0.7022990453579945,0.7028551859950924,0.045727404764311246,0.7157126657479587,0.011272724880229124,0.01906265269432983
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,7168,0.6878214514594057,0.6754259791251609,0.6998283529757907,0.6676430852411448,0.6546103601016932,0.6802790660593457,0.6315293540470682,0.6216581725727183,0.3560947170232203,0.6776477494763731,0.01017370198303258,0.020178366218260857
SIG_HALLMARK_G2M_CHECKPOINT,7168,0.715203284893771,0.703704182442729,0.7263277992881366,0.6989785454716863,0.6869439119087617,0.7106298976749711,0.6941223666591037,0.6923675587797352,0.08478095291657892,0.7057257806784641,0.009477504215306909,0.0162247394220848
SIG_HALLMARK_HYPOXIA,7168,0.6014226516033294,0.586437184919391,0.6159965543295088,0.5766997790449979,0.5610395832088209,0.5919473271332518,0.5861200477120987,0.58079313689352,0.2534209591391663,0.6072196795685956,-0.005797027965266155,0.0247228725583315
SIG_HALLMARK_IL2_STAT5_SIGNALING,7168,0.6180662188541646,0.6035515949031922,0.6321713341652438,0.5975678412898142,0.5824752303365403,0.6122485661748504,0.5808164786783494,0.5708818861192908,0.39630849848782423,0.6289823771798285,-0.01091615832566395,0.020498377564350356
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,7168,0.6702434004745731,0.6572916870654871,0.6827993235759453,0.6512153583120632,0.6376784104938572,0.6643502013826423,0.6157390683257231,0.6097583708252852,0.48261248225910136,0.6831480933842603,-0.01290469290968721,0.01902804216250986
SIG_HALLMARK_INFLAMMATORY_RESPONSE,7168,0.688323228511332,0.6759438546230636,0.7003142575724766,0.6692764367828703,0.6562945597291954,0.6818621653665904,0.6388521578746833,0.6290168012590023,0.4913017816837645,0.7081377528933541,-0.019814524382022136,0.019046791728461687
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,7168,0.5870948868486942,0.5717148002180206,0.6020624995916289,0.5690521977361902,0.5531892524976925,0.5845026236300024,0.4818703119956492,0.5143691594213238,0.36670450940174876,0.5384262079880796,0.048668678860614545,0.01804268911250395
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,7168,0.6540982106251441,0.6406488012718157,0.6671463733173566,0.6375650535145365,0.6236190750801047,0.651105334263049,0.5681192704247051,0.5808503822855624,0.44555355101931304,0.6302651829230489,0.023833027702095166,0.016533157110607544
SIG_HALLMARK_MYC_TARGETS_V1,7168,0.6080672784659642,0.5932681825612602,0.6224555007910746,0.5845722019859442,0.5691236598215133,0.5996081908491208,0.5872126145270327,0.5822525647205627,-0.014265733570603636,0.6039177452627924,0.004149533203171796,0.023495076480020027
SIG_HALLMARK_TGF_BETA_SIGNALING,7168,0.577359730641011,0.561717163213941,0.5925896493664171,0.5518115196262916,0.535501825923043,0.567709764266601,0.5668855001295012,0.5608402399228374,0.17918578764940365,0.5815352182558273,-0.004175487614816342,0.02554821101471938
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,7168,0.6515179373808156,0.637990158536152,0.6646436999031057,0.6319948521767518,0.6178845536993939,0.6456982072899743,0.6164036961468216,0.6189393411453995,0.4056715165986574,0.6618717643147967,-0.010353826933981014,0.019523085204063872
