signature,r_raw,r_axis,r_residual,n,r_residual_refit
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.6913682527222357,0.03500033386383383,0.30948575801445277,7168,0.4729252807651948
SIG_HALLMARK_ANGIOGENESIS,0.6278314623892909,0.09310294806604691,0.2618636579472823,7168,0.3995716736603595
SIG_HALLMARK_COAGULATION,0.5885558074236378,0.051426050701600015,0.2393128878952468,7168,0.3822341899016434
SIG_HALLMARK_COMPLEMENT,0.5618335486544074,0.06008879271875445,0.24766669313793585,7168,0.42755520589492235
SIG_HALLMARK_E2F_TARGETS,0.7079227379338578,0.07402679754662424,0.1728148251187403,7168,0.3368492408295988
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.6676430852411449,0.09192898878543466,0.29776567537919607,7168,0.4269892821971842
SIG_HALLMARK_G2M_CHECKPOINT,0.698978545471686,0.08222013887744595,0.1522755209122364,7168,0.32139927562325976
SIG_HALLMARK_HYPOXIA,0.5766997790449979,0.09917471251081685,0.17634627465973432,7168,0.3201423909111294
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.5975678412898142,0.08416201104318333,0.2138008673906317,7168,0.3997739171423617
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.6512153583120635,0.04470947331668161,0.2650104441356019,7168,0.44494822598561956
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.6692764367828704,0.04967849770058806,0.26293227023149707,7168,0.44603761828315286
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.5690521977361901,0.029877866949069534,0.24460105864553022,7168,0.3886169568131362
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.6375650535145364,0.0328130850615422,0.2721878702012354,7168,0.44456071846942735
SIG_HALLMARK_MYC_TARGETS_V1,0.5845722019859444,0.07632665443240685,0.14733244770430082,7168,0.2944497815235287
SIG_HALLMARK_TGF_BETA_SIGNALING,0.5518115196262918,0.12454879486254368,0.12688717504942276,7168,0.29323271171841037
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.631994852176752,0.06060983401825063,0.21197596924141276,7168,0.37214121304376396
