signature,r_residual,r_residual_refit,excess_z_UNCORRECTED_do_not_report,null_draws_dropped_by_disattenuation,alpha_observed,alpha_null_mean,reliability_gap,alpha_observed_raw,alpha_null_mean_raw,null_mean_r,null_sd_r,degenerate,excess_z,excess_lo,excess_hi,beats_null,n
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.6873930962503885,0.7531579395981209,0.4386412149192441,0,0.984876129340918,0.7343480519379475,0.25052807740297045,0.9877836338251308,0.9714367768392193,0.4903609670581458,0.0759872981290022,0.0,0.3350826341652996,0.3106972460827626,0.3594680222478366,True,7168
SIG_HALLMARK_ANGIOGENESIS,0.5998898622447547,0.7249892020312418,0.37694877435037344,79,0.8429481761766676,0.4113388332943234,0.4316093428823442,0.8936265932608566,0.8681477101558405,0.4880380517477635,0.09140999858024942,0.0,-0.007994343843907403,-0.04344092892336676,0.027452241235551955,False,7168
SIG_HALLMARK_COAGULATION,0.6471582566725971,0.7004015130284459,0.36336569034726596,0,0.9445963293702905,0.6756856318047336,0.26891069756555686,0.9487606456128754,0.9547104739697998,0.4614830162206048,0.08330259842493846,0.0,0.26268348355585314,0.23784670794657436,0.2875202591651319,True,7168
SIG_HALLMARK_COMPLEMENT,0.5270623219387377,0.7061169136116107,0.37379066212473533,0,0.9600837635633388,0.7963448717278078,0.16373889183553103,0.9762123947371195,0.9728570709879211,0.4634617320957397,0.071163669970561,0.0,0.3282839634167751,0.30421906100228147,0.3523488658312688,True,7168
SIG_HALLMARK_E2F_TARGETS,0.7095278350307674,0.8040956712423271,0.6454796690697809,0,0.9931567415423337,0.8858258426667365,0.10733089887559721,0.9949799315288406,0.9786538834054984,0.43220806179400606,0.05460043365869086,0.0,0.6193536957819679,0.5957608706893881,0.6429465208745476,True,7168
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.6278126305659201,0.7247649300764997,0.4487918638316696,0,0.9810203758631134,0.8640252679311461,0.11699510793196732,0.9868457449258602,0.9761680796872942,0.4353635860988959,0.058170508525810884,0.0,0.42174381603190225,0.39807100648148674,0.44541662558231776,True,7168
SIG_HALLMARK_G2M_CHECKPOINT,0.6986157153580016,0.8283527990620687,0.7021807029074137,0,0.990011117994316,0.865931307966583,0.12407981002773294,0.9937508802582757,0.9775182082977668,0.4447461557706074,0.06005984515203235,0.0,0.6730426484149145,0.6493343414033372,0.6967509554264917,True,7168
SIG_HALLMARK_HYPOXIA,0.509609054406012,0.7130131295900337,0.42005225712769184,0,0.9480726569168904,0.8596680067676752,0.08840465014921517,0.9738286623528059,0.9753038690211278,0.43874652997396935,0.06024706717295228,0.0,0.41639302414373647,0.39267086973299403,0.4401151785544789,True,7168
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.5461437766530612,0.7391227849958797,0.437982429748194,0,0.9503834606517566,0.8060981911767698,0.14428526947498677,0.9748934559505185,0.9752300906993318,0.4674140881547124,0.06935441308030761,0.0,0.409908584430673,0.38590225016757523,0.4339149186937708,True,7168
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.656070000420347,0.7503623418440685,0.4363082920792307,0,0.9582819163071636,0.584202372913274,0.3740795433938896,0.9690960223145493,0.9389558248328884,0.48601290137722863,0.08644325442790404,0.0,0.23827210232178575,0.21255197648901702,0.2639922281545545,True,7168
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.6419136279521521,0.7479890288072001,0.37392992945903314,0,0.9781172489520265,0.6642341143922682,0.31388313455975825,0.9853120561626507,0.9720041991286534,0.5278421926526147,0.08282564238613413,0.0,0.2029682579039518,0.17796748485094233,0.22796903095696125,True,7168
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.5717111046038426,0.641509282601413,0.271108981360678,0,0.9801122778463703,0.8045403068746689,0.1755719709717014,0.9830693587589288,0.9577185082497522,0.4511427131031604,0.06871811036808761,0.0,0.21368653717218622,0.18969408381574837,0.23767899052862407,True,7168
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.6469050104013719,0.7220696939313116,0.42770650896117496,0,0.9876992018099097,0.857455316211704,0.13024388559820566,0.9900077599292739,0.977087216293586,0.447476597509465,0.06115325566988524,0.0,0.3910542160006544,0.3673137250021261,0.41479470699918264,True,7168
SIG_HALLMARK_MYC_TARGETS_V1,0.5394050201517142,0.660933849794648,0.38496075867533913,0,0.9903820644080742,0.9515070100454036,0.03887505436267058,0.9933961746182175,0.9799224701860434,0.38744645336467737,0.0361775958156047,0.0,0.3791039144976351,0.3557880214378349,0.4024198075574353,True,7168
SIG_HALLMARK_TGF_BETA_SIGNALING,0.3433925545860726,0.6872249639390895,0.3493647265286027,0,0.8585181112821073,0.6948502555177429,0.16366785576436438,0.9612005469762144,0.9255636291527851,0.45330245222977666,0.07615056524123182,0.0,0.33613219181136667,0.3116945288022694,0.36056985482046394,True,7168
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.6126191048039157,0.7245298233211407,0.43066709773016554,0,0.9806992847318632,0.8558504649023907,0.12484881982947249,0.9869067390702455,0.9766949283613219,0.44904699139535525,0.06379090952906505,0.0,0.39875183731309205,0.3749574751407229,0.4225461994854612,True,7168
