signature,n,r_random_patient,r_random_patient_lo,r_random_patient_hi,r_preserved_site,r_preserved_site_lo,r_preserved_site_hi,delta_r
SIG_HALLMARK_ALLOGRAFT_REJECTION,7168,0.706886468415342,0.6951112532095307,0.7182824897856853,0.6887824142464218,0.6764177830666445,0.7007589083844893,0.018104054168920136
SIG_HALLMARK_ANGIOGENESIS,7168,0.655611031917299,0.6422077207937413,0.6686135606545474,0.6235884754904759,0.6092330315319725,0.637535334610931,0.03202255642682306
SIG_HALLMARK_COAGULATION,7168,0.6303486442966908,0.6161900702804197,0.6440999310007602,0.5870168533862046,0.5716346446421605,0.6019865854263899,0.04333179091048622
SIG_HALLMARK_COMPLEMENT,7168,0.5866676054832338,0.5712759025697043,0.6016468193707012,0.5563579305046626,0.5401646569071775,0.572139369042861,0.030309674978571177
SIG_HALLMARK_E2F_TARGETS,7168,0.7244847006539927,0.7132977085322122,0.7353026206502898,0.7066464517426982,0.6948633180854247,0.718050263333426,0.017838248911294485
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,7168,0.6880415859571289,0.6756531746631544,0.7000415254403664,0.6644115254627491,0.6512785793522533,0.6771465821042069,0.02363006049437988
SIG_HALLMARK_G2M_CHECKPOINT,7168,0.7136143060118258,0.7020621905217989,0.7247909290006727,0.6970350476197216,0.6849371231645848,0.7087487293133962,0.01657925839210428
SIG_HALLMARK_HYPOXIA,7168,0.6035365967978741,0.5886101915990092,0.618051639063182,0.572334360890506,0.5565580858884106,0.5876980350521885,0.031202235907368037
SIG_HALLMARK_IL2_STAT5_SIGNALING,7168,0.6193709700084689,0.6048938227609442,0.6334388159051954,0.5942337604985998,0.5790490571879674,0.6090063452187032,0.025137209509869085
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,7168,0.6704082899632863,0.6574617246730985,0.6829591264228299,0.646658897514242,0.632984412581584,0.6599299923989195,0.023749392449044282
SIG_HALLMARK_INFLAMMATORY_RESPONSE,7168,0.6888634534104003,0.6765014251531429,0.7008373813938323,0.6645453702490619,0.6514165650412385,0.6772763325300302,0.024318083161338433
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,7168,0.5855968804412165,0.5701761069324913,0.6006051300137981,0.565729039293833,0.5497788697882999,0.5812668121364032,0.01986784114738349
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,7168,0.6531873471933449,0.6397102357611947,0.6662629370724605,0.6332297634250463,0.6191557651347624,0.646897083596109,0.019957583768298592
SIG_HALLMARK_MYC_TARGETS_V1,7168,0.606950862418644,0.5921203039112517,0.6213704193324049,0.5831179729931681,0.5676301082983598,0.5981932494869756,0.0238328894254759
SIG_HALLMARK_TGF_BETA_SIGNALING,7168,0.5787879152888791,0.5631835689061804,0.5939796164456239,0.5501955135267085,0.5338446781971222,0.5661350546968738,0.028592401762170594
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,7168,0.6536324161028306,0.6401688355248686,0.6666946090104506,0.6262788537170256,0.6120014943729581,0.6401481225350106,0.027353562385804997
