site,n_patients,auroc
QH,21,1.0
V4,32,1.0
KK,45,0.9999968802158891
VD,25,0.9999944001119978
CH,24,0.9999941675998507
2G,80,0.9999911822799098
ZB,23,0.9999817446070527
CJ,69,0.9999795847955723
23,27,0.9999636942642124
YL,27,0.9999585077305285
HU,29,0.9999323772768329
VS,53,0.9998780148238507
G9,44,0.9998660099025063
2Y,20,0.99985310576385
CQ,37,0.9998370267617217
V1,31,0.9998237264234092
DB,34,0.9998021075545441
KL,24,0.9997608715938783
ET,54,0.9997370859754892
CC,32,0.9997109725336323
EB,45,0.9996911413730171
J4,23,0.999628807010071
EM,76,0.9996233710333363
XU,21,0.9996002318655179
BQ,35,0.9995994472371873
L5,21,0.9995269410408629
EA,26,0.9994991706697112
LN,35,0.9994912979912279
HT,102,0.9994630459033317
25,42,0.9994620638039106
D6,20,0.9994473978735311
DJ,91,0.9994068387455416
VQ,62,0.9993871603279373
AA,32,0.9992730521300449
S9,47,0.999267972762611
FD,48,0.9991280430711611
DU,85,0.9990897841559325
06,48,0.9990870786516853
DM,22,0.9990840393863064
66,38,0.9990477596515833
AK,24,0.9990434863755133
G3,30,0.9990193331465397
63,24,0.9988801791713325
BC,21,0.9988206840032781
EJ,63,0.9987288182925059
85,50,0.9987103118853611
BB,21,0.9986474511450025
RW,20,0.998559037493005
CG,39,0.9985001672475372
05,32,0.998467278587444
QR,44,0.9983187433004951
HC,63,0.998197111356858
77,44,0.9981783727221684
78,31,0.9980881096692836
DD,143,0.9980310081377697
DX,117,0.9979126437784784
ZF,29,0.9978022614970704
CZ,39,0.9977916131654384
97,22,0.997780067679312
CM,32,0.9976658842488789
86,33,0.997574908156548
G4,26,0.9973666070697715
EL,80,0.9971677483069977
B0,104,0.9969250914713825
60,25,0.9968304633907321
CV,134,0.9967460819304105
OR,44,0.9966438670818233
BR,109,0.9962010888565707
2Z,23,0.9956673867404996
FG,41,0.9955647879756474
BJ,49,0.9947596400549263
CN,59,0.9945044596131426
B8,32,0.99449096132287
HZ,30,0.9929765573923601
DK,37,0.9928632881935364
55,91,0.992163128661645
BP,138,0.9910445915022573
BT,20,0.9903049804141019
56,41,0.989962595009702
FY,24,0.9898457913400522
A3,50,0.9894183759483001
IB,39,0.9884653150188288
D5,31,0.9866348470261743
22,37,0.9854688512660746
C5,62,0.9846472313265482
XF,49,0.9845770588049799
A4,29,0.9796455603267143
44,45,0.9776030698675652
A6,42,0.9770658754661
D7,40,0.9767746913580246
AJ,30,0.9752545063976839
WB,36,0.9734802455287593
49,28,0.9728891556622649
CD,28,0.9697278911564626
CF,22,0.966147622318907
E7,22,0.9629481210085745
BA,31,0.9611791346323341
43,20,0.9519725797425854
