signature,r_raw,r_axis,r_residual,n,r_residual_refit
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.6887824142464215,0.18404444456957766,0.6873930962503885,7168,0.7531579395981209
SIG_HALLMARK_ANGIOGENESIS,0.6235884754904755,0.24266251430059596,0.5998898622447547,7168,0.7249892020312418
SIG_HALLMARK_COAGULATION,0.5870168533862047,-0.023674149021386322,0.6471582566725971,7168,0.7004015130284459
SIG_HALLMARK_COMPLEMENT,0.556357930504663,0.24816855330430304,0.5270623219387377,7168,0.7061169136116107
SIG_HALLMARK_E2F_TARGETS,0.7066464517426982,0.2227841707921647,0.7095278350307674,7168,0.8040956712423271
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.6644115254627491,0.262607209287395,0.6278126305659201,7168,0.7247649300764997
SIG_HALLMARK_G2M_CHECKPOINT,0.6970350476197217,0.2588258577290665,0.6986157153580016,7168,0.8283527990620687
SIG_HALLMARK_HYPOXIA,0.572334360890506,0.3044360509918142,0.509609054406012,7168,0.7130131295900337
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.5942337604985997,0.29895093027442626,0.5461437766530612,7168,0.7391227849958797
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.646658897514242,0.17928746056099357,0.656070000420347,7168,0.7503623418440685
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.6645453702490624,0.2515459037371313,0.6419136279521521,7168,0.7479890288072001
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.5657290392938328,0.1253238933515105,0.5717111046038426,7168,0.641509282601413
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.6332297634250462,0.14298733196040644,0.6469050104013719,7168,0.7220696939313116
SIG_HALLMARK_MYC_TARGETS_V1,0.5831179729931681,0.25566203124056036,0.5394050201517142,7168,0.660933849794648
SIG_HALLMARK_TGF_BETA_SIGNALING,0.5501955135267084,0.4362796188702038,0.3433925545860726,7168,0.6872249639390895
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.6262788537170254,0.22306689000004803,0.6126191048039157,7168,0.7245298233211407
