signature,r_residual,r_residual_refit,excess_z_UNCORRECTED_do_not_report,null_draws_dropped_by_disattenuation,alpha_observed,alpha_null_mean,reliability_gap,alpha_observed_raw,alpha_null_mean_raw,null_mean_r,null_sd_r,degenerate,excess_z,excess_lo,excess_hi,beats_null,n,p_two_sided,q_bh,beats_null_bh
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.3094857580144527,0.4729252807651948,0.4013543832986528,0,0.9822688520215636,0.7621275488123368,0.2201413032092268,0.9877836338251308,0.9714367768392193,0.1119075312942552,0.0288257801806413,0.0,0.3904414036845477,0.3671971842906,0.4136856230784955,True,7168,1.057415545916223e-237,1.691864873465957e-236,True
SIG_HALLMARK_ANGIOGENESIS,0.2618636579472823,0.3995716736603595,0.2906702968165503,0,0.8323072904958175,0.4122669932258035,0.420040297270014,0.8936265932608566,0.8681477101558406,0.1315062635645024,0.0373044606772056,0.0,0.2605683469958179,0.2371475500718782,0.2839891439197575,True,7168,2.0528839688583626e-105,2.986013045612164e-105,True
SIG_HALLMARK_COAGULATION,0.2393128878952468,0.3822341899016434,0.2915058407674569,0,0.9274107863995984,0.683813530693087,0.2435972557065114,0.9487606456128754,0.9547104739697998,0.1106201379660555,0.028062256591086,0.0,0.2853782197729359,0.262129098680239,0.3086273408656328,True,7168,6.858019029521465e-128,1.0972830447234343e-127,True
SIG_HALLMARK_COMPLEMENT,0.2476666931379358,0.4275552058949223,0.355952127905097,0,0.9592195025350112,0.7955528621901803,0.1636666403448308,0.9762123947371196,0.9728570709879212,0.1005400909551096,0.0254369023291878,0.0,0.3547598752931453,0.3315379064010613,0.3779818441852294,True,7168,5.56086517868187e-197,2.224346071472748e-196,True
SIG_HALLMARK_E2F_TARGETS,0.1728148251187403,0.3368492408295988,0.2505047234808653,0,0.9869028060064732,0.8694946238615976,0.1174081821448757,0.9949799315288406,0.9786538834054984,0.0996608036842453,0.0189656619847662,1.0,0.2457637380063982,0.2225747994701798,0.2689526765426166,True,7168,7.704401641252776e-96,1.0272535521670368e-95,True
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.297765675379196,0.4269892821971842,0.3596023810068796,0,0.9818985494038568,0.8492981453474623,0.1326004040563944,0.9868457449258602,0.9761680796872942,0.0962659025485676,0.0203901622241948,0.0,0.3561641250474915,0.3329687410331371,0.3793595090618458,True,7168,5.605595130898849e-199,2.9896507364793864e-198,True
SIG_HALLMARK_G2M_CHECKPOINT,0.1522755209122364,0.3213992756232597,0.2367004961673931,0,0.9800600022068446,0.8512516807929857,0.1288083214138589,0.9937508802582756,0.9775182082977668,0.0961703088696695,0.0194887018048483,1.0,0.232226703806554,0.2090350607615792,0.2554183468515288,True,7168,9.298731024412757e-86,1.0627121170757437e-85,True
SIG_HALLMARK_HYPOXIA,0.1763462746597343,0.3201423909111294,0.229792739251977,0,0.9357506493615396,0.8420302971844253,0.0937203521771142,0.9738286623528056,0.975303869021128,0.1016122269314715,0.0215229754600287,0.0,0.2327032803355625,0.2095029299847282,0.2559036306863968,True,7168,4.865018262511064e-86,5.987714784629002e-86,True
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.2138008673906317,0.3997739171423617,0.3272717172738406,0,0.9461096808831038,0.8068619964831967,0.1392476843999071,0.9748934559505184,0.975230090699332,0.0957503754241682,0.0250530954692052,0.0,0.3298151511314602,0.3065961122680973,0.3530341899948231,True,7168,1.4102671563260122e-170,3.2234677858880277e-170,True
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.2650104441356019,0.4449482259856195,0.3580828924191098,0,0.94936968488903,0.6076626827789007,0.3417070021101294,0.9690960223145492,0.9389558248328884,0.1195844711627527,0.0331521163142464,0.0,0.3384862546452779,0.3151872564929601,0.3617852527975957,True,7168,2.44351972221035e-178,7.819263111073119e-178,True
