signature,n,n_sites,r2_site_only,adj_r2_site_only,r2_type_only,r2_site_given_type,r2_site_plus_plate,r2_plate_within_site
SIG_HALLMARK_E2F_TARGETS,5775,202,0.5519264816900344,0.5357659259426268,0.5091351744122368,0.04190944734692614,0.5519264816900344,0.0
SIG_HALLMARK_G2M_CHECKPOINT,5775,202,0.5442689611077809,0.5278322234768216,0.500459957819116,0.042594415093884064,0.5442689611077809,0.0
SIG_HALLMARK_INFLAMMATORY_RESPONSE,5775,202,0.48941681599281894,0.4710017397348891,0.4272092991630869,0.06118067614334155,0.48941681599281894,0.0
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,5775,202,0.4624883979492638,0.4431021011589896,0.40599569942149616,0.05495886867002919,0.4624883979492638,0.0
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,5775,202,0.46153186556573034,0.4421110697607262,0.4044468665504095,0.055945937694140246,0.46153186556573034,0.0
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,5775,202,0.46087428084758175,0.44142976809867884,0.3921322072562441,0.06731435478630043,0.46087428084758175,0.0
SIG_HALLMARK_ALLOGRAFT_REJECTION,5775,202,0.45781125856704696,0.438256272558071,0.4044492605545398,0.052647743892299315,0.45781125856704696,0.0
SIG_HALLMARK_COAGULATION,5775,202,0.4455763769297324,0.4255801184985242,0.3864050731727712,0.05820625945964675,0.4455763769297324,0.0
SIG_HALLMARK_ANGIOGENESIS,5775,202,0.4420049328355049,0.4218798640215693,0.3835692808647547,0.05682722333409307,0.4420049328355049,0.0
SIG_HALLMARK_IL2_STAT5_SIGNALING,5775,202,0.4147471035274968,0.39363893338736167,0.35474610883153046,0.058502263803750454,0.4147471035274968,0.0
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,5775,202,0.41192689133265903,0.3907170053032072,0.3653599904664392,0.04544608280271878,0.41192689133265903,0.0
SIG_HALLMARK_HYPOXIA,5775,202,0.40924406757188936,0.3879374208074806,0.3531055349464082,0.05431441219416111,0.40924406757188936,0.0
SIG_HALLMARK_MYC_TARGETS_V1,5775,202,0.39771761615522894,0.37599524774453474,0.35138878741392443,0.04541490813243265,0.39771761615522894,0.0
SIG_HALLMARK_TGF_BETA_SIGNALING,5775,202,0.3787648945542499,0.35635896306410175,0.3237711011845341,0.05358943452997311,0.3787648945542499,0.0
SIG_HALLMARK_COMPLEMENT,5775,202,0.37247842317450564,0.3498457590901841,0.3047651776575049,0.06665276209831594,0.37247842317450564,0.0
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,5775,202,0.3302431119318704,0.3060871574187367,0.28857385329948504,0.0404059306826281,0.3302431119318704,0.0
