site,n_patients,auroc
V4,32,1.0
QH,21,1.0
KK,45,0.9999968802158891
2G,80,0.9999947093679458
VD,25,0.9999944001119978
CH,24,0.9999941675998507
ZB,23,0.9999756594760701
CJ,69,0.9999693771933585
2Y,20,0.999965025181869
23,27,0.9999481346631606
CC,32,0.9999430703475336
HU,29,0.9999372074713448
YL,27,0.9999273885284248
VS,53,0.9998912740821279
DB,34,0.9998721944623098
CQ,37,0.9998029160839426
05,32,0.9997854190022422
XU,21,0.9997668019215522
EM,76,0.9997643749814469
ET,54,0.9997631170670249
V1,31,0.9997378495527623
BQ,35,0.9996795577897499
J4,23,0.999671402926948
S9,47,0.9996175531167927
EB,45,0.9995257928151371
25,42,0.9995222057388771
LN,35,0.9995193366846248
L5,21,0.9994669758206907
DM,22,0.9994338854540366
KL,24,0.9994167599850691
FD,48,0.9993884597378278
RW,20,0.9993844432008954
G9,44,0.999377903118779
VQ,62,0.9992804808294672
EJ,63,0.9992493549143795
DJ,91,0.9992298220360959
G3,30,0.9991687680956384
66,38,0.9991658669816195
QR,44,0.9991545862896227
EA,26,0.9991006613101264
D6,20,0.9990906547285954
HC,63,0.9990013739485941
AA,32,0.9989708870515696
EL,80,0.9988889672686231
85,50,0.9988732790109581
77,44,0.9987653769588076
AK,24,0.9987227043673012
DU,85,0.9986778616571576
HT,102,0.998501523451158
CG,39,0.9984534098715612
60,25,0.9983760324793504
63,24,0.9983610955580441
G4,26,0.9983574952071171
DX,117,0.9982484147850763
97,22,0.9981044703966618
ZF,29,0.9979471673324285
BR,109,0.9978906490640487
CM,32,0.9978760860426009
06,48,0.9978581460674156
OR,44,0.9977764024296871
CZ,39,0.9975614230067871
BB,21,0.9975414259729357
DD,143,0.9974148271657168
CV,134,0.9971237783219247
B0,104,0.9969060349333565
2Z,23,0.9968722426750236
86,33,0.9966023231615383
CN,59,0.9964594891650832
BC,21,0.9962155283269036
DK,37,0.9947355853960819
IB,39,0.9941013771845586
BT,20,0.9940892557358701
B8,32,0.9937070838004484
78,31,0.9935999132191623
FG,41,0.9925087352459044
56,41,0.9923650015228931
HZ,30,0.9917110301671803
BP,138,0.9915867812892984
D5,31,0.9915479079942326
44,45,0.9914985882976899
55,91,0.9911289784117254
BJ,49,0.9905111644320602
22,37,0.9876178239661622
C5,62,0.985843403575352
A3,50,0.9842511941556616
XF,49,0.9828971622361545
A6,42,0.9793646338692648
FY,24,0.9791608342665175
WB,36,0.9772153673583848
D7,40,0.9753331930415264
E7,22,0.9749955474136835
49,28,0.9729991996798719
AJ,30,0.9728075091061922
43,20,0.9704672635702294
BA,31,0.9696628654851818
A4,29,0.969511812240679
CF,22,0.9678841309823676
CD,28,0.9611194477791117
