signature,r_residual,r_residual_refit,excess_z_UNCORRECTED_do_not_report,null_draws_dropped_by_disattenuation,alpha_observed,alpha_null_mean,reliability_gap,alpha_observed_raw,alpha_null_mean_raw,null_mean_r,null_sd_r,degenerate,excess_z,excess_lo,excess_hi,beats_null,n
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.30514815990828614,0.47213908915764413,0.40818581869724646,0,0.9822688520215637,0.7621275488123368,0.22014130320922687,0.9877836338251308,0.9714367768392193,0.10415690988865053,0.029644423854579834,0.0,0.3984326339669572,0.37518317894941455,0.4216820889844999,True,7168
SIG_HALLMARK_ANGIOGENESIS,0.26149296374409836,0.3952001166897522,0.28897314792282597,0,0.8323072904958175,0.4122669932258035,0.420040297270014,0.8936265932608566,0.8681477101558406,0.12807071808391193,0.037761527225112126,0.0,0.26018034457941364,0.23674826255302844,0.28361242660579883,True,7168
SIG_HALLMARK_COAGULATION,0.24222619543771123,0.3874384350705481,0.3048227741689037,0,0.9274107863995985,0.683813530693087,0.24359725570651147,0.9487606456128754,0.9547104739697998,0.10349410974729781,0.029009408118483872,0.0,0.30055722929781814,0.2773009361179564,0.32381352247767986,True,7168
SIG_HALLMARK_COMPLEMENT,0.24288380802030857,0.4272999834663792,0.3618822498670636,0,0.9592195025350111,0.7955528621901803,0.1636666403448308,0.9762123947371195,0.9728570709879211,0.09435830197262722,0.02593615258414721,0.0,0.3614476653611891,0.33822288200930223,0.384672448713076,True,7168
SIG_HALLMARK_E2F_TARGETS,0.16958559758252836,0.3317355477926664,0.2471224810483884,0,0.9869028060064733,0.8694946238615976,0.1174081821448757,0.9949799315288406,0.9786538834054984,0.09730804377684892,0.01938571870154467,1.0,0.24250166146192043,0.2193110229673047,0.26569229995653615,True,7168
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.29843581207013925,0.4244988543945278,0.3600701825390796,0,0.9818985494038567,0.8492981453474623,0.1326004040563944,0.9868457449258602,0.9761680796872942,0.0927861077952391,0.02109204124784896,0.0,0.35689027306539456,0.33369188795984667,0.38008865817094245,True,7168
SIG_HALLMARK_G2M_CHECKPOINT,0.1497048164987029,0.3194680996179012,0.237521256898411,0,0.9800600022068446,0.8512516807929857,0.1288083214138589,0.9937508802582757,0.9775182082977668,0.09322256819027804,0.020214377551531503,0.0,0.2332707025086939,0.21007614277708256,0.25646526224030525,True,7168
SIG_HALLMARK_HYPOXIA,0.1735938328375948,0.32611229136708586,0.2452312652311929,0,0.9357506493615396,0.8420302971844253,0.09372035217711427,0.9738286623528056,0.9753038690211279,0.0929256960467158,0.021780496566673503,0.0,0.249220924121442,0.226019406209839,0.272422442033045,True,7168
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.21108730231597572,0.4040312713000139,0.33794484956328386,0,0.9461096808831038,0.8068619964831967,0.1392476843999071,0.9748934559505185,0.9752300906993319,0.0902017072322709,0.02603093326924789,0.0,0.3413288949475449,0.31810453556561646,0.3645532543294734,True,7168
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.26070667489814003,0.4467719225217783,0.36588406608858126,0,0.9493696848890301,0.6076626827789007,0.3417070021101294,0.9690960223145493,0.9389558248328884,0.11413708641331784,0.033573182179332695,0.0,0.3479684123714593,0.3246642313122977,0.3712725934306209,True,7168
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.25738518586933945,0.4491928986087139,0.3619231837929483,0,0.976186989369698,0.7438005371587804,0.2323864522109177,0.9853120561626507,0.9720041991286534,0.12102293043062817,0.03364438625429804,0.0,0.3493409184241564,0.32606256158002284,0.3726192752682899,True,7168
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.2402886478518542,0.383380173181903,0.2938349228971083,0,0.9800628137379744,0.7762856040093802,0.20377720972859426,0.9830693587589288,0.9577185082497522,0.10967314157965477,0.024045560815699894,0.0,0.28342606944506765,0.26020952565241123,0.30664261323772407,True,7168
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.26821706628874903,0.44238856658620357,0.3839590534869946,0,0.9858607121700241,0.8443096916339595,0.1415510205360646,0.9900077599292739,0.977087216293586,0.09094112085093325,0.021798783730356725,0.0,0.37984095876014623,0.35663958986118194,0.4030423276591105,True,7168
SIG_HALLMARK_MYC_TARGETS_V1,0.14768813471722383,0.2951069266820472,0.16976228771611596,0,0.9849309152866984,0.9383996868676057,0.04653122841909274,0.9933961746182175,0.9799224701860434,0.13356034517165494,0.013675527805459282,1.0,0.16783999860508061,0.14466832007546696,0.19101167713469427,True,7168
SIG_HALLMARK_TGF_BETA_SIGNALING,0.12443182219501811,0.2893949734023705,0.1744667632642527,0,0.8460596075782735,0.6566942874783226,0.18936532009995088,0.9612005469762144,0.9255636291527851,0.1227059021634349,0.029415899794093068,0.0,0.1729648081102093,0.14970241766186795,0.19622719855855067,True,7168
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.20826030692740694,0.37825118440709943,0.3072420879869114,0,0.9766343386907255,0.8425256579080497,0.1341086807826758,0.9869067390702455,0.9766949283613219,0.09048093604459391,0.02220889170382363,0.0,0.3043743602323048,0.2811709845987002,0.3275777358659094,True,7168
