signature,n,r_random_patient,r_random_patient_lo,r_random_patient_hi,r_preserved_site,r_preserved_site_lo,r_preserved_site_hi,r_site_only,r_type_only,r_purity_only,r_covariates,embedding_over_covariates,delta_r
SIG_HALLMARK_ALLOGRAFT_REJECTION,7168,0.7051407052618532,0.6933079590435386,0.7165933309268161,0.6887824142464167,0.6764177830666392,0.7007589083844843,0.6198652265228803,0.6181145494449375,0.5165913290469399,0.7006958331372632,0.004444872124589994,0.01635829101543651
SIG_HALLMARK_ANGIOGENESIS,7168,0.6534147891741701,0.63994459116741,0.6664835339414648,0.6235884754904782,0.609233031531975,0.6375353346109333,0.6158992234280423,0.6112045353418603,0.31682154576333943,0.65152881945711,0.0018859697170600098,0.02982631368369182
SIG_HALLMARK_COAGULATION,7168,0.628140856088979,0.6139177437752563,0.6419562370548024,0.5870168533862065,0.5716346446421624,0.6019865854263918,0.6214525060227213,0.6107228057413363,0.3211979186981665,0.6674199290745707,-0.039279072985591745,0.0411240027027725
SIG_HALLMARK_COMPLEMENT,7168,0.5854545356630061,0.5700299016014675,0.600466641472731,0.5563579305046569,0.5401646569071716,0.5721393690428553,0.5471113824431891,0.5295765242111452,0.40615147722040207,0.6084669337183,-0.02301239805529387,0.02909660515834922
SIG_HALLMARK_E2F_TARGETS,7168,0.723844778105728,0.7126361324410502,0.7346839585105639,0.7066464517426926,0.6948633180854188,0.7180502633334206,0.7002776896697409,0.7026966721834642,0.04033497488153724,0.713503789722803,0.010340988382924965,0.01719832636303542
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,7168,0.6872917386540283,0.6748792848810171,0.6993153842456041,0.6644115254627518,0.6512785793522562,0.6771465821042096,0.6322264278273739,0.6231580547531369,0.3557354055108187,0.6796961233499919,0.007595615304036407,0.02288021319127642
SIG_HALLMARK_G2M_CHECKPOINT,7168,0.7131338121119247,0.7015656901106988,0.7243261703994186,0.6970350476197139,0.6849371231645769,0.7087487293133887,0.6923984093298117,0.6926785724619269,0.08230093446211804,0.7035942105825477,0.00953960152937705,0.016098764492210815
SIG_HALLMARK_HYPOXIA,7168,0.6002276156761901,0.5852088563296614,0.614834705076266,0.5723343608905054,0.5565580858884099,0.5876980350521879,0.5881456694326186,0.5822701427905083,0.2526989149178339,0.6089530026536961,-0.008725386977506022,0.027893254785684718
SIG_HALLMARK_IL2_STAT5_SIGNALING,7168,0.6173429950514966,0.602807633193234,0.631468736285878,0.5942337604985961,0.5790490571879635,0.6090063452186996,0.5830708756966647,0.5731497123764285,0.3960664002959643,0.6308831200307181,-0.013540124979221524,0.02310923455290048
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,7168,0.6685424532606699,0.6555377104618993,0.6811507784107987,0.6466588975142344,0.6329844125815762,0.6599299923989121,0.6159867737002156,0.6113009386360224,0.48258403173823194,0.6839524969720973,-0.015410043711427401,0.021883555746435412
SIG_HALLMARK_INFLAMMATORY_RESPONSE,7168,0.6872868668748885,0.6748742569864813,0.6993106664045821,0.6645453702490556,0.6514165650412318,0.677276332530024,0.6389335486218388,0.6309861423048079,0.4910714612425909,0.7081560029187193,-0.020869136043830783,0.022741496625832913
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,7168,0.5857412379459678,0.5703243805751598,0.6007455758352682,0.5657290392938263,0.5497788697882929,0.5812668121363966,0.4876502554227623,0.5157882353168274,0.36628496620834755,0.5428460247628996,0.042895213183068215,0.020012198652141433
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,7168,0.6521759524658437,0.6386681285860814,0.6652819536453854,0.6332297634250407,0.6191557651347566,0.6468970835961035,0.5704482408942945,0.5826765974351664,0.4453228668335479,0.6321735425227242,0.020002409943119526,0.01894618904080303
SIG_HALLMARK_MYC_TARGETS_V1,7168,0.6072765492372636,0.5924551629500191,0.621686970772711,0.5831179729931688,0.5676301082983605,0.5981932494869763,0.5874771422304219,0.5816311929801992,-0.03102635835235482,0.603618489218013,0.0036580600192506196,0.024158576244094787
SIG_HALLMARK_TGF_BETA_SIGNALING,7168,0.5773788482563554,0.5617367918054677,0.5926082560020468,0.5501955135267071,0.5338446781971209,0.5661350546968724,0.5680339318773479,0.5622232661189042,0.17847332922873763,0.581613006107514,-0.004234157851158549,0.02718333472964829
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,7168,0.6515688361511445,0.6380426001141747,0.6646930707780186,0.6262788537170206,0.6120014943729529,0.6401481225350059,0.6184857374088615,0.6202083010843429,0.4053182384956209,0.663692443396932,-0.012123607245787538,0.025289982434123837
