site,n_patients,auroc
V4,32,1.0
QH,21,1.0
KK,45,1.0
VD,25,0.9999944001119978
CH,24,0.9999941675998507
ZB,23,0.9999939148690176
2G,80,0.9999911822799097
CJ,69,0.9999897923977862
2Y,20,0.9999860100727477
23,27,0.9999844403989482
YL,27,0.9999273885284248
AK,24,0.9999066815976111
ET,54,0.9998958756338572
HU,29,0.9998889055262254
CC,32,0.9998686238789237
DB,34,0.9998474579066277
VS,53,0.9998408889006749
V1,31,0.9998056470822203
CQ,37,0.9997384848036931
D6,20,0.9997341913822048
XU,21,0.9996535342834489
BQ,35,0.9995954417095592
EB,45,0.9995819489291341
LN,35,0.9995473753780217
EM,76,0.9994879330305458
L5,21,0.9994869642274148
G9,44,0.9994736103312745
DM,22,0.9994529679668218
J4,23,0.9994036571637205
VQ,62,0.9993667323388685
EA,26,0.9993645391293109
FD,48,0.9993562734082397
HC,63,0.9993297811735532
EJ,63,0.9992895680439664
DJ,91,0.999287274827758
AA,32,0.9992555353139013
25,42,0.999254908250137
G3,30,0.9992294760437098
RW,20,0.9992165640738668
KL,24,0.9992009611795447
05,32,0.9991548136210762
CG,39,0.9991259967413706
DU,85,0.999106393934109
06,48,0.9990168539325842
BC,21,0.9989272888391401
QR,44,0.9988802256138023
G4,26,0.998869095060638
S9,47,0.998798877757427
HT,102,0.9987942813694966
66,38,0.9987930907211929
85,50,0.998741219443664
77,44,0.9987239038333929
63,24,0.9986702127659575
EL,80,0.9984921698645598
60,25,0.9984768304633908
BB,21,0.9982476830105206
97,22,0.9982380479861588
78,31,0.9978666377397208
2Z,23,0.997699820488636
DX,117,0.9976956654023736
ZF,29,0.9976380348836648
CM,32,0.9975914377802692
DD,143,0.9973620685364458
B0,104,0.9973334458576532
BR,109,0.9969704885818222
CZ,39,0.9968420787610014
OR,44,0.9965353989076616
86,33,0.9963135206302691
CN,59,0.9960875567137384
CV,134,0.9958824727655439
IB,39,0.9957486755074074
HZ,30,0.9951060054170169
B8,32,0.9933129554372198
BJ,49,0.9931514114284568
FG,41,0.9928920251739348
BP,138,0.9928628857690643
55,91,0.9921957370028587
DK,37,0.9917073152243534
D5,31,0.9907750161584112
BT,20,0.9896054840514831
22,37,0.9888344381402859
A4,29,0.9886780240640292
56,41,0.9886313469560962
FY,24,0.9874195128779395
WB,36,0.9850244594005109
C5,62,0.9838028744450397
XF,49,0.9828770952122948
A3,50,0.9812053947738129
49,28,0.9764155662264906
A6,42,0.9756324926827312
D7,40,0.9752455106621774
AJ,30,0.9725740169982254
44,45,0.970702107414167
43,20,0.9697957470621152
E7,22,0.9680749561102207
CF,22,0.9673879856499504
CD,28,0.9610844337735094
BA,31,0.9586751458776842
