signature,r_raw,r_axis,r_residual,n,r_residual_refit
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.6887824142464168,0.034761230758872996,0.30514815990828614,7168,0.47213908915764413
SIG_HALLMARK_ANGIOGENESIS,0.6235884754904782,0.09181882462521086,0.26149296374409836,7168,0.3952001166897522
SIG_HALLMARK_COAGULATION,0.5870168533862068,0.05153151862088158,0.24222619543771123,7168,0.3874384350705481
SIG_HALLMARK_COMPLEMENT,0.5563579305046569,0.05963217985321986,0.24288380802030857,7168,0.4272999834663792
SIG_HALLMARK_E2F_TARGETS,0.7066464517426925,0.07197124212791907,0.16958559758252836,7168,0.3317355477926664
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.6644115254627517,0.088445230266794,0.29843581207013925,7168,0.4244988543945278
SIG_HALLMARK_G2M_CHECKPOINT,0.6970350476197137,0.08065216218402559,0.1497048164987029,7168,0.3194680996179012
SIG_HALLMARK_HYPOXIA,0.5723343608905054,0.09363575892012799,0.1735938328375948,7168,0.32611229136708586
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.594233760498596,0.08170037471861016,0.21108730231597572,7168,0.4040312713000139
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.6466588975142341,0.04374613102515795,0.26070667489814003,7168,0.4467719225217783
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.6645453702490558,0.04856846531544039,0.25738518586933945,7168,0.4491928986087139
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.5657290392938263,0.0306609878927703,0.2402886478518542,7168,0.383380173181903
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.6332297634250406,0.03295397565460831,0.26821706628874903,7168,0.44238856658620357
SIG_HALLMARK_MYC_TARGETS_V1,0.5831179729931688,0.07333244903796625,0.14768813471722383,7168,0.2951069266820472
SIG_HALLMARK_TGF_BETA_SIGNALING,0.5501955135267075,0.12053568831789219,0.12443182219501811,7168,0.2893949734023705
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.6262788537170207,0.05672565172726584,0.20826030692740694,7168,0.37825118440709943
