signature,r_residual,r_residual_refit,excess_z_UNCORRECTED_do_not_report,null_draws_dropped_by_disattenuation,alpha_observed,alpha_null_mean,reliability_gap,alpha_observed_raw,alpha_null_mean_raw,null_mean_r,null_sd_r,degenerate,excess_z,excess_lo,excess_hi,beats_null,n
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.3051481599082919,0.47213908915764424,0.4081858186972471,0,0.9822688520215637,0.7621275488123369,0.22014130320922676,0.9877836338251308,0.9714367768392193,0.10415690988864998,0.029644423854579823,0.0,0.398432633966958,0.37518317894941533,0.42168208898450066,True,7168
SIG_HALLMARK_ANGIOGENESIS,0.2614929637441044,0.3952001166897522,0.28897314792282613,0,0.8323072904958175,0.41226699322580374,0.4200402972700138,0.8936265932608566,0.8681477101558405,0.1280707180839118,0.03776152722511211,0.0,0.26018034457941397,0.23674826255302878,0.28361242660579916,True,7168
SIG_HALLMARK_COAGULATION,0.2422261954377202,0.387438435070548,0.304822774168904,0,0.9274107863995985,0.6838135306930871,0.24359725570651136,0.9487606456128754,0.9547104739697998,0.10349410974729736,0.02900940811848386,0.0,0.3005572292978186,0.27730093611795686,0.3238135224776803,True,7168
SIG_HALLMARK_COMPLEMENT,0.24288380802031243,0.4272999834663793,0.36188224986706413,0,0.9592195025350111,0.7955528621901804,0.1636666403448307,0.9762123947371195,0.9728570709879211,0.09435830197262676,0.02593615258414721,0.0,0.3614476653611898,0.3382228820093029,0.38467244871307665,True,7168
SIG_HALLMARK_E2F_TARGETS,0.16958559758252484,0.33173554779266645,0.24712248104838852,0,0.9869028060064733,0.8694946238615976,0.1174081821448757,0.9949799315288406,0.9786538834054984,0.09730804377684883,0.019385718701544687,1.0,0.2425016614619206,0.21931102296730487,0.2656922999565363,True,7168
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.29843581207013636,0.4244988543945279,0.3600701825390799,0,0.9818985494038567,0.8492981453474624,0.13260040405639428,0.9868457449258602,0.9761680796872942,0.09278610779523891,0.021092041247848956,0.0,0.3568902730653949,0.333691887959847,0.3800886581709428,True,7168
SIG_HALLMARK_G2M_CHECKPOINT,0.14970481649869966,0.31946809961790124,0.2375212568984112,0,0.9800600022068446,0.8512516807929859,0.12880832141385878,0.9937508802582757,0.9775182082977668,0.09322256819027788,0.020214377551531524,0.0,0.2332707025086941,0.21007614277708278,0.25646526224030547,True,7168
SIG_HALLMARK_HYPOXIA,0.17359383283759874,0.32611229136708586,0.24523126523119304,0,0.9357506493615394,0.8420302971844253,0.09372035217711405,0.9738286623528059,0.9753038690211278,0.09292569604671568,0.021780496566673507,0.0,0.24922092412144217,0.22601940620983918,0.27242244203304516,True,7168
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.2110873023159779,0.4040312713000138,0.3379448495632842,0,0.9461096808831038,0.8068619964831968,0.13924768439990698,0.9748934559505185,0.9752300906993318,0.09020170723227046,0.02603093326924788,0.0,0.3413288949475452,0.31810453556561674,0.36455325432947366,True,7168
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.2607066748981464,0.44677192252177805,0.36588406608858143,0,0.9493696848890301,0.6076626827789008,0.3417070021101293,0.9690960223145493,0.9389558248328884,0.11413708641331738,0.033573182179332695,0.0,0.3479684123714597,0.3246642313122981,0.3712725934306213,True,7168
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.257385185869344,0.449192898608714,0.3619231837929493,0,0.976186989369698,0.7438005371587806,0.23238645221091747,0.9853120561626507,0.9720041991286534,0.1210229304306273,0.03364438625429808,0.0,0.3493409184241575,0.32606256158002395,0.37261927526829103,True,7168
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.2402886478518559,0.3833801731819031,0.29383492289710844,0,0.9800628137379744,0.7762856040093804,0.20377720972859403,0.9830693587589288,0.9577185082497522,0.10967314157965473,0.02404556081569991,0.0,0.2834260694450679,0.26020952565241146,0.3066426132377243,True,7168
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.26821706628875064,0.44238856658620385,0.3839590534869952,0,0.9858607121700241,0.8443096916339595,0.1415510205360646,0.9900077599292739,0.977087216293586,0.09094112085093305,0.021798783730356708,0.0,0.37984095876014684,0.35663958986118255,0.40304232765911113,True,7168
SIG_HALLMARK_MYC_TARGETS_V1,0.14768813471722117,0.2951069266820477,0.16976228771611646,0,0.9849309152866983,0.9383996868676057,0.04653122841909263,0.9933961746182175,0.9799224701860434,0.13356034517165505,0.013675527805459291,1.0,0.16783999860508106,0.1446683200754674,0.19101167713469472,True,7168
SIG_HALLMARK_TGF_BETA_SIGNALING,0.12443182219502034,0.28939497340237036,0.1744667632642525,0,0.8460596075782734,0.6566942874783228,0.18936532009995055,0.9612005469762144,0.9255636291527851,0.12270590216343484,0.029415899794093092,0.0,0.17296480811020917,0.14970241766186781,0.19622719855855053,True,7168
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.2082603069274039,0.37825118440709915,0.3072420879869112,0,0.9766343386907255,0.8425256579080498,0.13410868078267568,0.9869067390702455,0.9766949283613219,0.09048093604459373,0.022208891703823633,0.0,0.3043743602323047,0.2811709845987001,0.32757773586590927,True,7168
