signature,n,r_random_patient,r_random_patient_lo,r_random_patient_hi,r_preserved_site,r_preserved_site_lo,r_preserved_site_hi,r_site_only,r_type_only,r_purity_only,r_covariates,embedding_over_covariates,delta_r
SIG_HALLMARK_ALLOGRAFT_REJECTION,7168,0.706886468415342,0.6951112532095307,0.7182824897856853,0.6887824142464218,0.6764177830666445,0.7007589083844893,0.621927749749989,0.6169658698932177,0.5163458552771869,0.7025498462645074,0.004336622150834524,0.018104054168920136
SIG_HALLMARK_ANGIOGENESIS,7168,0.655611031917299,0.6422077207937413,0.6686135606545474,0.6235884754904759,0.6092330315319725,0.637535334610931,0.614406198690655,0.6100875552973477,0.3170056549649176,0.6492034107525038,0.0064076211647952075,0.03202255642682306
SIG_HALLMARK_COAGULATION,7168,0.6303486442966908,0.6161900702804197,0.6440999310007602,0.5870168533862046,0.5716346446421605,0.6019865854263899,0.6166727001361192,0.6091634994794228,0.32123364999953663,0.6629600200636829,-0.032611375766992134,0.04333179091048622
SIG_HALLMARK_COMPLEMENT,7168,0.5866676054832338,0.5712759025697043,0.6016468193707012,0.5563579305046626,0.5401646569071775,0.572139369042861,0.5463183737159882,0.527637878362084,0.4062718291783374,0.6068730186598115,-0.020205413176577647,0.030309674978571177
SIG_HALLMARK_E2F_TARGETS,7168,0.7244847006539927,0.7132977085322122,0.7353026206502898,0.7066464517426982,0.6948633180854247,0.718050263333426,0.703059733057714,0.7040556072083084,0.03905395925226002,0.7166438915516083,0.007840809102384383,0.017838248911294485
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,7168,0.6880415859571289,0.6756531746631544,0.7000415254403664,0.6644115254627491,0.6512785793522533,0.6771465821042069,0.6324313821355272,0.6219733087120239,0.35568773629095773,0.6781078921786645,0.009933693778464425,0.02363006049437988
SIG_HALLMARK_G2M_CHECKPOINT,7168,0.7136143060118258,0.7020621905217989,0.7247909290006727,0.6970350476197216,0.6849371231645848,0.7087487293133962,0.6954001724126875,0.6937253754232228,0.08156849668485826,0.7067490600969781,0.006865245914847717,0.01657925839210428
SIG_HALLMARK_HYPOXIA,7168,0.6035365967978741,0.5886101915990092,0.618051639063182,0.572334360890506,0.5565580858884106,0.5876980350521885,0.5886390394201396,0.5815199435652699,0.2532256335425459,0.6086300406967229,-0.005093443898848804,0.031202235907368037
SIG_HALLMARK_IL2_STAT5_SIGNALING,7168,0.6193709700084689,0.6048938227609442,0.6334388159051954,0.5942337604985998,0.5790490571879674,0.6090063452187032,0.584228229610892,0.5723041929539483,0.3963614696442124,0.6310151503785972,-0.011644180370128376,0.025137209509869085
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,7168,0.6704082899632863,0.6574617246730985,0.6829591264228299,0.646658897514242,0.632984412581584,0.6599299923989195,0.6172130537165498,0.6101927528782441,0.48252791260689587,0.6834121449345353,-0.013003854971249007,0.023749392449044282
SIG_HALLMARK_INFLAMMATORY_RESPONSE,7168,0.6888634534104003,0.6765014251531429,0.7008373813938323,0.6645453702490619,0.6514165650412385,0.6772763325300302,0.6401192941349976,0.6293066394624895,0.49117269140591824,0.7083620381719624,-0.019498584761562077,0.024318083161338433
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,7168,0.5855968804412165,0.5701761069324913,0.6006051300137981,0.565729039293833,0.5497788697882999,0.5812668121364032,0.49010684906506685,0.5151537574420633,0.36647661309023405,0.544191407558281,0.0414054728829355,0.01986784114738349
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,7168,0.6531873471933449,0.6397102357611947,0.6662629370724605,0.6332297634250463,0.6191557651347624,0.646897083596109,0.5726492932355478,0.5815483565318196,0.4454376831950452,0.6332346514360456,0.0199526957572993,0.019957583768298592
SIG_HALLMARK_MYC_TARGETS_V1,7168,0.606950862418644,0.5921203039112517,0.6213704193324049,0.5831179729931681,0.5676301082983598,0.5981932494869756,0.5899083977994597,0.5840571046877054,-0.025878849689063396,0.6064156965846879,0.000535165833956186,0.0238328894254759
SIG_HALLMARK_TGF_BETA_SIGNALING,7168,0.5787879152888791,0.5631835689061804,0.5939796164456239,0.5501955135267085,0.5338446781971222,0.5661350546968738,0.5703308935846638,0.56252632058498,0.1790960890504813,0.5827294579862887,-0.00394154269740965,0.028592401762170594
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,7168,0.6536324161028306,0.6401688355248686,0.6666946090104506,0.6262788537170256,0.6120014943729581,0.6401481225350106,0.6187087151997046,0.6192132386328685,0.4056164289651409,0.6628709662204673,-0.009238550117636635,0.027353562385804997
