signature,r_raw,r_axis,r_residual,n,r_residual_refit
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.6887824142464215,0.03476123075888217,0.3051481599082919,7168,0.47213908915764424
SIG_HALLMARK_ANGIOGENESIS,0.6235884754904755,0.0918188246252215,0.2614929637441044,7168,0.3952001166897522
SIG_HALLMARK_COAGULATION,0.5870168533862047,0.05153151862089943,0.2422261954377202,7168,0.387438435070548
SIG_HALLMARK_COMPLEMENT,0.556357930504663,0.05963217985322923,0.24288380802031243,7168,0.4272999834663793
SIG_HALLMARK_E2F_TARGETS,0.7066464517426982,0.07197124212792542,0.16958559758252484,7168,0.33173554779266645
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.6644115254627491,0.08844523026680799,0.29843581207013636,7168,0.4244988543945279
SIG_HALLMARK_G2M_CHECKPOINT,0.6970350476197217,0.08065216218403491,0.14970481649869966,7168,0.31946809961790124
SIG_HALLMARK_HYPOXIA,0.572334360890506,0.09363575892013272,0.17359383283759874,7168,0.32611229136708586
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.5942337604985997,0.08170037471861735,0.2110873023159779,7168,0.4040312713000138
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.646658897514242,0.04374613102516832,0.2607066748981464,7168,0.44677192252177805
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.6645453702490624,0.04856846531545373,0.257385185869344,7168,0.449192898608714
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.5657290392938328,0.030660987892781797,0.2402886478518559,7168,0.3833801731819031
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.6332297634250462,0.032953975654624275,0.26821706628875064,7168,0.44238856658620385
SIG_HALLMARK_MYC_TARGETS_V1,0.5831179729931681,0.0733324490379691,0.14768813471722117,7168,0.2951069266820477
SIG_HALLMARK_TGF_BETA_SIGNALING,0.5501955135267084,0.1205356883178949,0.12443182219502034,7168,0.28939497340237036
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.6262788537170254,0.0567256517272791,0.2082603069274039,7168,0.37825118440709915
