signature,observed,n_null,excess_z,excess_lo,excess_hi,beats_null,null_mean,null_sd,null_degenerate,percentile_SECONDARY_biased_on_tight_null
SIG_HALLMARK_E2F_TARGETS,0.7066464517426982,1000,0.38770803462682685,0.32561953713853664,0.44979653211511705,True,0.4562084652023992,0.017910808598505638,1.0,100.0
SIG_HALLMARK_G2M_CHECKPOINT,0.6970350476197216,1000,0.3573859900315485,0.29529538570046504,0.4194765943626319,True,0.4651439392371377,0.01888252506020197,1.0,100.0
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.6644115254627491,1000,0.29425074795916184,0.23215985135952444,0.35634164455879924,True,0.4669366907452455,0.01900754490451008,1.0,100.0
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.6887824142464218,1000,0.2922273721449694,0.2301336824040589,0.3543210618858799,True,0.5028156584820506,0.01951831729863122,1.0,100.0
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.6332297634250463,1000,0.2381215227291228,0.17603091192664627,0.3002121335315993,True,0.46869533140229425,0.018807216760327716,1.0,100.0
SIG_HALLMARK_MYC_TARGETS_V1,0.5831179729931681,1000,0.23756297373513158,0.17547183852698645,0.2996541089432767,True,0.4047945547609983,0.020390130527708564,0.0,100.0
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.6645453702490619,1000,0.23012386831301124,0.16803245531722463,0.2922152813087978,True,0.5157077508640536,0.018043346665163315,1.0,100.0
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.6262788537170256,1000,0.22603070320479834,0.16393953091832947,0.2881218754912672,True,0.4691338734217284,0.019055288084049857,1.0,100.0
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.646658897514242,1000,0.22032027469312554,0.15820655535767353,0.28243399402857755,True,0.4994353247198352,0.02734572554068138,0.0,100.0
SIG_HALLMARK_ANGIOGENESIS,0.6235884754904759,1000,0.19922722354546385,0.1370617983714025,0.26139264871952517,True,0.48551677094398066,0.041856212010429786,0.0,100.0
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.5942337604985998,1000,0.1562077629685381,0.09411690630047065,0.21829861963660557,True,0.4836165410087076,0.018562365904868327,1.0,100.0
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.565729039293833,1000,0.1525526678397255,0.09044539031929763,0.21465994536015334,True,0.4527559470005857,0.026599132288275578,0.0,100.0
SIG_HALLMARK_HYPOXIA,0.572334360890506,1000,0.1452037687428861,0.08311242495123417,0.20729511253453803,True,0.4664336156974175,0.019180153723902017,1.0,100.0
SIG_HALLMARK_COAGULATION,0.5870168533862046,1000,0.13254226743220354,0.0704414248755999,0.19464310998880718,True,0.49307274856228783,0.022827670473214264,0.0,100.0
SIG_HALLMARK_TGF_BETA_SIGNALING,0.5501955135267085,1000,0.13185879757798735,0.06972557856095157,0.19399201659502313,True,0.45097457028215315,0.035248146121615184,0.0,99.9
SIG_HALLMARK_COMPLEMENT,0.5563579305046626,1000,0.09402045624932753,0.03192923632690924,0.15611167617174582,True,0.4878465075330797,0.018625553453567686,1.0,100.0
