split_seed,isi,lo,hi,n_signatures,runtime_s
0,0.2922124012879652,0.23552139004939532,0.3527272668764092,16,284.8292191028595
1,0.3186896420914167,0.2626969639997773,0.3779463752737295,16,281.2798891067505
2,0.29435521255685404,0.2373367739597214,0.35335606204502595,16,289.45881724357605
3,0.3089722142956676,0.2530007347911776,0.3674914513352667,16,311.28085803985596
4,0.3058158715852984,0.2508417461495666,0.3640028613149643,16,364.8368661403656
5,0.303275712502251,0.24796420951190812,0.35933665670402176,16,332.89885997772217
6,0.3095016052154309,0.25365664729837895,0.36939016269407016,16,296.33783769607544
7,0.30294198215820384,0.24777503862190903,0.362953993720989,16,280.45267939567566
8,0.31350493667069085,0.257304783779815,0.3737364686522982,16,299.65198159217834
9,0.30925344122021803,0.2531142770877412,0.3673629633069497,16,265.54816365242004
10,0.3084360342038087,0.25259890458226025,0.367055189420038,16,275.18991923332214
11,0.3040246426336337,0.24849429868217654,0.3643419555451495,16,270.5800769329071
12,0.3089984314610685,0.25254887781906843,0.3679895611531886,16,283.70323967933655
13,0.30007174670612397,0.24117610192742558,0.3606210758287873,16,269.23666286468506
14,0.3214189817519473,0.2661519038069195,0.3802553682821083,16,266.23351287841797
15,0.2984715832283684,0.24156237183748136,0.3548642593573032,16,275.4497284889221
16,0.29624493091698023,0.24071092808411887,0.3558359463692074,16,268.52097725868225
17,0.30502086694738095,0.2472489587598467,0.36268363960578254,16,292.65746450424194
18,0.29712685302184133,0.24302902406221738,0.3563797450542361,16,299.2697627544403
19,0.3052146972911965,0.24727954915621456,0.36561073562206337,16,288.18114614486694
20,0.308967990313194,0.2535887753087227,0.36754014588099243,16,267.676394701004
21,0.3171472165105014,0.2626153145235368,0.37594787568598603,16,279.77518105506897
22,0.3009408148011342,0.24386563486697482,0.3601357249926608,16,287.6748585700989
23,0.2967002254256853,0.23909747352575897,0.35436931107658676,16,283.53204822540283
