split_seed,isi,lo,hi,n_signatures,runtime_s,mode
0,0.29684911595367525,0.274920163364846,0.31893289976112255,16,6012.159717559814,fast_isi_only
1,0.29568486658239684,0.2747130348497146,0.31725114143636307,16,6630.353490352631,fast_isi_only
2,0.30517421332108086,0.28337437018070255,0.3273689959292007,16,12947.816461801529,default
3,0.2950496629593448,0.2739608366720985,0.318191361121554,16,14326.056192398071,fast_isi_only
4,0.30521620820667195,0.28336827706249806,0.32838061186796214,16,13402.909442424774,fast_isi_only
5,0.30801698352880336,0.28707484514531517,0.32973449760403095,16,5938.545315742493,fast_isi_only
6,0.3020206249142967,0.28074707445170494,0.32428402969188075,16,11895.486236095428,isi_only
7,0.3093924327907892,0.2887772956967555,0.3342938085012491,16,7813.562726259232,default
8,0.28073935159622077,0.2579183532783707,0.30349803051817137,16,6138.51148724556,fast_isi_only
9,0.29850478883310283,0.2769991075748454,0.3215445191931221,16,7599.067163467407,default
10,0.2920717090361675,0.2711347810050167,0.3129637058807729,16,13357.415740013123,default
11,0.3000988406792158,0.2785112001681022,0.3216627548115469,16,12270.403276920319,isi_only
12,0.29261455663375247,0.27175400973478203,0.3149842237168873,16,6139.995491266251,retry_fast_isi_only
13,0.30606204730277,0.2844728051346808,0.32767038068969245,16,9231.334747552872,default
14,0.303774527882769,0.28312221679364913,0.32542260270511914,16,8737.188814163208,default
15,0.3029392543267083,0.2815760447260848,0.3250783541147563,16,9419.09435391426,isi_only
16,0.3058822984089224,0.2864049810549123,0.3272240680571922,16,13856.120614767075,default
17,0.29782311647605686,0.27652894183743915,0.32026283393035465,16,14134.740994215012,default
18,0.30129976331233155,0.27984516403197063,0.32278678129008354,16,6109.5410232543945,fast_isi_only
19,0.3074690375314626,0.2866829260027301,0.32990730480777636,16,7399.424111843109,default
20,0.31647814200829133,0.29538319562058174,0.33906649211625034,16,8297.247395038605,isi_only
21,0.2949574345848714,0.27449002126779415,0.31617568451010597,16,5360.3788940906525,fast_isi_only
22,0.3003600921085309,0.2793688608613772,0.3230793617516897,16,10023.31230211258,default
23,0.29793813211355347,0.27668819188063765,0.31981436826899556,16,9565.720955133438,default
