signature,excess_z__mean_z__disattenuated,excess_lo__mean_z__disattenuated,excess_hi__mean_z__disattenuated,beats_null__mean_z__disattenuated,r_residual_refit__mean_z__disattenuated,null_mean_r__mean_z__disattenuated,null_sd_r__mean_z__disattenuated,alpha_observed__mean_z__disattenuated,alpha_null_mean__mean_z__disattenuated,excess_z__mean_z__uncorrected,excess_lo__mean_z__uncorrected,excess_hi__mean_z__uncorrected,beats_null__mean_z__uncorrected,r_residual_refit__mean_z__uncorrected,null_mean_r__mean_z__uncorrected,null_sd_r__mean_z__uncorrected,alpha_observed__mean_z__uncorrected,alpha_null_mean__mean_z__uncorrected,excess_z__ssgsea__disattenuated,excess_lo__ssgsea__disattenuated,excess_hi__ssgsea__disattenuated,beats_null__ssgsea__disattenuated,r_residual_refit__ssgsea__disattenuated,null_mean_r__ssgsea__disattenuated,null_sd_r__ssgsea__disattenuated,alpha_observed__ssgsea__disattenuated,alpha_null_mean__ssgsea__disattenuated,excess_z__ssgsea__uncorrected,excess_lo__ssgsea__uncorrected,excess_hi__ssgsea__uncorrected,beats_null__ssgsea__uncorrected,r_residual_refit__ssgsea__uncorrected,null_mean_r__ssgsea__uncorrected,null_sd_r__ssgsea__uncorrected,alpha_observed__ssgsea__uncorrected,alpha_null_mean__ssgsea__uncorrected,excess_z__mean_z__reconstructed,excess_lo__mean_z__reconstructed,excess_hi__mean_z__reconstructed,beats_null__mean_z__reconstructed,reliability_observed__mean_z__reconstructed,reliability_null__mean_z__reconstructed,excess_z__ssgsea__reconstructed,excess_lo__ssgsea__reconstructed,excess_hi__ssgsea__reconstructed,beats_null__ssgsea__reconstructed,reliability_observed__ssgsea__reconstructed,reliability_null__ssgsea__reconstructed
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.4056732107537338,0.34172974112784843,0.4696166803796192,True,0.4292106977171457,0.05255318119750261,0.03709725938471441,0.9817254314437296,0.8172436547397748,0.4062511956675597,0.3423164647984546,0.47018592653666474,True,0.4292106977171457,0.05255318119750261,0.03709725938471441,,,,,,False,0.4766558811159217,0.21685668555742516,0.07184008488211942,0.0,0.0,0.2970166752668175,0.23295004223927784,0.3610833082943572,True,0.4766558811159217,0.21685668555742516,0.07184008488211942,,,0.4054104370702853,0.34146669815439634,0.46935417598617424,True,0.9829869787308713,0.8240018969587147,-0.023101716715290932,-0.08863813229575897,0.0424346988651771,False,0.976966763038649,0.2041212560852323
SIG_HALLMARK_ANGIOGENESIS,0.29517064646851354,0.23100167105966873,0.35933962187735835,True,0.3965533615971968,0.10443887369853778,0.0609679243593398,0.8621573260041429,0.4374968790023655,0.3143195317582701,0.25031130765019804,0.37832775586634215,True,0.3965533615971968,0.10443887369853778,0.0609679243593398,,,,,,False,0.3975407595362763,0.1789372164885418,0.07167090917740956,0.0,0.0,0.23882959426837677,0.17476969695651234,0.3028894915802412,True,0.3975407595362763,0.1789372164885418,0.07167090917740956,,,0.29194658865660045,0.22777572448346173,0.35611745282973917,True,0.8713111844990266,0.4327967303081249,-0.24118335362361848,-0.3111793503964275,-0.17118735685080944,False,0.7537658092493164,0.09065233566398553
SIG_HALLMARK_COAGULATION,0.27228228481743094,0.20830118770350387,0.336263381931358,True,0.32303922947685115,0.06360742071532109,0.046066621221978556,0.9370225133426621,0.7272538829887237,0.27119759231374063,0.20723993507107646,0.3351552495564048,True,0.32303922947685115,0.06360742071532109,0.046066621221978556,,,,,,False,0.3778761146477445,0.19019147867280065,0.06931656090586966,0.0,0.0,0.20402245836694397,0.13997135393144802,0.2680735628024399,True,0.3778761146477445,0.19019147867280065,0.06931656090586966,,,0.27085387996169946,0.20687232735749064,0.3348354325659083,True,0.9447002165319612,0.7337857929485755,-0.1953208457485573,-0.2621030529234246,-0.12853863857368997,False,0.8718123751240666,0.12993168486287313
SIG_HALLMARK_COMPLEMENT,0.2897612213695086,0.22581697844597454,0.35370546429304267,True,0.33062380512742506,0.05477804327291801,0.037546920827379884,0.9664328792309338,0.8311413108925025,0.28861301146865426,0.2246772162964085,0.35254880664090005,True,0.33062380512742506,0.05477804327291801,0.037546920827379884,,,,,,False,0.4035422321560738,0.23195996105413183,0.07217753429928382,0.0,0.0,0.19023294422627482,0.1261624665655408,0.25430342188700883,True,0.4035422321560738,0.23195996105413183,0.07217753429928382,,,0.2892825761712344,0.22533874768534473,0.353226404657124,True,0.9706760201487621,0.8434942600879753,-0.014761421391316698,-0.07950503321955206,0.049982190436918664,False,0.9294793826365859,0.30377504193205296
SIG_HALLMARK_E2F_TARGETS,0.3170973351165806,0.2531623898820444,0.3810322803511168,True,0.37163491084220923,0.07060067035919022,0.0347379341760425,0.9881783101221876,0.872490238847464,0.31951012487948294,0.2555803611023901,0.3834398886565758,True,0.37163491084220923,0.07060067035919022,0.0347379341760425,,,,,,False,0.35280977346959996,0.278823884449624,0.06949247436981434,0.0,0.0,0.08067477283762758,0.016610631932293715,0.14473891374296144,True,0.35280977346959996,0.278823884449624,0.06949247436981434,,,0.3172734441864046,0.2533386114820995,0.38120827689070963,True,0.9887495033130295,0.8804400487945496,-0.20857356983761405,-0.2734211206819625,-0.1437260189932656,False,0.9922208055609104,0.29887129776337046
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.4125778274774516,0.34864216440446705,0.4765134905504361,True,0.4398023854462529,0.058871806971956896,0.034877740942464645,0.9850819907616299,0.8619249332398466,0.4129705172168782,0.3490405811284329,0.47690045330532355,True,0.4398023854462529,0.058871806971956896,0.034877740942464645,,,,,,False,0.46308156562452885,0.2698868007894896,0.06888991454348832,0.0,0.0,0.222992447499277,0.15893238306677815,0.28705251193177583,True,0.46308156562452885,0.2698868007894896,0.06888991454348832,,,0.4120229914235142,0.34808746102985016,0.4759585218171782,True,0.987880241886046,0.8697770308073539,-0.007359791132374061,-0.0719853586764848,0.05726577641173668,False,0.9780791010176391,0.33664798229366766
SIG_HALLMARK_G2M_CHECKPOINT,0.3135940425091332,0.24965352273669245,0.37753456228157395,True,0.3648194565131371,0.06724012699951849,0.03676114964215874,0.9821998178433547,0.8607079011312587,0.3149980125489938,0.2510638906653123,0.37893213443267526,True,0.3648194565131371,0.06724012699951849,0.03676114964215874,,,,,,False,0.34700671366609137,0.2692655461625801,0.07039032455184922,0.0,0.0,0.08441111701540133,0.02034367677327356,0.1484785572575291,True,0.34700671366609137,0.2692655461625801,0.07039032455184922,,,0.31340241706379957,0.2494619462805454,0.3773428878470537,True,0.9841104715071433,0.867879848235653,-0.17730747512358114,-0.2420888932562652,-0.11252605699089706,False,0.989746141031294,0.3105047831825996
SIG_HALLMARK_HYPOXIA,0.2979360275330114,0.23399016569214026,0.36188188937388255,True,0.34137678151065765,0.06469975456066168,0.03848593029113257,0.9374700763399693,0.847231908497316,0.2907610473883642,0.22682300908259784,0.3546990856941306,True,0.34137678151065765,0.06469975456066168,0.03848593029113257,,,,,,False,0.3509588677368435,0.2490237605487676,0.07209743176092855,0.0,0.0,0.11069112779548773,0.046619058872014105,0.17476319671896134,True,0.3509588677368435,0.2490237605487676,0.07209743176092855,,,0.2978731260679418,0.23392715145842663,0.361819100677457,True,0.9382717395383032,0.8518985297007583,-0.13804748430036184,-0.2029980211946905,-0.0730969474060332,False,0.8854979953940345,0.2775847989695324
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.23053783697254981,0.16659949357773346,0.29447618036736617,True,0.2719595366032589,0.050714720224206915,0.035469752431579675,0.9539283751376268,0.8381482791910193,0.2281534382372118,0.16422230900197454,0.29208456747244904,True,0.2719595366032589,0.050714720224206915,0.035469752431579675,,,,,,False,0.3726163607291346,0.2389062336212161,0.07376840448210131,0.0,0.0,0.14637465640333538,0.08229599924043361,0.21045331356623714,True,0.3726163607291346,0.2389062336212161,0.07376840448210131,,,0.230417357879711,0.16647914992844154,0.29435556583098044,True,0.9555753069974166,0.8446929465699688,-0.13981604455496627,-0.20502046541645885,-0.07461162369347368,False,0.9254276547232623,0.24414947990816732
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.31766458017939087,0.25365441240415854,0.3816747479546232,True,0.38191843480778986,0.0791354514257485,0.051212194369794684,0.9497103990354957,0.6779747148275497,0.3227795923652067,0.25880621704261714,0.38675296768779627,True,0.38191843480778986,0.0791354514257485,0.051212194369794684,,,,,,False,0.43557813813140245,0.20543724154731471,0.07439339278038797,0.0,0.0,0.257102535023022,0.1930260743044674,0.3211789957415766,True,0.43557813813140245,0.20543724154731471,0.07439339278038797,,,0.3186994609728533,0.25469066876841373,0.38270825317729285,True,0.9500874800142806,0.700023040345751,-0.15466772506342336,-0.22157066056566693,-0.08776478956117977,False,0.9225449483124651,0.1458617433701436
