signature,excess_z__mean_z__disattenuated,excess_lo__mean_z__disattenuated,excess_hi__mean_z__disattenuated,beats_null__mean_z__disattenuated,r_residual_refit__mean_z__disattenuated,null_mean_r__mean_z__disattenuated,null_sd_r__mean_z__disattenuated,alpha_observed__mean_z__disattenuated,alpha_null_mean__mean_z__disattenuated,excess_z__mean_z__uncorrected,excess_lo__mean_z__uncorrected,excess_hi__mean_z__uncorrected,beats_null__mean_z__uncorrected,r_residual_refit__mean_z__uncorrected,null_mean_r__mean_z__uncorrected,null_sd_r__mean_z__uncorrected,alpha_observed__mean_z__uncorrected,alpha_null_mean__mean_z__uncorrected,excess_z__ssgsea__disattenuated,excess_lo__ssgsea__disattenuated,excess_hi__ssgsea__disattenuated,beats_null__ssgsea__disattenuated,r_residual_refit__ssgsea__disattenuated,null_mean_r__ssgsea__disattenuated,null_sd_r__ssgsea__disattenuated,alpha_observed__ssgsea__disattenuated,alpha_null_mean__ssgsea__disattenuated,excess_z__ssgsea__uncorrected,excess_lo__ssgsea__uncorrected,excess_hi__ssgsea__uncorrected,beats_null__ssgsea__uncorrected,r_residual_refit__ssgsea__uncorrected,null_mean_r__ssgsea__uncorrected,null_sd_r__ssgsea__uncorrected,alpha_observed__ssgsea__uncorrected,alpha_null_mean__ssgsea__uncorrected,excess_z__mean_z__reconstructed,excess_lo__mean_z__reconstructed,excess_hi__mean_z__reconstructed,beats_null__mean_z__reconstructed,reliability_observed__mean_z__reconstructed,reliability_null__mean_z__reconstructed,excess_z__ssgsea__reconstructed,excess_lo__ssgsea__reconstructed,excess_hi__ssgsea__reconstructed,beats_null__ssgsea__reconstructed,reliability_observed__ssgsea__reconstructed,reliability_null__ssgsea__reconstructed
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.413347971944362,0.3494027751839114,0.47729316870481264,True,0.42962528321149923,0.04610665591393762,0.03772482836524774,0.9817254314437296,0.8172436547397764,0.4132278031660651,0.34929169795867676,0.47716390837345346,True,0.42962528321149923,0.04610665591393762,0.03772482836524774,,,,,,False,0.4785109641188822,0.21556289554711613,0.07143935484697955,0.0,0.0,0.30081445680701707,0.2367504024064792,0.36487851120755493,True,0.4785109641188822,0.21556289554711613,0.07143935484697955,,,0.4130559847914639,0.34911058788766436,0.4770013816952634,True,0.9829869787308709,0.8240018969587165,-0.026952068031139365,-0.09254895146193488,0.038644815399656154,False,0.9768857542610024,0.1982484467481093
SIG_HALLMARK_ANGIOGENESIS,0.3195911534970708,0.25541461803103427,0.3837676889631073,True,0.41459404050634263,0.10429447162897519,0.06210670283352271,0.8621573260041429,0.4374968790023687,0.33604800666190326,0.2720355005420677,0.4000605127817388,True,0.41459404050634263,0.10429447162897519,0.06210670283352271,,,,,,False,0.406881276592471,0.18570350864337098,0.07263318613582737,0.0,0.0,0.24290754291274808,0.17884224342008195,0.3069728424054142,True,0.406881276592471,0.18570350864337098,0.07263318613582737,,,0.31595738530560463,0.2517763881792414,0.38013838243196785,True,0.8713111844990262,0.43279673030812843,-0.2123753318178051,-0.28186134757829495,-0.14288931605731522,False,0.7405706437901267,0.1035719263813585
SIG_HALLMARK_COAGULATION,0.30650048369522037,0.24251766399748934,0.37048330339295144,True,0.34115364441663937,0.05261881195349048,0.046524252485752086,0.9370225133426621,0.727253882988726,0.3026076060032653,0.23864886180093886,0.36656635020559175,True,0.34115364441663937,0.05261881195349048,0.046524252485752086,,,,,,False,0.3827994311246721,0.18894331375924786,0.06719661251746754,0.0,0.0,0.2111517254663932,0.1471108881357462,0.2751925627970402,True,0.3827994311246721,0.18894331375924786,0.06719661251746754,,,0.3048802258850097,0.2408972881932534,0.36886316357676596,True,0.9447002165319613,0.7337857929485778,-0.16530494392017003,-0.23180746873633606,-0.09880241910400402,False,0.8725578432131145,0.13741564556433056
SIG_HALLMARK_COMPLEMENT,0.31223342969991674,0.24828749934909566,0.3761793600507378,True,0.3367108853342895,0.04074286389898278,0.038201059213274664,0.9664328792309338,0.8311413108925043,0.30954977816760476,0.24561261778984506,0.37348693854536447,True,0.3367108853342895,0.04074286389898278,0.038201059213274664,,,,,,False,0.42164150726580407,0.2294750743959679,0.07133568357845196,0.0,0.0,0.2147285810001165,0.15066302488754552,0.27879413711268747,True,0.42164150726580407,0.2294750743959679,0.07133568357845196,,,0.3116103593004054,0.24766494032259215,0.37555577827821873,True,0.9706760201487619,0.8434942600879768,0.007473259499082507,-0.057264786404995674,0.07221130540316069,False,0.9283460802959421,0.29597150289812674
SIG_HALLMARK_E2F_TARGETS,0.36251948060399297,0.2985828388372495,0.42645612237073643,True,0.39336562130977903,0.05224397142527539,0.03550839348103609,0.9881783101221876,0.8724902388474656,0.363413531321477,0.29948230409781973,0.4273447585451343,True,0.39336562130977903,0.05224397142527539,0.03550839348103609,,,,,,False,0.37305506427172563,0.2749663752359254,0.06849100738421472,0.0,0.0,0.10824509208196648,0.044186653890432026,0.17230353027350093,True,0.37305506427172563,0.2749663752359254,0.06849100738421472,,,0.36259709317154165,0.2986606241609141,0.4265335621821692,True,0.9887495033130291,0.8804400487945508,-0.17641956316173407,-0.24122495234852176,-0.11161417397494638,False,0.9922212847571902,0.2974108378638575
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.440241472816332,0.37630332634666014,0.5041796192860039,True,0.4504089941027145,0.04567161127501593,0.03591380066975001,0.9850819907616299,0.861924933239848,0.4394486072305455,0.37551656384101906,0.503380650620072,True,0.4504089941027145,0.04567161127501593,0.03591380066975001,,,,,,False,0.4701883386323129,0.2667007681199498,0.06848141276803417,0.0,0.0,0.23554897701499777,0.17149139587015255,0.299606558159843,True,0.4701883386323129,0.2667007681199498,0.06848141276803417,,,0.4395879753845726,0.3756500393457429,0.5035259114234023,True,0.9878802418860457,0.8697770308073552,0.010727179453986935,-0.053876440875849765,0.07533079978382363,False,0.9780347227825394,0.3382203855925475
SIG_HALLMARK_G2M_CHECKPOINT,0.3593279303588669,0.29538606138373136,0.42326979933400244,True,0.3872056005245466,0.04939805185512284,0.037348439375314214,0.9821998178433547,0.8607079011312601,0.3589988506461705,0.2950635898257435,0.4229341114665975,True,0.3872056005245466,0.04939805185512284,0.037348439375314214,,,,,,False,0.3688109179466317,0.2668328053152269,0.06868002690351774,0.0,0.0,0.11213352488294981,0.04807490574265372,0.1761921440232459,True,0.3688109179466317,0.2668328053152269,0.06868002690351774,,,0.3590131377983914,0.29507138515901066,0.4229548904377721,True,0.9841104715071431,0.8678798482356543,-0.1427236399810306,-0.207439786786484,-0.07800749317557719,False,0.9902286900424195,0.31313793830690734
SIG_HALLMARK_HYPOXIA,0.31207344661062414,0.2481265254986332,0.37602036772261505,True,0.3383129099608083,0.048453673558395575,0.038911223597327724,0.9374700763399694,0.8472319084973176,0.3036181491317822,0.23967928133069052,0.3675570169328739,True,0.3383129099608083,0.048453673558395575,0.038911223597327724,,,,,,False,0.3616105301470171,0.24488733696098136,0.07062706237992618,0.0,0.0,0.12738609839413828,0.06332205356102455,0.191450143227252,True,0.3616105301470171,0.24488733696098136,0.07062706237992618,,,0.31196327509408706,0.24801636032792207,0.37591018986025204,True,0.9382717395383032,0.8518985297007597,-0.11763153892204725,-0.18252594117755255,-0.05273713666654194,False,0.8819141223697791,0.273248146754718
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.2456572112946671,0.18172004639709205,0.30959437619224217,True,0.27278619460338477,0.03777176168135849,0.03504823909082038,0.9539283751376268,0.8381482791910211,0.2420326702071927,0.178102539705356,0.3059628007090294,True,0.27278619460338477,0.03777176168135849,0.03504823909082038,,,,,,False,0.37734341486792444,0.23740065880442165,0.0722751408552599,0.0,0.0,0.1535363020588572,0.0894652442251306,0.21760735989258384,True,0.37734341486792444,0.23740065880442165,0.0722751408552599,,,0.24547278872460604,0.18153578650365565,0.30940979094555643,True,0.9555753069974168,0.8446929465699705,-0.13829387801033988,-0.20350328900168965,-0.0730844670189901,False,0.9249416432621853,0.23791850047734617
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.3334957294107342,0.2694877454169134,0.397503713404555,True,0.38570569062700705,0.0700268403292264,0.050838455832182446,0.9497103990354956,0.6779747148275523,0.3364109418686691,0.2724390234645437,0.4003828602727945,True,0.38570569062700705,0.0700268403292264,0.050838455832182446,,,,,,False,0.4433176039655156,0.21029714779971664,0.07566794755045428,0.0,0.0,0.2615357786818281,0.19745218528825964,0.32561937207539654,True,0.4433176039655156,0.21029714779971664,0.07566794755045428,,,0.334324475837161,0.2703179667915034,0.39833098488281865,True,0.9500874800142806,0.7000230403457536,-0.17878788676657353,-0.2468616389132567,-0.11071413461989037,False,0.9118488063105624,0.14347511116825554
