signature,excess_z__mean_z__uncorrected,excess_lo__mean_z__uncorrected,excess_hi__mean_z__uncorrected,beats_null__mean_z__uncorrected,r_residual_refit__mean_z__uncorrected,null_mean_r__mean_z__uncorrected,excess_z__plage__uncorrected,excess_lo__plage__uncorrected,excess_hi__plage__uncorrected,beats_null__plage__uncorrected,r_residual_refit__plage__uncorrected,null_mean_r__plage__uncorrected,excess_z__plage__disattenuated,excess_lo__plage__disattenuated,excess_hi__plage__disattenuated,beats_null__plage__disattenuated,r_residual_refit__plage__disattenuated,null_mean_r__plage__disattenuated,excess_z__mean_z__reconstructed,excess_lo__mean_z__reconstructed,excess_hi__mean_z__reconstructed,beats_null__mean_z__reconstructed,reliability_observed__mean_z__reconstructed,reliability_null__mean_z__reconstructed,excess_z__plage__reconstructed,excess_lo__plage__reconstructed,excess_hi__plage__reconstructed,beats_null__plage__reconstructed,reliability_observed__plage__reconstructed,reliability_null__plage__reconstructed
SIG_HALLMARK_ALLOGRAFT_REJECTION,0.4037413280396757,0.33980356516991744,0.467679090909434,True,0.44416292756963627,0.0734193464135615,0.22427325389181663,0.16013262295222858,0.2884138848314047,True,0.43835942081224166,0.23933154690133884,,,,False,0.43835942081224166,0.23933154690133884,0.40097467488630234,0.33702718340122284,0.46492216637138184,True,0.9829869787308713,0.8240018969587147,0.1293713132926828,0.06497328827198076,0.19376933831338486,True,0.9921621496293787,0.5407368259418611
SIG_HALLMARK_ANGIOGENESIS,0.3116179144765907,0.2476077050596865,0.3756281238934949,True,0.40237446174874214,0.11390927006779404,0.23723625676188556,0.17316731213330377,0.30130520139046735,True,0.42822691485288755,0.2158101340996527,,,,False,0.42822691485288755,0.2158101340996527,0.28460709656064576,0.22042961988379298,0.34878457323749856,True,0.8713111844990266,0.4327967303081249,0.08532974018539702,0.020673639715231784,0.14998584065556225,True,0.8278773749710264,0.30109009237742956
SIG_HALLMARK_COAGULATION,0.273145558021194,0.20918553977420298,0.33710557626818505,True,0.33434462322647956,0.07425481659079239,-0.020833537117483314,-0.08488842894813256,0.04322135471316593,False,0.243708155533352,0.2620012607851618,,,,False,0.243708155533352,0.2620012607851618,0.27143066137495925,0.20744576546751736,0.33541555728240113,True,0.9447002165319612,0.7337857929485755,-0.12285344503450202,-0.1870823137818398,-0.05862457628716425,False,0.9522599330053577,0.536415059948299
SIG_HALLMARK_COMPLEMENT,0.287955058889638,0.2240151408494441,0.35189497692983196,True,0.3424539230265303,0.06869581501454289,0.07795392432652681,0.013869852220006917,0.1420379964330467,True,0.32821771282629,0.255578887056639,,,,False,0.32821771282629,0.255578887056639,0.2876168889340783,0.22366812719255746,0.3515656506755991,True,0.9706760201487621,0.8434942600879753,0.04256016536910007,-0.021589207770680394,0.10670953850888053,False,0.9808387824870372,0.7719345606348597
SIG_HALLMARK_E2F_TARGETS,0.3451272910222232,0.2811929351582915,0.40906164688615493,True,0.4032569673691383,0.08210331374186033,0.17311551595766317,0.10906531590454518,0.23716571601078115,True,0.39548569708356923,0.23924666636789801,,,,False,0.39548569708356923,0.23924666636789801,0.34240111070427776,0.27846102874169043,0.4063411926668651,True,0.9887495033130295,0.8804400487945496,0.14671284930357903,0.08262143747509372,0.21080426113206435,True,0.9920284114811014,0.8133739403124958
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.3992151556319877,0.33528160103869986,0.4631487102252755,True,0.4402739919699603,0.07312399165992986,0.21307690884942704,0.14902721632142568,0.2771266013774284,True,0.4433474655261876,0.25623944211477073,,,,False,0.4433474655261876,0.25623944211477073,0.3972225518295848,0.33328282745643667,0.461162276202733,True,0.987880241886046,0.8697770308073539,0.17942389919579488,0.11532487021204768,0.24352292817954208,True,0.9910574664812696,0.7854368348130792
SIG_HALLMARK_G2M_CHECKPOINT,0.3299009513467971,0.26596327996069197,0.3938386227329022,True,0.38914265950915095,0.08059251972846977,0.1654341949700736,0.10138494793374112,0.2294834420064061,True,0.3875399454555547,0.23765939141899012,,,,False,0.3875399454555547,0.23765939141899012,0.32760583741349414,0.26366123892348853,0.39155043590349975,True,0.9841104715071433,0.867879848235653,0.12580293577039947,0.06169128674678079,0.18991458479401815,True,0.9918388693663561,0.742910390228631
SIG_HALLMARK_HYPOXIA,0.2754701735219841,0.21152680413077846,0.33941354291318976,True,0.3391168834367274,0.0773384359487805,0.16752108736720794,0.1034841582651303,0.2315580164692856,True,0.412452923303422,0.263496837114567,,,,False,0.412452923303422,0.263496837114567,0.28139549855714274,0.21744321429301378,0.3453477828212717,True,0.9382717395383032,0.8518985297007583,0.16687905260290475,0.1027943655651929,0.23096373964061662,True,0.8648099040884244,0.7789083332649365
SIG_HALLMARK_IL2_STAT5_SIGNALING,0.22551132982597966,0.16157806574224176,0.28944459390971755,True,0.2850569568237265,0.0674711899813341,0.06309376201602837,-0.0010279879063759267,0.12721551193843267,False,0.2966988094864404,0.236517611772335,,,,False,0.2966988094864404,0.236517611772335,0.2266585005011603,0.16271772533703982,0.29059927566528077,True,0.9555753069974166,0.8446929465699688,0.004220813232998832,-0.06004692692048663,0.0684885533864843,False,0.9749905883616061,0.6497330274346663
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,0.3164625141398417,0.2524865162081072,0.38043851207157625,True,0.38828694531223185,0.09278538504419177,0.16847742170089608,0.10436530397032345,0.2325895394314687,True,0.38648444280971506,0.23317545360521086,,,,False,0.38648444280971506,0.23317545360521086,0.3098780086492059,0.2458651917594809,0.3738908255389309,True,0.9500874800142806,0.700023040345751,0.09284866828206417,0.028534320610183447,0.15716301595394488,True,0.9614338583599329,0.5687151000486508
SIG_HALLMARK_INFLAMMATORY_RESPONSE,0.31237798702404374,0.2484405120498383,0.37631546199824917,True,0.37452908274343516,0.08100330183977436,0.17524380161260938,0.111076081769999,0.23941152145521977,True,0.3804200686701862,0.21968514360503658,,,,False,0.3804200686701862,0.21968514360503658,0.3084947652603988,0.24454744787362068,0.37244208264717693,True,0.979352834356779,0.8217266094166554,0.09610242256337392,0.03167308948435463,0.16053175564239322,True,0.9859761804572245,0.5602156167516058
SIG_HALLMARK_INTERFERON_ALPHA_RESPONSE,0.2875128778745406,0.22354800858924284,0.35147774715983837,True,0.3707820665290744,0.10122453970191071,0.15155783313992433,0.08750681609159036,0.2156088501882583,True,0.37848386230460285,0.240708244947466,,,,False,0.37848386230460285,0.240708244947466,0.27968065232327666,0.21569713519749806,0.34366416944905526,True,0.9798283748953845,0.7992354200302616,0.08408703259555256,0.019921651776872412,0.1482524134142327,True,0.9844406444980098,0.6228071897126651
SIG_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.35172762904931937,0.2877932066123009,0.41566205148633784,True,0.4052104807647009,0.07787318543860418,0.19247056627372364,0.12840914420394184,0.25653198834350543,True,0.4147141349058732,0.2425891386264148,,,,False,0.4147141349058732,0.2425891386264148,0.34944005928667604,0.2854994689172198,0.4133806496561323,True,0.986630519862924,0.8723185204366272,0.16560805567344333,0.10150112464066369,0.22971498670622298,True,0.9895224101514192,0.8093154921997572
SIG_HALLMARK_MYC_TARGETS_V1,0.21628295323887595,0.15236380383610543,0.28020210264164647,True,0.3290635613060465,0.12473349529585338,0.08762057007957746,0.02369847258472113,0.1515426675744338,True,0.3394547480446267,0.2595350327645564,,,,False,0.3394547480446267,0.2595350327645564,0.21427828062612944,0.15035713704879844,0.27819942420346044,True,0.9861083698231308,0.931417658324217,0.07719292596791905,0.013267684001240218,0.14111816793459786,True,0.9874933125501977,0.9141785154738229
SIG_HALLMARK_TGF_BETA_SIGNALING,0.14506386914818709,0.08107144793556148,0.2090562903608127,True,0.253813409687279,0.1135455542571955,0.017286317116046057,-0.0467907372007768,0.08136337143286891,False,0.2479221309223202,0.230351723829421,,,,False,0.2479221309223202,0.230351723829421,0.1304623380016739,0.06641368277275846,0.19451099323058935,True,0.908063717367028,0.6504771913455957,-0.07800817552375766,-0.142316273088612,-0.013700077958903337,False,0.9136332171852528,0.49726913592978517
SIG_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.25932618302213223,0.19539023801279848,0.323262128031466,True,0.32371911301337736,0.07621158497677621,0.07108400382885938,0.00701821130545463,0.13514979635226412,True,0.31222326037298337,0.24547052870434272,,,,False,0.31222326037298337,0.24547052870434272,0.25771025972768125,0.19376749904848287,0.3216530204068796,True,0.977315193022033,0.8650111595852258,0.03935243096718738,-0.024769805797035957,0.10347466773141072,False,0.9776336455638904,0.7793215612742225
