signature,excess_z__ssgsea__disattenuated,excess_lo__ssgsea__disattenuated,excess_hi__ssgsea__disattenuated,beats_null__ssgsea__disattenuated,r_residual_refit__ssgsea__disattenuated,null_mean_r__ssgsea__disattenuated,null_sd_r__ssgsea__disattenuated,alpha_observed__ssgsea__disattenuated,alpha_null_mean__ssgsea__disattenuated,excess_z__ssgsea__uncorrected,excess_lo__ssgsea__uncorrected,excess_hi__ssgsea__uncorrected,beats_null__ssgsea__uncorrected,r_residual_refit__ssgsea__uncorrected,null_mean_r__ssgsea__uncorrected,null_sd_r__ssgsea__uncorrected,alpha_observed__ssgsea__uncorrected,alpha_null_mean__ssgsea__uncorrected,excess_z__ssgsea__reconstructed,excess_lo__ssgsea__reconstructed,excess_hi__ssgsea__reconstructed,beats_null__ssgsea__reconstructed,reliability_observed__ssgsea__reconstructed,reliability_null__ssgsea__reconstructed
SIG_HALLMARK_ALLOGRAFT_REJECTION,,,,False,0.4884498042493576,0.2213864980090794,0.07160385547489448,0.0,0.0,0.3076168259975585,0.2435508467442325,0.37168280525088454,True,0.4884498042493576,0.2213864980090794,0.07160385547489448,,,-0.00973837088122953,-0.07517869731355192,0.05570195555109286,False,0.9772681120752701,0.2103504386595333
SIG_HALLMARK_ANGIOGENESIS,,,,False,0.417001804458761,0.18119886065390592,0.07071201580593947,0.0,0.0,0.2598485415476455,0.19579311747648415,0.3239039656188068,True,0.417001804458761,0.18119886065390592,0.07071201580593947,,,-0.21555968222771793,-0.2850027905499816,-0.14611657390545424,False,0.7522812646934572,0.09526776740591446
SIG_HALLMARK_COAGULATION,,,,False,0.3825148255208908,0.19118367783300486,0.06914819279718745,0.0,0.0,0.20841714395223393,0.14436696003410704,0.2724673278703608,True,0.3825148255208908,0.19118367783300486,0.06914819279718745,,,-0.18680195813387435,-0.2536846368698382,-0.1199192793979105,False,0.8739480793189686,0.1344512366663204
SIG_HALLMARK_COMPLEMENT,,,,False,0.41975718668461237,0.2326545871087017,0.07158341799485654,0.0,0.0,0.20904474688475766,0.14497730652226376,0.27311218724725156,True,0.41975718668461237,0.2326545871087017,0.07158341799485654,,,-0.00528095909336157,-0.07005538138129845,0.05949346319457531,False,0.9280102417946019,0.29310092094570994
SIG_HALLMARK_E2F_TARGETS,,,,False,0.36458225347344697,0.27751734818249224,0.069152630983706,0.0,0.0,0.09563624789637698,0.031574388863558234,0.15969810692919573,True,0.36458225347344697,0.27751734818249224,0.069152630983706,,,-0.19134088852103176,-0.2561615657587829,-0.12652021128328061,False,0.9922207305618032,0.2987792057739727
SIG_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,,,,False,0.461004858405308,0.27029987957250773,0.06760248639155324,0.0,0.0,0.21995592532643393,0.1559018670930969,0.284009983559771,True,0.461004858405308,0.27029987957250773,0.06760248639155324,,,-0.009028641708034635,-0.07362359982622539,0.05556631641015612,False,0.9780492466478516,0.3382854436865439
SIG_HALLMARK_G2M_CHECKPOINT,,,,False,0.361877359586157,0.26867622579630335,0.06990791986604203,0.0,0.0,0.10208689462879977,0.03802227062118084,0.1661515186364187,True,0.361877359586157,0.26867622579630335,0.06990791986604203,,,-0.16071954784497988,-0.22549006657440324,-0.09594902911555651,False,0.9896348511908027,0.30842718638672534
SIG_HALLMARK_HYPOXIA,,,,False,0.3582759690776091,0.24910530035240033,0.07196290777999752,0.0,0.0,0.11897879622751711,0.05490751440762416,0.18305007804741008,True,0.3582759690776091,0.24910530035240033,0.07196290777999752,,,-0.12962953329273352,-0.19455370051146376,-0.06470536607400328,False,0.8850153421935094,0.27682826596405774
SIG_HALLMARK_IL2_STAT5_SIGNALING,,,,False,0.3817901929259812,0.23975742592361637,0.07342256600974986,0.0,0.0,0.15617777035907032,0.09210081330391866,0.22025472741422197,True,0.3817901929259812,0.23975742592361637,0.07342256600974986,,,-0.13264672273504236,-0.197851011564094,-0.06744243390599072,False,0.9258419482306011,0.24289845305270336
SIG_HALLMARK_IL6_JAK_STAT3_SIGNALING,,,,False,0.4389486507188289,0.21055751140855863,0.07494942524990354,0.0,0.0,0.2558703161856609,0.19179060377937182,0.31995002859195,True,0.4389486507188289,0.21055751140855863,0.07494942524990354,,,-0.18806307916552512,-0.2554545255142018,-0.12067163281684846,False,0.9168387857193604,0.1425545677254745
